"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-let-7-5p.iso.0.0.0.10CA"	268.098535462829	108.076662977817	258.085681695962	96.6283921293015	431.615452061002	91.8904150879147	424.177228962339	198.603770810884	281.101399977937	76.5037156752819	205.969796649995	87.7788893837697
"cel-let-7-5p.iso.0.0.0.15TG"	140.432566194815	0	127.462724429434	43.8406593919979	207.12580601778	0	209.827541832116	138.15914491192	174.015152367294	0	107.159961770606	0
"cel-let-7-5p.iso.0.0.0.1AT"	122.878495420463	0	126.409313483736	0	193.482788854932	52.6838379837377	179.981382864617	0	152.820999194355	0	0	0
"cel-let-7-5p.iso.0.0.0.1CT"	126.070144652164	0	154.851409017577	0	198.443886005058	50.2334269147267	209.827541832116	0	167.322261891629	54.0026228296108	0	43.6297438357198
"cel-let-7-5p.iso.0.d-T.0.0"	403.743627810094	389.07598672014	332.877858840506	237.097443650601	587.890012289985	258.518367780667	454.023387929838	544.001633090683	510.890639642441	318.390463766247	242.153679845265	234.769573973159
"cel-let-7-5p.iso.0.u-T.0.0"	426.085172431996	513.580302470585	401.349570310863	456.30074061059	637.50098379125	507.235091285289	656.615497284985	1009.05518337456	554.394427734265	446.646692986572	400.806090778369	368.255814041969
"cel-let-7-5p.iso.0.u-TT.u-GT.0"	0	72.6275175210928	0	0	0	0	0	0	0	48.377349618193	0	0
"cel-let-7-5p.iso.0.u-T.u-C.0"	398.956153962543	326.823828844917	334.984680731902	104.680758140077	1136.09124737896	185.006035710335	429.603803320066	581.008546906376	390.418611080468	236.261474879547	734.811166427011	101.80273561668
"cel-let-7-5p.iso.0.u-T.u-G.0"	0	0	0	0	184.800868842211	0	0	0	0	0	0	0
"cel-let-7-5p.ref.0.0.0.0"	9021.19655340102	3285.53055452563	9197.33096688752	2761.96154169587	12593.745115596	2794.69382420711	13254.4078687486	7007.87591289835	11047.7312118313	2845.26319033512	7566.60665125693	2772.0469387052
"cel-lin-4-5p.iso.0.0.0.1AT"	49.4705630913553	53.606024836997	74.7921771445441	84.1024894458735	60.7734400890491	37.9813715696714	130.237784585452	119.655688004073	0	38.8143851587827	59.8425760537149	78.9490602741597
"cel-lin-4-5p.iso.0.0.0.1CT"	59.0455107864564	57.0644780522872	60.0444239047748	64.418928086201	76.8970058269601	35.5309605006603	151.039652956739	148.027655262771	82.5456491998705	36.0017485530738	75.1511420209443	84.6624791097897
"cel-lin-4-5p.iso.0.u-A.0.0"	740.46262175448	343.251481617546	745.814949554045	478.668423973855	933.926538511306	341.832344127043	993.967536523689	1034.96002304554	937.004666593124	335.2662834005	698.627283231741	610.297011987748
"cel-lin-4-5p.iso.0.u-A.u-G.0"	0	51.0121849255294	0	0	93.0205715648711	0	0	127.057070767212	0	38.8143851587827	0	0
