"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-let-7-5p"	13.224463733874	12.5086267572501	13.2266312335127	12.3263807989725	13.5912174335106	12.3734862336812	13.5702306135884	13.0983335528518	13.4053652348589	12.3896036498728	13.077367254186	12.3076067695519
"cel-lin-4-5p"	12.0584920401459	11.8390655101867	12.1077659286456	12.1736514053891	12.2316271370966	11.5617704013487	12.6677768844648	12.6806636316509	12.2874824533382	11.672193289486	12.1273926134688	12.2159506271467
"cel-lsy-6"	3.81134619665038	3.4528167405995	4.68088531622164	4.51899635641977	3.99237440403732	2.85671672937719	4.97658796382135	5.05061245881558	4.02530778956411	3.34645405849764	3.87926534888168	4.41776452501061
"cel-miR-1018"	3.30668841690709	4.57702767064203	3.8054684239551	4.7409454988029	3.97327796239855	5.10139266833276	4.16975993798072	5.42671606869616	3.16062014021613	3.98686109595209	3.59025681752969	4.10681572152866
"cel-miR-1020-3p"	6.60804234592753	6.21645231441914	7.1827651894575	6.45674363545599	6.80953205138406	5.80761640616552	7.64666731303112	6.94949196930121	6.70959832834573	5.81945216175726	6.546533785966	6.21119842803422
"cel-miR-1022-5p"	8.28090952228004	7.66424423304851	8.3876718260337	8.36182362783668	8.32666566625467	7.88916031390961	8.63404750565103	9.04098471481895	8.48389734826865	7.61646435502967	8.34085770288654	8.20394590604352
"cel-miR-124-3p"	3.82381730417323	3.87252548891864	3.96547217760883	4.52419940705034	3.92378579952626	3.41005989625698	4.23448311932385	4.79791115127341	3.52706557817934	3.51217130341182	3.37540470403886	4.42960564791826
"cel-miR-1-3p"	16.4278394482925	16.1378820350673	17.199949950405	16.6767221264882	16.7041387074942	15.9008366596648	17.8409834127881	17.5057244682923	16.7720965189388	15.8458628459453	16.0418132527434	16.1729900904145
"cel-miR-1-5p"	7.40431488051376	7.01101548860401	7.31856606027846	6.90529592824315	7.50293999723836	7.51387385412636	7.60435536458046	7.84386545385874	7.57022490529313	6.7994521569458	7.30340715864868	6.97063452372535
"cel-miR-1817"	6.73425143030925	5.70775694408746	7.04311937166262	5.73205198973362	6.77071346326329	5.55662730386321	7.15912821368929	6.11720544443155	6.76067337673837	5.24923254604597	6.56869248368064	5.75550144727851
"cel-miR-1819-3p"	6.27806792706115	5.07139208794395	6.30076915706031	5.28356047690105	5.92357680867843	5.33457257914987	6.42530810876273	5.88688259333378	6.33328201791428	5.08280463642201	6.09877382545286	5.22433403614071
"cel-miR-1820-5p"	9.74866223020691	9.5348234334693	10.3638532509869	9.83545272664222	9.84581620470081	8.91299524320564	10.1597887172682	10.5068516432619	9.66849285750639	9.097693622072	9.59410008628232	9.4358852681252
"cel-miR-1821"	6.2133312328735	5.64775140209022	7.0331907786178	6.940139307041	6.37165368638975	5.93967646949629	7.2362349575311	7.51660908858083	6.37093336469859	5.48529685140349	6.38404136568595	6.63877461372186
