"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-let-7-5p.ref.0.0.0.0"	12.9193705948674	12.0604720459507	12.9371896510824	11.9289458517588	13.2327034442623	11.9377601624255	13.2818992670736	12.691239776137	13.1081380591597	11.9510154284655	12.7596748952665	11.9315817283966
"cel-lin-4-5p.ref.0.0.0.0"	11.5161273500826	11.4072543428009	11.6151415632127	11.8249877929667	11.6798941503521	11.0769409683453	12.2922141950761	12.3002168842091	11.7878114878316	11.2273560866843	11.6428939606376	11.8404026614037
"cel-miR-1020-3p.ref.0.0.0.0"	3.52167453995742	3.38854213437945	4.36855354427933	3.82146416359575	4.06283974954118	2.93116227159557	4.90072047777628	4.18775503967399	3.54395082747729	3.09435076497455	3.52916371299357	3.29774835493674
"cel-miR-1022-5p.ref.0.0.0.0"	7.27373020877764	6.41551451794045	7.31451723106398	7.3134731003019	7.18731464811102	6.63140478860026	7.63411314266292	7.82280278324556	7.36483486815914	6.29088607046833	7.1148723768108	7.16071878521723
"cel-miR-124-3p.ref.0.0.0.0"	3.05181692289004	3.09814628569181	3.08257401655537	3.64111942045275	2.91373044289171	2.54433021557759	3.61136969822555	3.71896461520321	2.63955199927125	2.79521376243144	2.42668003271922	3.53144080117551
"cel-miR-1-3p.ref.0.0.0.0"	16.2089197554886	15.8327396770601	16.9967816425072	16.4337610352616	16.4371176321402	15.6357813434086	17.6218997435751	17.2318795552837	16.5705163815847	15.5596628708552	15.78599115854	15.9334575327649
"cel-miR-1-5p.ref.0.0.0.0"	7.12993705114264	6.60575713498411	7.0936706278755	6.6570208356852	7.19537592583667	7.15737775506828	7.33042449440692	7.54781130274279	7.35113136849118	6.43523990988471	6.92899913339004	6.69263657726764
"cel-miR-1817.ref.0.0.0.0"	6.41233717927764	5.35618040468807	6.76535848132225	5.40064503744351	6.45300441119068	5.12532200110437	6.92358973106723	5.79839062427741	6.42529490620824	4.89496339154639	6.20860783581982	5.37659489833738
"cel-miR-1819-3p.ref.0.0.0.0"	4.96316051546223	3.48400653370073	5.05060682628334	3.86340205004788	4.55813601241356	3.95117644688304	4.89863357234816	4.17889140676783	4.69066589510415	3.4511064325441	4.31561233985454	3.54686701550144
"cel-miR-1820-5p.ref.0.0.0.0"	9.00072809804277	8.52533651700582	9.66282891544754	8.89588014093537	9.03816534532616	7.92747133430471	9.31753679269411	9.48311046642732	8.94284074004019	8.14448392972632	8.77501681532141	8.62370189050801
"cel-miR-1821.ref.0.0.0.0"	5.81309210313418	5.36185011576366	6.79203430776982	6.60256991070751	6.10001819593153	5.43652443193978	6.94142575488711	7.23413711888876	6.05774492596702	5.08581541181649	5.99105106142498	6.32785544839908
"cel-miR-1822-3p.ref.0.0.0.0"	4.3296301208743	5.61656351721639	5.46485979965864	5.8504974949289	4.77482084574067	4.19195796271387	5.55097969205266	6.30705552675028	4.4866136371684	4.92903195907917	4.45838769804535	6.02852655602034
"cel-miR-1829a-3p.ref.0.0.0.0"	5.66907868183208	6.13004568151429	6.11242125826526	6.80436072446296	6.39626209078545	5.46314798352103	6.46223658879059	7.52370434283648	5.81445962402473	6.10275640295758	5.63304344615946	6.89677781672522
"cel-miR-1829a-5p.ref.0.0.0.0"	7.61561113919521	7.60995400567378	8.02190947006072	8.35911054385354	7.62524767143367	7.64342792831623	8.17483539805553	8.8454855183261	7.76026007251079	7.40719798126119	7.08099175294495	8.05669466390516
