"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-let-7-5p.iso.0.0.0.15TG"	95.6686297429969	3.85357500674536	1.08749526108137	3.54353268897327	0.000394804363173113	0.00730847146711158
"cel-lin-4-5p.iso.0.u-A.0.0"	682.839930360051	1.02723779647104	0.394430877306975	2.60435441435171	0.00920475176456397	0.0666089309508447
"cel-lin-4-5p.iso.0.u-GA.0.0"	47.2228667944394	-4.19769720700085	1.06694158595368	-3.93432711055945	8.34300968107002e-05	0.00265641428245269
"cel-lin-4-5p.ref.0.0.0.0"	3530.56054064144	1.24759005565746	0.456246781363901	2.73446324799908	0.00624820700903587	0.0524751711460308
"cel-lsy-6.iso.0.d-A.0.0"	15.6699317997269	2.82897432367456	0.736575454155228	3.84071218734689	0.000122677880405324	0.00325505309342127
"cel-miR-1022-5p.iso.0.0.0.1CA"	19.8597329326102	1.36033238317173	0.556165631971965	2.44591234152402	0.0144486124733047	0.0858290711100786
"cel-miR-1022-5p.iso.0.d-T.0.0"	106.691185488695	1.61551670012064	0.466821319659985	3.46067463520587	0.000538823619354559	0.00953119113347175
"cel-miR-1022-5p.ref.0.0.0.0"	154.846610335422	1.75565083047217	0.455648957318713	3.85307768683018	0.000116642361687309	0.00325505309342127
"cel-miR-1820-5p.ref.0.0.0.0"	527.315712756787	1.38437598735551	0.5583936679445	2.47921147181258	0.0131673212949667	0.0815460728369967
"cel-miR-1821.ref.0.0.0.0"	88.6591067424667	2.56445948669923	0.588596277313932	4.35690741776719	1.3191303167588e-05	0.000617663371847063
"cel-miR-1822-3p.iso.u-C.0.0.0"	87.0243273483447	1.51496095624915	0.550523064077745	2.75185737910375	0.00592583222842278	0.0509144365048342
"cel-miR-1829a-3p.ref.0.0.0.0"	93.5640670411698	1.81212070602746	0.629262086614039	2.87975510455142	0.00397984177651976	0.038079217039282
"cel-miR-1829a-5p.iso.0.0.0.1CA"	28.1429640688131	1.48395779168946	0.599541291711334	2.47515527655091	0.0133178259658412	0.0815460728369967
"cel-miR-1829a-5p.ref.0.0.0.0"	260.267550909083	1.41513523142966	0.56466495357717	2.50615027985133	0.0122053731868938	0.0783506214255441
"cel-miR-1829c.iso.0.u-A.0.0"	24.2224236297428	1.94710431889575	0.704873371491278	2.7623462562876	0.00573875821145467	0.0509144365048342
"cel-miR-1829c.ref.0.0.0.0"	171.975309153734	1.87950032370416	0.653349976485016	2.87671292775698	0.00401840983831619	0.038079217039282
"cel-miR-2212-5p.iso.0.d-C.0.0"	15.0578764580961	1.70238827612978	0.730405337694202	2.33074457191675	0.019766832399995	0.0993840119123046
"cel-miR-228-3p.ref.0.0.0.0"	39.6388288328078	1.43639822955185	0.609504962099095	2.35666371706801	0.0184399372528956	0.095935882701339
"cel-miR-228-5p.iso.0.0.0.1CA"	2521.06612705388	1.48602883408596	0.577802705763403	2.57186202013816	0.0101153197206755	0.0689504655993877
"cel-miR-228-5p.ref.0.0.0.0"	20512.56894022	1.40874627657565	0.586622415851313	2.40145319801879	0.0163300978679025	0.0911995958848936
"cel-miR-229-5p.iso.0.0.0.1CA"	285.714973844859	1.54944120073229	0.633480680426809	2.44591705573144	0.0144484235586455	0.0858290711100786
"cel-miR-229-5p.iso.0.d-T.0.0"	722.707206642065	1.31443484657268	0.552143925516647	2.38060184279443	0.0172843825334284	0.0913821283086553
"cel-miR-229-5p.ref.0.0.0.0"	2271.44330482945	1.52486329743082	0.594058824877542	2.56685572804201	0.0102625301131141	0.0689504655993877
"cel-miR-233-3p.iso.0.d-G.0.0"	56.2347822039805	2.14697303194589	0.565891690619783	3.79396458285941	0.000148260830993885	0.00380695553132686
"cel-miR-233-3p.iso.0.d-GA.0.0"	150.243333238854	2.28967282910151	0.543540591577584	4.21251487852253	2.52543074064934e-05	0.00107630504054446
"cel-miR-233-3p.iso.0.u-G.0.0"	50.3522858714796	2.13832107077125	0.683006158998385	3.13074932429169	0.00174360923000643	0.0213525068782326
"cel-miR-233-3p.iso.0.u-GG.0.0"	25.6904234956358	1.49937477738057	0.61613096233726	2.43353259133866	0.0149522892676376	0.0875148695370554
"cel-miR-233-3p.ref.0.0.0.0"	117.518287341635	1.81622290961227	0.70637787895542	2.57117750105379	0.0101353364490455	0.0689504655993877
"cel-miR-234-3p.ref.0.0.0.0"	666.743819446225	1.19909642822455	0.453011450249183	2.64694507735948	0.00812225433845795	0.0621664851289666
