"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-lin-4-5p.ref.0.0.0.0"	3530.56054064144	1.22543503918894	0.408852887584965	2.9972517656104	0.00272425624387114	0.013585334215549
"cel-miR-1020-3p.ref.0.0.0.0"	16.4604602718475	1.33531286099578	0.636440651590403	2.09809486188377	0.0358967663673641	0.0722913443273127
"cel-miR-1022-5p.ref.0.0.0.0"	154.846610335422	1.71842764737511	0.418586308550428	4.10531260166166	4.03768494888269e-05	0.000568381804342717
"cel-miR-124-3p.ref.0.0.0.0"	9.78788982736616	1.5089658634303	0.636233955980881	2.37171538746927	0.0177057235728138	0.040520184364284
"cel-miR-1-3p.ref.0.0.0.0"	105988.800345112	1.54560992846628	0.55171309031904	2.80147409149292	0.00508697256297923	0.0182532544906902
"cel-miR-1820-5p.ref.0.0.0.0"	527.315712756787	1.36240430330387	0.463145043882001	2.94163636489431	0.0032648306018837	0.0145722926864565
"cel-miR-1821.ref.0.0.0.0"	88.6591067424667	2.51602758373688	0.492189299786819	5.11191036624861	3.18917148950583e-07	1.87866910395293e-05
"cel-miR-1822-3p.ref.0.0.0.0"	47.132231562326	1.48992743049	0.574088691046949	2.59529137871165	0.00945107588049495	0.0275881672963589
"cel-miR-1829a-3p.ref.0.0.0.0"	93.5640670411698	1.78580534745867	0.505736141760429	3.53110090420356	0.000413833845574699	0.00291275360539115
"cel-miR-1829a-5p.ref.0.0.0.0"	260.267550909083	1.39462895534673	0.467271907919079	2.98461972935093	0.00283931058845596	0.0136735220444063
"cel-miR-1829c.ref.0.0.0.0"	171.975309153734	1.8580733774831	0.516554233744823	3.59705381565218	0.000321841915330977	0.0024540446043987
"cel-miR-228-3p.ref.0.0.0.0"	39.6388288328078	1.40188859268528	0.514311184841479	2.72575948959261	0.00641537265061992	0.021345694455699
"cel-miR-228-5p.ref.0.0.0.0"	20512.56894022	1.39024647924874	0.476401885845979	2.91822203176209	0.00352033585654072	0.0152349004991588
"cel-miR-229-3p.ref.0.0.0.0"	29.6399676430263	0.967105529450621	0.463514490707251	2.08646234117723	0.036936763028074	0.073472039501495
"cel-miR-229-5p.ref.0.0.0.0"	2271.44330482945	1.50611381325097	0.480721838169367	3.13302557459505	0.00173014366326458	0.00959443304173995
"cel-miR-230-3p.ref.0.0.0.0"	282.728599322784	0.899343202623985	0.427199726481442	2.1052054738688	0.0352734259881628	0.0722913443273127
"cel-miR-231-3p.ref.0.0.0.0"	21.7820662683424	1.33932979332279	0.563220511787802	2.37798475959518	0.0174075453712866	0.040520184364284
"cel-miR-233-3p.ref.0.0.0.0"	117.518287341635	1.80019027071885	0.54835744595068	3.28287740781541	0.00102753339998954	0.00626795373993622
"cel-miR-234-3p.ref.0.0.0.0"	666.743819446225	1.17684448687897	0.409072128859951	2.87686303674301	0.00401649885925043	0.0158079793465391
"cel-miR-236-3p.ref.0.0.0.0"	278.571444810104	2.03605406568919	0.615123484527811	3.30999241112073	0.000932985007307683	0.00588745711507952
"cel-miR-237-3p.ref.0.0.0.0"	12.7326635585089	1.37180827765421	0.683728769043739	2.00636325362294	0.0448175058696918	0.0863326692016169
"cel-miR-238-3p.ref.0.0.0.0"	55961.4444558588	0.970557214193515	0.388461242916298	2.49846601660244	0.0124732101210624	0.0317027423910337
"cel-miR-239a-3p.ref.0.0.0.0"	50.0750271819921	1.20327293168757	0.554326774721095	2.17069242648974	0.0299544300747823	0.0622915989055132
