"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-lin-4-5p.iso.0.u-GA.0.0"	47.2228667944394	-4.64436161420758	1.06677923627537	-4.35362955734238	1.33901900732891e-05	0.000740179951273482
"cel-lin-4-5p.iso.0.u-TGA.0.0"	225.764027667796	-1.1853094326304	0.310880045820789	-3.81275494701159	0.000137426352991821	0.00379831170074615
"cel-miR-1817.ref.0.0.0.0"	77.0512791578823	-1.85768097016744	0.493296250172985	-3.76585260787206	0.000165981692487259	0.0042346611288416
"cel-miR-1819-3p.ref.0.0.0.0"	23.2465471674602	-1.65901839721013	0.62129600165809	-2.67025442427219	0.00757937916494201	0.0685589297192482
"cel-miR-1829a-3p.iso.0.u-T.0.0"	24.786586534962	1.82169886828499	0.697360763789093	2.6122761171518	0.0089941579939058	0.0778190191646633
"cel-miR-1830-3p.ref.0.0.0.0"	95.2005283256635	-2.22477367906053	0.549361400257481	-4.04974517324625	5.12734351819075e-05	0.00212571116691658
"cel-miR-2208a-5p.ref.0.0.0.0"	27.0509152647099	4.29503311601844	0.95791450489182	4.48373324976793	7.33483444155403e-06	0.000456135016834141
"cel-miR-2209a-3p.ref.0.0.0.0"	27.9650138227102	1.87747225392173	0.642333987369574	2.92289103618848	0.00346797855539145	0.0401237053792383
"cel-miR-2209c-3p.ref.0.0.0.0"	5.84310309584917	2.46721828241394	0.894127882124581	2.75935728181461	0.00579151779788324	0.0588016347846308
"cel-miR-2214-3p.iso.d-C.u-T.0.0"	4.71506245049945	2.98275733664641	0.983349661862529	3.03326217756242	0.00241925316176532	0.0308609858455961
"cel-miR-2214-5p.iso.0.0.0.1CA"	4.70620220774103	2.81609281607592	0.947176478449593	2.97314479418398	0.00294765362584808	0.0352224179638127
"cel-miR-2214-5p.iso.0.d-T.0.0"	25.9344217236759	2.33106284752754	0.607157875817299	3.83930265977309	0.000123384255527506	0.00361080394852554
"cel-miR-2214-5p.iso.0.d-TT.0.0"	16.8171971492319	2.52206092846849	0.818315751137273	3.08201439965367	0.00205604891167903	0.0276455225286573
"cel-miR-2214-5p.iso.0.u-G.0.0"	12.3178170025466	2.86601136008785	0.754393567449856	3.7990930513579	0.000145226563104573	0.00380264290234342
