"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-let-7-5p.iso.0.0.0.10CA"	210.710828406253	-1.74508371561485	0.502923585745896	-3.46987845683689	0.000520693931592564	0.00999871061203311
"cel-let-7-5p.iso.0.0.0.15TG"	95.6686297429969	-5.03155906351509	1.08708406205762	-4.62849124472622	3.68339433351714e-06	0.000203609853436087
"cel-let-7-5p.iso.0.u-TT.u-GT.0"	10.0837389282738	3.94846217703292	1.19526540995617	3.30341875883256	0.000955136402487954	0.0137733437750074
"cel-let-7-5p.ref.0.0.0.0"	7012.36586084072	-1.79252280194527	0.485311501956279	-3.6935510382912	0.000221144099762033	0.00536678973812739
"cel-lin-4-5p.iso.0.u-A.0.0"	682.839930360051	-1.31866616209838	0.394647515710173	-3.34137707601027	0.000833639212231413	0.012848355505148
"cel-lin-4-5p.iso.0.u-TGA.0.0"	225.764027667796	-2.28970286362413	0.314091957659586	-7.28991242146262	3.10156574094741e-13	3.85757239030334e-11
"cel-miR-1018.iso.0.0.u-T.0"	7.67345502426388	2.38837481377575	0.939082513974133	2.5433066618058	0.0109808808029566	0.0735485871537336
"cel-miR-1022-5p.iso.0.d-T.0.0"	106.691185488695	-1.13185836445642	0.470854811609243	-2.40383731152297	0.0162239916863579	0.0955199510528172
"cel-miR-1022-5p.ref.0.0.0.0"	154.846610335422	-1.45502887875497	0.458018971202393	-3.17678736087116	0.00148916177851307	0.0176394758288155
"cel-miR-1817.ref.0.0.0.0"	77.0512791578823	-2.3020289730603	0.505670621873487	-4.5524277533296	5.30303746037999e-06	0.000263826113653905
"cel-miR-1819-3p.iso.0.d-T.0.0"	18.1598727351073	-1.68418314133872	0.636025680884041	-2.64797977810864	0.00809743686959292	0.0610374976154921
"cel-miR-1819-3p.ref.0.0.0.0"	23.2465471674602	-2.13271489410251	0.638321391934883	-3.3411302222503	0.000834380784095933	0.012848355505148
"cel-miR-1830-3p.iso.0.0.0.1AC"	6.14967997570679	-2.20665325852116	0.87795203766942	-2.5134098035456	0.0119570349058648	0.0762644213547143
