"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-let-7-5p.ref.0.0.0.0"	7012.36586084072	-1.76256156478574	0.423097790011869	-4.16584914030464	3.10195787662586e-05	0.000630731434913924
"cel-miR-1022-5p.ref.0.0.0.0"	154.846610335422	-1.42406040270407	0.420953022079489	-3.38294376809381	0.00071713314167109	0.00556307902959029
"cel-miR-1-3p.ref.0.0.0.0"	105988.800345112	-1.17586127879002	0.551715907753718	-2.1312803605346	0.0330660520399408	0.0852265848353403
"cel-miR-1817.ref.0.0.0.0"	77.0512791578823	-2.24753801076571	0.455090788836429	-4.93865854000735	7.86618120249837e-07	3.598777900143e-05
"cel-miR-1819-3p.ref.0.0.0.0"	23.2465471674602	-2.07187177859494	0.550723563942401	-3.76209030128159	0.000168499184973903	0.00181384416766025
"cel-miR-1820-5p.ref.0.0.0.0"	527.315712756787	-1.25852439493485	0.463658574569007	-2.71433434851217	0.00664091036476922	0.0264192738424515
"cel-miR-1821.ref.0.0.0.0"	88.6591067424667	-1.30212512729815	0.499946585725921	-2.6045284925938	0.00920007710715918	0.031766303973776
"cel-miR-1830-3p.ref.0.0.0.0"	95.2005283256635	-2.12525059267061	0.471467339746509	-4.50773662034211	6.55228405210999e-06	0.000149883497692016
"cel-miR-2208a-5p.ref.0.0.0.0"	27.0509152647099	3.63992212106965	0.749394806967659	4.85714884494354	1.19088074984389e-06	3.63218628702388e-05
"cel-miR-2209a-3p.ref.0.0.0.0"	27.9650138227102	2.17263159262143	0.562393883932895	3.86318495753889	0.000111918203349479	0.00150987981273474
"cel-miR-2209c-3p.ref.0.0.0.0"	5.84310309584917	3.05235991956051	0.815587077979172	3.74253099635115	0.000182176052933802	0.00185212320482699
"cel-miR-2214-5p.ref.0.0.0.0"	32.1801513295432	1.22105265313198	0.457452397272566	2.6692452819401	0.00760219107661218	0.0275216642868364
"cel-miR-228-3p.ref.0.0.0.0"	39.6388288328078	-1.6890337174092	0.516577174820096	-3.26966385612648	0.00107675354826345	0.00699644965678043
"cel-miR-228-5p.ref.0.0.0.0"	20512.56894022	-1.13263447840878	0.47641618745043	-2.3774055295437	0.0174349083603543	0.0498529410928881
"cel-miR-230-3p.ref.0.0.0.0"	282.728599322784	-2.5051607160543	0.425285320679651	-5.89054123018117	3.84932814103755e-09	3.52213524904936e-07
"cel-miR-230-5p.ref.0.0.0.0"	92.8431255817492	-3.02695604759535	0.475364625544437	-6.36765103025612	1.91945012108698e-10	3.51259372158917e-08
"cel-miR-234-3p.ref.0.0.0.0"	666.743819446225	-1.10349517614776	0.409495782869976	-2.6947656662392	0.00704381494042554	0.0268545444603724
