"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"6374"	631.547231421168	-2.7163340173163	0.108492530400134	-25.0370602224699	2.4152748702127e-138	1.2274426890421e-134
"2303"	1592.16700975657	-1.20049484965447	0.0772095820361895	-15.548521543502	1.62821211601162e-54	4.13728698678553e-51
"2356"	154.542579920358	-2.44278371161207	0.167883018096864	-14.5505110600445	5.79683557032575e-48	9.81983945613181e-45
"6610"	5206.39595218588	-0.919787683230078	0.0650306932633894	-14.1439009346667	2.03673846028985e-45	2.58767621379825e-42
"5292"	5942.79051405226	-0.843768216792512	0.0664366918800997	-12.7003346029824	5.88774353630344e-37	5.98430253029882e-34
"6608"	4441.60747189141	-0.833644443824491	0.0665906984829678	-12.5189322655583	5.88210940296648e-36	4.98214666431261e-33
"4933"	1927.42776126926	-0.847800109113737	0.0764831687575681	-11.0847932020317	1.48693609406841e-28	1.07951560429366e-25
"6142"	1258.11206682253	-0.871718361439061	0.0843242464716678	-10.3376952408576	4.75843890868692e-25	3.02279831674337e-22
"7836"	172.165592973983	1.51559128625248	0.151387813674652	10.0113162972922	1.3593174772969e-23	7.67561268846981e-21
"7297"	1252867.58058529	-0.651749880629424	0.0655904033857484	-9.93666522824035	2.88317746519495e-23	1.46523078781207e-20
"7104"	22090.0412535102	-0.560463722149976	0.0566737042235664	-9.88930809849766	4.6321829414431e-23	2.14006851894671e-20
"3135"	153.801237453088	1.52770650564794	0.159539169150022	9.57574565410561	1.01124932495672e-21	3.95320697648466e-19
"6286"	54.5626139559138	-1.93091535351326	0.201494870759186	-9.58295040582432	9.431151903075e-22	3.95320697648466e-19
"7340"	2536300.25034475	-0.609892746283287	0.0639688860744336	-9.53420926501083	1.51032141628632e-21	5.48246674111936e-19
"6287"	56.3374016655746	-1.8909518181705	0.203364146203473	-9.2983539796565	1.42636665353696e-20	4.83253022218321e-18
"4891"	197.226585042352	-1.34199494300903	0.1477748145504	-9.08135088575146	1.07235516389312e-19	3.40606808931553e-17
"6611"	1703.09716662788	-0.727752981863468	0.0847099435648321	-8.59111635821701	8.61283552891472e-18	2.57473118576145e-15
"1513"	45.6478050338896	-1.61866588519005	0.203251292512524	-7.96386515028092	1.66746973094195e-15	4.70782287369278e-13
"3342"	255.152354449072	-1.06764105447613	0.138113024085108	-7.7301982311113	1.07379242921482e-14	2.87211217119459e-12
"1473"	1304.45911609386	0.600670686143592	0.0797549582210508	7.53145258353416	5.01789336644433e-14	1.2750467044135e-11
"6326"	534.140068586047	-0.824793452363525	0.110758897743242	-7.44674666477393	9.56700769863406e-14	2.31521586306944e-11
"5193"	6809.84182036811	0.624181122934862	0.0847014399454413	7.36919140143208	1.71666049591086e-13	3.96548574555409e-11
"1158"	1261.27284041661	0.738704041062842	0.101018895797242	7.31253331599981	2.6215225105018e-13	5.79242495581312e-11
"6285"	63.746735684101	-1.45511460494387	0.199860659549496	-7.28064546681587	3.32226729288755e-13	7.03490099268938e-11
"1262"	1037.91366489964	0.685372070870262	0.0997894855347267	6.86817921946047	6.50264976969415e-12	1.27101792806099e-09
"7393"	533861.123096914	-0.42076872840833	0.0612195863344585	-6.87310636353472	6.28186908274184e-12	1.27101792806099e-09
"1837"	2686.5817945053	0.541421924802435	0.0797569199284284	6.78840062139174	1.13383439354247e-11	2.13412829184549e-09
"6705"	638810.604884887	-0.368515365212033	0.0547220491530758	-6.73431223639255	1.64707143706158e-11	2.88635070453344e-09
"7375"	43761.5641439131	0.47100823425931	0.0699247215526768	6.73593292616093	1.62881416856457e-11	2.88635070453344e-09
"7409"	1993.87249273501	0.567922374345672	0.0853334498248075	6.6553312389413	2.82662724666849e-11	4.78830655585643e-09
"7584"	7633.41202775061	-0.524296652129947	0.0788637148742726	-6.64813536828439	2.96829256209123e-11	4.86608477437021e-09
"393"	640.945018525842	-0.63825596623404	0.0965661961877629	-6.60951752715845	3.85574570183742e-11	6.12340614273056e-09
"1056"	4297.25305371111	-0.440639964463877	0.0668443533799143	-6.59202972552476	4.33853697565729e-11	6.68134694251223e-09
"2125"	8467.08319292607	-0.434403124784028	0.0661140362424357	-6.57051285132708	5.01422559932264e-11	7.49479249875225e-09
"4939"	1356.82307968803	-0.516520562435841	0.0791344170001091	-6.52712918116436	6.70422229159788e-11	9.73453076740013e-09
"7702"	46114.8145646583	-0.396208827260998	0.061077372982439	-6.48699850556632	8.75632069130606e-11	1.23610060425604e-08
"7291"	48025.2110964941	-0.381211273041345	0.0589912732465958	-6.46216384324853	1.03216251989133e-10	1.41768916921291e-08
"5888"	72471.2449531684	0.419932262832866	0.0651309587436631	6.447506238709	1.1370549293906e-10	1.52066135556922e-08
"4685"	2791.81404682077	0.546527322759322	0.0850188294831356	6.42830918846904	1.29031086841459e-10	1.68137431622639e-08
"2663"	825.172365586913	0.765708730788021	0.119334300545859	6.41650160335728	1.39441482294296e-10	1.77160403254903e-08
"7878"	7828.54659441239	0.399490798510837	0.0626937601341344	6.37209823842308	1.86459380773006e-10	2.31118676363028e-08
"2817"	717.705808507679	0.732163572383541	0.11509972782009	6.36112340359286	2.00283448569681e-10	2.39791596192352e-08
"5185"	1595.3648648711	0.553205602372335	0.086993847647686	6.35913478172327	2.02893322240676e-10	2.39791596192352e-08
"6393"	662.80026513495	-0.583437003669087	0.0930456051424233	-6.27044128280997	3.60026299071619e-10	4.1583037542772e-08
"6999"	5430.8479851603	-0.493719083989092	0.0793583345002169	-6.22138918487185	4.92772141798237e-10	5.56504005470809e-08
"3994"	353.641592621064	-0.739284670501967	0.121850064681592	-6.06716682862502	1.30186309746926e-09	1.43827570898669e-07
"5464"	5528.49967311025	-0.507499166750058	0.0837446533766228	-6.06007842038219	1.36055199127802e-09	1.47113302546275e-07
"4152"	1235.72907818643	-0.478620774667792	0.0792743445131628	-6.03752421552122	1.56496683601318e-09	1.65690863762895e-07
"7398"	9038.7287354424	-0.553779253444843	0.091931039562172	-6.02385501221628	1.70310944989487e-09	1.76636780089097e-07
"3624"	904.589257481976	0.641242872711146	0.106599323530234	6.01544973715783	1.79387958675111e-09	1.82329921197383e-07
"6336"	16021.6342304355	-0.477433643881772	0.0794738717231076	-6.00742902705412	1.88488271706013e-09	1.87823018982345e-07
"5495"	2923.01946286763	0.483343737826971	0.0805549340121121	6.00017545485539	1.97104432565375e-09	1.92631678134084e-07
"4562"	581.973222883462	-0.748485259728	0.127075643226406	-5.8900764987233	3.86016886714689e-09	3.7013921099699e-07
"3489"	2966.80065458811	-0.495005288033702	0.0842787700084793	-5.8734280054621	4.26874463379773e-09	3.97922968621516e-07
"6368"	13987.2011446748	0.393680172117136	0.067043994385922	5.87196773884048	4.30652563443199e-09	3.97922968621516e-07
"4549"	3652.67096697812	-0.403296220532109	0.0690346934270891	-5.84193541698058	5.15978111083948e-09	4.68250135808683e-07
"1288"	174.730930716397	-0.875798226493239	0.1500139961761	-5.83811010184109	5.27962651424554e-09	4.70720385006945e-07
"2423"	1639.91616262719	0.576069507550768	0.0989241679203354	5.82334448357132	5.76814886724872e-09	4.88562209055967e-07
"6818"	5467.17790661163	-0.465354338134942	0.0798467544089313	-5.82809334680847	5.60642178018593e-09	4.88562209055967e-07
"8041"	1203.61956276445	0.468901087872907	0.0805080874683353	5.82427309625671	5.7361712015071e-09	4.88562209055967e-07
"4038"	413.326850378794	0.715880892655197	0.124388142717345	5.75521811819263	8.65299959195649e-09	7.20894162726605e-07
"2886"	87.9050162407872	1.08860051241008	0.190377909854701	5.71810307845546	1.07719794253193e-08	8.82954829668912e-07
"7386"	16185.1980100703	-0.443934482944415	0.0779721170662667	-5.69350300655715	1.24459023592335e-08	1.00396945697817e-06
"7861"	454.637200251042	0.615940137037517	0.110124869191807	5.59310663937972	2.23042201282109e-08	1.77109447955575e-06
"772"	506.861933568698	0.661001760955814	0.11921248094586	5.54473621982587	2.94397644848106e-08	2.30173666325858e-06
"3563"	839.367535772458	0.497912129285218	0.0901909510997019	5.52064395833679	3.37759545171315e-08	2.60074849781913e-06
