"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-let-7-3p.iso.t5:0.t3:0.ad:0.mm:5TG"	544.541049403551	632.865743641755	498.973930613867	651.563435565298	505.206024366534	603.84044740486
"cel-let-7-3p.iso.t5:0.t3:0.ad:u-T.mm:0"	113.850559761845	160.417282777817	111.989161484409	178.703068614211	133.134571866224	133.954206703331
"cel-let-7-3p.iso.t5:0.t3:u-C.ad:0.mm:0"	126.20643446468	122.269270409922	138.119965830771	190.750466498315	148.123232275005	177.907930777862
"cel-let-7-3p.iso.t5:0.t3:u-C.ad:u-A.mm:0"	0	0	0	130.513477077795	111.092424206254	108.837792946457
"cel-let-7-3p.iso.t5:0.t3:u-C.ad:u-T.mm:0"	103.259810016557	0	118.210781566876	156.616172493354	109.329052393456	121.395999824894
"cel-let-7-3p.iso.t5:d-C.t3:0.ad:0.mm:0"	98.8469976226867	140.85419951223	133.142669764797	134.529276372496	149.004918181404	127.675103264112
"cel-let-7-3p.iso.t5:d-C.t3:0.ad:u-T.mm:0"	0	110.531420450569	0	0	0	0
"cel-let-7-3p.ref.t5:0.t3:0.ad:0.mm:0"	7694.17968995163	8679.16189077789	8395.4541392812	9598.76426415996	7650.38860982271	8068.64791939596
"cel-let-7-5p.iso.t5:0.t3:0.ad:0.mm:5TG"	9140.6995926622	8962.82659812891	8509.93194879859	7973.36949962958	8237.59142348434	8060.275781477
"cel-let-7-5p.iso.t5:0.t3:d-T.ad:0.mm:0"	5341.26812154018	5165.63213627838	4763.27233513686	5425.34484714156	5641.02642913976	5602.0067850229
"cel-let-7-5p.iso.t5:0.t3:u-T.ad:0.mm:0"	6309.43916075524	6110.52905800625	5888.14124604693	5679.34415253142	5720.37816071566	5825.96147435503
"cel-let-7-5p.ref.t5:0.t3:0.ad:0.mm:0"	176430.417444272	169144.374222596	165573.486606666	151930.738666261	156985.057320219	155430.833499939
"cel-lin-4-3p.iso.t5:0.t3:0.ad:0.mm:2AC"	93.5516227500428	73.3615622459531	72.1707929566192	82.3238855413782	68.7715006991093	86.8609309091913
"cel-lin-4-3p.iso.t5:d-A.t3:0.ad:0.mm:0"	50.3060612901173	51.8421706538069	62.2162008246717	62.2448890678713	45.8476671327396	58.6049654327074
"cel-lin-4-3p.ref.t5:0.t3:0.ad:0.mm:0"	2602.67674990449	2556.89498281228	2442.60804437661	2645.40778538453	2877.82279848581	2738.7356167392
"cel-lin-4-5p.iso.t5:0.t3:0.ad:0.mm:13AC"	1152.62659727883	998.695400708241	0	917.610138839264	1414.22419386374	1129.19210181949
"cel-lin-4-5p.iso.t5:0.t3:0.ad:0.mm:2AC"	1980.47020236883	2093.24990941786	2387.8577876509	2127.36967636805	2019.06072565334	2240.59341056119
"cel-lin-4-5p.iso.t5:0.t3:u-A.ad:0.mm:0"	4898.22175719564	5406.2580604451	6408.26868494118	5377.15525560514	5487.61308142636	6050.96268092704
"cel-lin-4-5p.iso.t5:0.t3:u-A.ad:u-G.mm:0"	3386.39223105579	3169.21948902517	4037.83143352119	3447.56369450113	3259.5927959565	3490.1349949657
"cel-lin-4-5p.ref.t5:0.t3:0.ad:0.mm:0"	61578.1492690187	61128.7662799812	73405.1623809806	65159.3554060008	63916.9380984773	68560.4839355885
"cel-lsy-6-3p.iso.t5:0.t3:0.ad:0.mm:13AC"	0	28.3664707351019	29.8637763958424	26.1026954155589	19.3970899407744	20.9303447973955
"cel-lsy-6-3p.iso.t5:0.t3:0.ad:0.mm:5TG"	97.9644351439127	98.7935704912168	109.500513451422	102.402882014885	86.4052188270861	98.3726205477588
"cel-lsy-6-3p.iso.t5:0.t3:u-A.ad:0.mm:0"	67.9573108655971	68.4707914295562	77.1480890225929	63.2488388915466	67.0081288863117	53.3723792333585
"cel-lsy-6-3p.ref.t5:0.t3:0.ad:0.mm:0"	1480.93983938275	1534.72388218534	1613.88824939198	1355.33226196171	1215.844864924	1200.35527413063
"cel-miR-1-3p.iso.t5:0.t3:0.ad:u-A.mm:0"	479.231425974276	432.344140169484	389.473417162445	569.23955002392	643.630711671151	632.096412881344
"cel-miR-1-3p.iso.t5:0.t3:0.ad:u-T.mm:0"	475.70117605918	423.540752699969	322.279920271799	524.061807958529	530.7749156521	578.724033647985
"cel-miR-1-3p.iso.t5:0.t3:u-A.ad:0.mm:0"	1192.34190882366	1047.60310887221	945.68625253501	1456.73119415292	1731.63112016732	1588.61317012232
