"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-miR-794-5p.ref.t5:0.t3:0.ad:0.mm:0"	5148.76789796133	-0.740641002586256	0.0374949124935803	-19.7531065771407	7.54318548965149e-87	5.92140060937642e-84
"cel-miR-1829c-5p.iso.t5:0.t3:u-A.ad:0.mm:5TG"	89.3832027168919	2.82839561774056	0.158262215192649	17.8715785969356	1.96358329214054e-71	7.70706442165162e-69
"cel-miR-237-5p.iso.t5:0.t3:d-T.ad:0.mm:0"	205428.675739316	-0.592201972381102	0.0381757034800025	-15.5125359429542	2.85381363503645e-54	7.46747901167871e-52
"cel-miR-237-5p.ref.t5:0.t3:0.ad:0.mm:0"	889168.075711034	-0.535801589115762	0.0371561974020879	-14.4202482110199	3.85952041959621e-47	7.57430882345756e-45
"cel-let-7-3p.iso.t5:0.t3:u-C.ad:u-A.mm:0"	58.4072823717508	2.12668119204519	0.16077402615797	13.2277659698315	6.06638144989008e-40	9.52421887632742e-38
"cel-miR-237-5p.iso.t5:0.t3:0.ad:0.mm:2AC"	31936.3123463849	-0.562323319785325	0.0435617208762305	-12.9086571529858	4.0225480016205e-38	5.26283363545349e-36
"cel-miR-82-3p.iso.t5:0.t3:u-GT.ad:0.mm:0"	64535.0612339069	-0.510038360825069	0.0397329570690389	-12.8366574866009	1.02192198562051e-37	1.14601251244586e-35
"cel-miR-58a-5p.iso.t5:d-T.t3:0.ad:u-T.mm:0"	55.4981568975379	2.01078705560935	0.160497926573932	12.5284301083048	5.2185441812856e-36	5.1206964778865e-34
"cel-miR-243-3p.iso.t5:0.t3:u-C.ad:0.mm:0"	52.0995708520534	2.00828649830078	0.160553650627095	12.50850722146	6.70728529661379e-36	5.85024328649092e-34
"cel-miR-243-3p.iso.t5:0.t3:u-TC.ad:0.mm:0"	46.9246475961815	1.81955993606502	0.159587928322328	11.401613863863	4.10439063894054e-30	3.22194665156832e-28
"cel-miR-799.ref.t5:0.t3:0.ad:0.mm:0"	295.594516081512	-1.0333005903773	0.0993023625506313	-10.4055992610493	2.33780494853653e-25	1.66834262236471e-23
"cel-miR-82-3p.iso.t5:0.t3:u-T.ad:0.mm:0"	97657.1833491633	-0.516325027272031	0.0501867297921518	-10.288078729385	7.975176375396e-25	5.21709454557155e-23
"cel-miR-77-5p.ref.t5:0.t3:0.ad:0.mm:0"	10108.2578054866	-0.351974589838705	0.0352342175254945	-9.98956737393205	1.69319096589806e-23	1.0224268524846e-21
"cel-miR-82-3p.ref.t5:0.t3:0.ad:0.mm:0"	2216031.85704606	-0.501055752729207	0.0516822086766205	-9.69493691464216	3.1683341893307e-22	1.77653024187472e-20
"cel-miR-246-5p.ref.t5:0.t3:0.ad:0.mm:0"	982.711234554039	-0.657729037767549	0.0695630214528126	-9.45515338510293	3.22548719975305e-21	1.68800496787076e-19
"cel-miR-54-5p.ref.t5:0.t3:0.ad:0.mm:0"	23030.9255977467	-0.234623536071898	0.0257386216607502	-9.11562161969551	7.82207535195778e-20	3.83770571955428e-18
"cel-miR-249-3p.ref.t5:0.t3:0.ad:0.mm:0"	6874.93457169095	-0.356915926920991	0.0395650844520472	-9.02098230963142	1.86410190427101e-19	8.60776467560436e-18
"cel-miR-65-5p.ref.t5:0.t3:0.ad:0.mm:0"	396295.821309355	-0.341026618898919	0.0387989281550178	-8.78958865916028	1.50108548594189e-18	6.54640059146882e-17
"cel-miR-795-5p.ref.t5:0.t3:0.ad:0.mm:0"	7301.57251992869	0.2604876744722	0.0334873736949712	7.77868329851489	7.32832634854603e-15	3.02775588610981e-13
"cel-miR-61-3p.iso.t5:0.t3:d-T.ad:0.mm:0"	20520.8845889827	0.243831849904606	0.0320465844080214	7.60866889276266	2.76933199698487e-14	1.08696280881656e-12
"cel-miR-1022-5p.iso.t5:0.t3:d-T.ad:0.mm:0"	3535.59823125287	0.314364557417591	0.0432099821585973	7.2752762605583	3.45712230267566e-13	1.29230524171447e-11
"cel-miR-229-3p.iso.t5:u-G.t3:d-C.ad:0.mm:0"	12123.6729178064	-0.436770917089399	0.0609437544934214	-7.16678715842074	7.67782570741254e-13	2.73958780923584e-11
"cel-miR-794-5p.iso.t5:0.t3:0.ad:0.mm:5TG"	270.890177929556	-0.690146738045468	0.0964942539085395	-7.1522055468672	8.53945688158046e-13	2.91455376175681e-11
"cel-miR-64-5p.ref.t5:0.t3:0.ad:0.mm:0"	391946.11895725	-0.269292047003905	0.0379882316123602	-7.08882818636617	1.35252314794259e-12	4.42387779639554e-11
