"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-let-7-3p.iso.t5:0.t3:0.ad:0.mm:5TG"	9.14229895184069	9.19511638619854	9.11429238509671	9.20582479916363	9.11762948937368	9.17809401923619
"cel-let-7-3p.iso.t5:0.t3:0.ad:u-T.mm:0"	7.09188479872868	7.13089220079798	7.09070414601147	7.14561153945653	7.10830913796715	7.10903152424045
"cel-let-7-3p.iso.t5:0.t3:u-C.ad:0.mm:0"	7.21063828944363	7.2073983828952	7.22089957225042	7.26355642947828	7.22907817199348	7.25328561373194
"cel-let-7-3p.iso.t5:0.t3:u-C.ad:u-A.mm:0"	5.76462303270405	5.76494071202611	5.7658053969983	5.88468021668949	5.86831350260272	5.86592452379827
"cel-let-7-3p.iso.t5:0.t3:u-C.ad:u-T.mm:0"	6.64726965068448	6.55174261465989	6.6599493774119	6.69233569988584	6.65256373240697	6.66282445856628
"cel-let-7-3p.iso.t5:d-C.t3:0.ad:0.mm:0"	7.00098669593644	7.03682589137595	7.03036097928219	7.03154724275503	7.04364594261901	7.02580448114041
"cel-let-7-3p.iso.t5:d-C.t3:0.ad:u-T.mm:0"	4.10694578232915	4.21050688163461	4.10732666793087	4.10707549703442	4.10694483844446	4.1071205220355
"cel-let-7-3p.ref.t5:0.t3:0.ad:0.mm:0"	12.956891040321	13.0588141577694	13.0304754670237	13.145633558896	12.9521150829247	12.9968742795087
"cel-let-7-5p.iso.t5:0.t3:0.ad:0.mm:5TG"	13.1134472864993	13.0965389559196	13.0522440077006	12.9972024513812	13.0246516121795	13.0063269162128
"cel-let-7-5p.iso.t5:0.t3:d-T.ad:0.mm:0"	12.3800028088388	12.3533201607135	12.2896353124251	12.3925221183454	12.4240095411697	12.4183266825749
"cel-let-7-5p.iso.t5:0.t3:u-T.ad:0.mm:0"	12.5834188577352	12.5571097299504	12.526905357072	12.4976968693277	12.5034714727345	12.5182918556417
"cel-let-7-5p.ref.t5:0.t3:0.ad:0.mm:0"	17.3877412809503	17.3476631935071	17.3274432469866	17.2464967033489	17.277188916605	17.267842929437
"cel-lin-4-3p.iso.t5:0.t3:0.ad:0.mm:2AC"	6.32482520552783	6.3070801238899	6.30611702704702	6.31497542944693	6.30295352310237	6.31892361663073
"cel-lin-4-3p.iso.t5:d-A.t3:0.ad:0.mm:0"	5.78015529842454	5.78156855224241	5.79079946929474	5.79090777463253	5.77608470687842	5.78764689967189
"cel-lin-4-3p.ref.t5:0.t3:0.ad:0.mm:0"	11.3569905273096	11.3448602835337	11.3141152082686	11.3682082468108	11.4270201238109	11.3922048214247
