"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-let-7-3p"	8681.28174287157	9820.02834228618	9422.93870728756	10969.5271336951	8862.48683519651	9275.39905292357
"cel-let-7-5p"	197230.84838052	188881.894241511	185266.630427934	169895.014897717	177711.139702959	173667.222953048
"cel-lin-4-3p"	2746.66010408869	2674.99679262355	2613.11530301419	2771.80541048724	3011.54188212424	2863.55996301752
"cel-lin-4-5p"	72999.200047902	72603.432275941	86487.3778370112	76527.3630532724	76583.1373907664	80888.2957623054
"cel-lsy-6-3p"	1646.93693901976	1725.77291252774	1835.66982365515	1537.01048490854	1397.51869898223	1363.20416236538
"cel-lsy-6-5p"	3.53041144484407	5.85338466657233	0	4.98705543448586	3.54925383868502	0
"cel-miR-1-3p"	29854.0417804627	26862.1577990115	23309.6374140411	32480.6920448064	37122.5332122663	36464.6723157111
"cel-miR-1-5p"	1726.37119652875	1898.44776019163	1824.43866905766	1870.1457879322	1754.21870977007	1931.55223920521
"cel-miR-1018"	1297.4262059802	1168.72580509228	1226.69166325833	1562.94317316787	1508.43288144114	1586.59508836275
"cel-miR-1019-5p"	4.41301430605509	7.80451288876311	14.9748727966429	16.9559884772519	24.8447768707952	14.5463858788988
"cel-miR-1020-3p"	2114.7164554616	2034.05117163388	2127.67984318968	1926.00080879844	1934.34334208334	1804.79087654624
"cel-miR-1020-5p"	13.2390429181653	21.4624104440985	17.4706849294168	8.97669978207455	10.6477615160551	9.3512480650064
"cel-miR-1022-3p"	22.9476743914865	13.6578975553354	19.9664970621906	12.9663441296632	23.0701499514527	16.6244410044558
"cel-miR-1022-5p"	6050.24261360152	6232.87910578843	6238.28242586817	7684.05501345582	7662.83903772097	7525.67663720459
"cel-miR-124-3p"	1455.41211813697	1456.51721786541	1496.23937359791	1842.21827749908	1842.06274227753	1874.40572325239
"cel-miR-124-5p"	28.2432915587526	37.0714362216248	44.9246183899288	33.9119769545039	29.2813441691514	28.0537441950192
"cel-miR-1817"	1840.22696562497	1960.88386330173	1743.32477474251	1556.95870664649	1827.86572692279	1678.02951388726
"cel-miR-1819-3p"	105.029740484111	98.5319752206342	94.8408610454052	102.733341950409	87.8440325074543	113.254004342855
"cel-miR-1819-5p"	37.9519230320738	64.3872313322956	32.4455577260597	50.8679654317558	49.6895537415903	48.834295450589
"cel-miR-1820-3p"	37.9519230320738	55.6071543324371	46.1725244563157	45.8809099972699	55.9007479592891	43.6391576366965
"cel-miR-1820-5p"	2644.27817218821	2510.12645784843	2050.30966707369	2814.69408722382	2782.61500952906	2675.49597415461
"cel-miR-1821-3p"	677.838997410061	632.165543989812	738.760391301051	655.299084091442	631.767183285934	599.518903723188
"cel-miR-1822-3p"	811.112029452925	871.178751208182	894.748649599415	887.695867338483	897.07390772764	970.451743635109
"cel-miR-1822-5p"	112.090563373799	81.9473853320126	112.311545974822	98.7436976028201	93.1679132654819	85.2002601478361
"cel-miR-1823-3p"	8.82602861211017	4.87782055547694	0	0	7.09850767737005	3.11708268833547
"cel-miR-1824-3p"	30.8911001423856	39.0225644438155	38.6850880579942	35.9067991282982	35.4925383868502	33.2488820089116
"cel-miR-1824-5p"	67.0778174520373	69.2650518877726	58.6515851201848	94.7540532552314	68.3231363946867	101.824701152292
"cel-miR-1828"	213.589892413066	186.332745219219	204.656594887453	194.495161944949	202.307468805046	190.142043988463
"cel-miR-1829a-3p"	323.032647203232	298.522617995189	349.413698588335	259.326882593265	283.052993635131	230.664118936825
"cel-miR-1829a-5p"	1742.25804803055	2043.80681274484	1830.6781993896	1603.83702773065	1594.50228702925	1695.69298245449
"cel-miR-1829b-3p"	231.241949637287	213.64854032989	234.606340480739	124.676385862147	160.603736200497	142.346776100653
"cel-miR-1829b-5p"	16117.2108485744	15860.7213181888	14926.2044600538	17049.7451194203	17991.1677082944	16583.9189295075
