"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cel-miR-794-5p"	5510.61560183385	-0.725233755487831	0.0519665200126146	-13.9557883674294	2.9007629204683e-44	9.34045660390794e-42
"cel-miR-237-5p"	1125455.72118697	-0.544376158820435	0.0457814793287138	-11.8907507315738	1.32212799471226e-32	2.12862607148674e-30
"cel-miR-82-3p"	2375851.95405213	-0.501776223331351	0.0528632151705871	-9.49197323152105	2.26701596782769e-21	2.43326380546839e-19
"cel-miR-799"	312.112941564253	-0.979756040316698	0.104606251096016	-9.36613280804224	7.52388053048579e-21	6.05672382704106e-19
"cel-miR-246-5p"	1265.60225024621	-0.619354309197719	0.0676467825831494	-9.15570978466607	5.40016274873546e-20	3.47770481018563e-18
"cel-miR-249-3p"	7846.0844510614	-0.328386967643431	0.0503791207683184	-6.51831478269747	7.11016608372436e-11	3.81578913159874e-09
"cel-miR-1022-5p"	6898.99580560658	0.296753042731286	0.0466831877527704	6.35674333772709	2.06075884775876e-10	8.61039830123043e-09
"cel-miR-65-5p"	496844.875423469	-0.310753748477458	0.0489299105824321	-6.35099767766656	2.13922939161005e-10	8.61039830123043e-09
"cel-miR-77-5p"	12708.9991711251	-0.288293779129429	0.0469531710500404	-6.14002787633193	8.25070006533811e-10	2.95191713448764e-08
"cel-miR-62"	3206.53480053624	0.326647170880519	0.054310022239634	6.01449156914801	1.80452157902449e-09	5.81055948445884e-08
"cel-miR-60-3p"	73139.1919235055	0.34050193917181	0.0579115016294327	5.87969452684257	4.11024304898746e-09	1.20318023797633e-07
"cel-miR-54-5p"	32971.8701291079	-0.243852583408528	0.0421988299436725	-5.77865745884483	7.52990532343134e-09	2.02052459512074e-07
"cel-miR-795-5p"	9110.46378961407	0.252538317974815	0.0456110931403958	5.53677407374287	3.0809355860791e-08	7.63124045167285e-07
"cel-miR-229-3p"	57257.1404744372	-0.293655943191998	0.0532785895449331	-5.51170640402069	3.55371358932001e-08	8.17354125543603e-07
"cel-miR-82-5p"	878.857148605323	-0.413281926421344	0.07517833800749	-5.49735385717318	3.85532585042773e-08	8.27609949225152e-07
"cel-miR-124-3p"	1661.14257543821	0.320688834033071	0.0594817227024207	5.39138443648372	6.99169166585882e-08	1.40707794775409e-06
"cel-miR-64-5p"	501136.623296228	-0.244099323237405	0.0473944499821217	-5.15037780435231	2.59962259235551e-07	4.92399102787337e-06
"cel-miR-79-3p"	26036.5085017156	0.233535791270621	0.0457614201614684	5.10333356016037	3.3372202565489e-07	5.96991623671526e-06
"cel-miR-789-5p"	3867.8753593386	-0.330456118011502	0.0664035158731478	-4.97648526085245	6.47492041947977e-07	1.05106407999281e-05
"cel-miR-798"	173.772120420651	0.629096284188523	0.12645421851365	4.974893614329	6.52834832293671e-07	1.05106407999281e-05
"cel-miR-70-3p"	592583.120218707	-0.257678723797215	0.053076967613107	-4.85481246169729	1.20500727717534e-06	1.84767782500219e-05
