"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-let-7-3p"	13.137181399767	13.2405547153596	13.2056990216752	13.3352947989765	13.1543489589609	13.1924365019088
"cel-let-7-5p"	17.5426450308349	17.5052214452417	17.4885697606838	17.4146077182228	17.4528700926838	17.4332473534871
"cel-lin-4-3p"	11.4307158783696	11.4095628039735	11.3911806238141	11.4380581820197	11.5054585061388	11.4643273979682
"cel-lin-4-5p"	16.1913626692627	16.1867577234463	16.3371965287339	16.2315576617292	16.232179715479	16.2791534425775
"cel-lsy-6-3p"	10.6567006224876	10.6931538684393	10.7411677820758	10.6033934282476	10.5313158252623	10.5133460111762
"cel-lsy-6-5p"	1.59796346804425	1.60831289008805	1.58284215283549	1.60439121551001	1.59804733396252	1.58210841964995
"cel-miR-1-3p"	14.8817114399577	14.792793902098	14.6761376039807	14.953885538198	15.0702786466728	15.0545248094543
"cel-miR-1-5p"	10.7934584914665	10.867451380965	10.8363502092181	10.8556519230708	10.8058122049906	10.8810037029388
"cel-miR-1018"	10.3861916142914	10.3096318287894	10.3457936576032	10.5284149838376	10.5010438587684	10.5400319051228
"cel-miR-1019-5p"	3.74529678857549	3.76153371229127	3.7925113462909	3.80125254873702	3.83544547366676	3.79095039503794
"cel-miR-1020-3p"	11.0060049125596	10.9750393016375	11.0104388906533	10.9322051945199	10.9355181659188	10.8820128044123
"cel-miR-1020-5p"	3.74750131325182	3.78258000222919	3.76457058901206	3.72896991501544	3.7359192563812	3.73081056550867
"cel-miR-1022-3p"	4.2060165707294	4.16633879155479	4.19264071263599	4.16348693799637	4.20650966876346	4.17913217643385
"cel-miR-1022-5p"	12.6407967723564	12.6652220583005	12.6661078909441	12.8405013707207	12.8382116918643	12.8227373166916
"cel-miR-124-3p"	10.5937078869105	10.5945592719541	10.615392619952	10.7755895391635	10.7757690934039	10.7892364384628
"cel-miR-124-5p"	5.03984988650349	5.07522850675541	5.10263995779515	5.06286564049751	5.0441350530741	5.03989211116438
"cel-miR-1817"	10.8179304480052	10.8680913715736	10.775712532349	10.6892877773615	10.8126260920139	10.7462591857502
"cel-miR-1819-3p"	6.66225250666756	6.6425368748613	6.63210596192609	6.65514073771538	6.60902403907972	6.68568986986264
"cel-miR-1819-5p"	5.52772072670136	5.62472111278147	5.51068428941303	5.57662594058427	5.5725646194289	5.56917310334781
"cel-miR-1820-3p"	5.53222812895895	5.59839523169123	5.56426794243853	5.56293584540302	5.60005102940359	5.55474935259993
"cel-miR-1820-5p"	11.3503603283016	11.3085761642362	11.1520494780733	11.4009849595125	11.3917619417613	11.3597573321889
"cel-miR-1821-3p"	9.37830646400435	9.33145381962725	9.436065315159	9.35538342445321	9.33090141522793	9.29694134323172
"cel-miR-1822-3p"	9.73046860738549	9.78065355575791	9.79951926285736	9.79396205989832	9.80147408571167	9.85792876268785
"cel-miR-1822-5p"	6.64523854254346	6.55264701945161	6.64301177315665	6.60482629826663	6.58761320784268	6.56340450092636
"cel-miR-1823-3p"	2.03905446076771	2.02108883298019	2.00040671088157	1.99922928728003	2.03125982384089	2.01328616938142
"cel-miR-1824-3p"	5.13049990931065	5.16267427089193	5.16062777296032	5.15061530499828	5.14901167004459	5.1403596354734
"cel-miR-1824-5p"	6.22216391225513	6.23017277533759	6.19703170530585	6.31240143831609	6.22649681313908	6.33343762966544
"cel-miR-1828"	7.66668674647096	7.60542973646359	7.64624936623267	7.62406294540383	7.64163523919813	7.61432059737935
"cel-miR-1829a-3p"	8.23602594203509	8.19263000998023	8.27683154122539	8.12032658962059	8.16453987761717	8.06460216198842
"cel-miR-1829a-5p"	10.7684472077797	10.89473084483	10.8068496906933	10.7048838730511	10.7002262661388	10.7475326132568
"cel-miR-1829b-3p"	7.61964950628712	7.58050689421107	7.62146703153664	7.36465388584408	7.45642638776337	7.41191420270071
"cel-miR-1829b-5p"	13.986607903013	13.9730542331592	13.9222082561765	14.034452510758	14.080562207355	14.0108346414526
"cel-miR-1829c-3p"	7.63654683532564	7.57503378168956	7.57979592533285	7.35914700355426	7.45097133846308	7.40639947664374
"cel-miR-1829c-5p"	13.9665409903593	13.9998560087948	14.0111423760252	13.9356609436157	13.9446686990923	13.9104517956986
"cel-miR-1830-3p"	11.7694742427613	11.7140698630011	11.6838367599342	11.5479217928625	11.5927645418692	11.6163470033884
"cel-miR-1830-5p"	10.1426921447277	10.1393081839594	10.1155412046146	10.0740341571784	10.008805633307	9.93671601413401
"cel-miR-1832a-3p"	7.62446494899184	7.60321762075478	7.63290744545439	7.59970573950441	7.54695232506672	7.54209890747681
"cel-miR-1832a-5p"	6.48268353819769	6.43427681715537	6.52708025946137	6.41111672997671	6.45619156409739	6.42480899966897
"cel-miR-1832b-5p"	1.72728116277185	1.71644571963057	1.70423808122274	1.72562876798945	1.73143466146578	1.70344581450287
"cel-miR-1833"	2.0311953389454	2.03266367659721	2.0471442535164	2.04209829384744	2.01858282682089	2.05687472224437
"cel-miR-2-3p"	15.6415796153288	15.7008382333082	15.6998786386714	15.7749756807886	15.7984358738945	15.8256528611001
"cel-miR-2-5p"	9.53598881615976	9.5346990194045	9.44881257135277	9.59403576160003	9.63275009215494	9.64211462015449
