"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-I_1060-5p"	10.4148704372672	12.6263811924713	11.7203118177973	9.60239991876187	7.80193134117398	0
"cel-I_1090-5p"	5.20743521863359	5.82756055037137	0	0	3.46752504052177	9.89176824248423
"cel-I_1388-5p"	8.67905869772266	10.6838610090142	7.0321870906784	5.76143995125712	5.20128756078266	6.59451216165615
"cel-I_1522-5p"	41.6594817490688	36.9078834856854	46.8812472711893	37.4493596831713	40.7434192261308	32.9725608082808
"cel-I_158-3p"	6.07534108840586	5.82756055037137	7.0321870906784	4.80119995938094	4.33440630065221	5.49542680138013
"cel-I_158-5p"	41.6594817490688	61.1893857788994	64.4617149978853	71.0577593988378	55.4804006483483	54.9542680138013
"cel-I_1653-5p"	24.3013643536234	16.5114215593856	28.1287483627136	13.4433598862666	21.6720315032611	17.5853657644164
"cel-I_1914-5p"	6.07534108840586	6.79882064209994	0	3.84095996750475	3.46752504052177	4.3963414411041
"cel-I_218-5p"	5.20743521863359	5.82756055037137	7.0321870906784	3.84095996750475	7.80193134117398	27.4771340069006
"cel-I_2247-5p"	22.5655526140789	32.0515830270426	19.9245300902555	26.8867197725332	12.1363376418262	17.5853657644164
"cel-I_274-3p"	2.6037176093168	6.79882064209994	0	2.88071997562856	5.20128756078266	0
"cel-I_2745-5p"	44.2631993583855	36.9078834856854	35.160935453392	48.9722395856855	48.5453505673048	36.2698168891088
"cel-I_282-5p"	11.2827763070395	7.7700807338285	7.0321870906784	7.6819199350095	8.66881260130443	7.69359752193218
"cel-I_2836-5p"	328.936324643689	406.957978434268	335.200917989004	282.310557611599	325.080472548916	319.833839840323
"cel-I_3001-5p"	0	4.85630045864281	3.5160935453392	3.84095996750475	5.20128756078266	3.29725608082808
"cel-I_3053-5p"	7.81115282795039	3.88504036691425	0	0	5.20128756078266	5.49542680138013
"cel-I_3355-5p"	5.20743521863359	13.5976412841999	9.37624945423787	6.72167994313331	13.0032189019566	15.3871950438644
"cel-I_3377-5p"	33.8483289211184	41.7641839443282	29.3007795444933	34.5686397075427	44.2109442666526	35.1707315288328
"cel-I_3448-5p"	18.2260232652176	21.3677220180284	11.7203118177973	20.1650398293999	28.6070815843046	23.0807925657965
"cel-I_3460-3p"	12.1506821768117	4.85630045864281	11.7203118177973	15.363839870019	18.2045064627393	5.49542680138013
