"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-I_1060-5p"	3.1402486069924	3.20549055569549	3.17470831364137	3.11335476264304	3.05371894773914	2.76318817647846
"cel-I_1090-5p"	2.00143903488366	2.02214837079418	1.80311706451263	1.79400501958592	1.93555268681942	2.15008369834664
"cel-I_1388-5p"	2.90910432559191	2.96995110658306	2.85444534981321	2.81031736432908	2.78882352454091	2.83991141485546
"cel-I_1522-5p"	5.34033771717049	5.25021104191342	5.42767390953232	5.2607199547662	5.32339821375522	5.1727966469712
"cel-I_158-3p"	2.49508398618018	2.48613350635871	2.52479942419318	2.44996435396417	2.43206031201247	2.47466277990542
"cel-I_158-5p"	5.57491780777653	5.90034918997262	5.94492767776238	6.03536613720754	5.81446269456531	5.80712583047603
"cel-I_1653-5p"	4.42798435161276	4.22735340242258	4.50678816179392	4.13758035315992	4.36380808795339	4.2584382408621
"cel-I_1914-5p"	2.09088333347216	2.1134630493194	1.86692478154759	2.01024597935914	1.99588552161732	2.03009109341337
"cel-I_218-5p"	2.98578868317473	3.01271065644227	3.05961177014697	2.93489871239763	3.08362448724893	3.60731752638096
"cel-I_2247-5p"	4.44831796727781	4.65862944232032	4.38242966975283	4.54908554794966	4.15175108113801	4.32089719261176
"cel-I_274-3p"	1.50150959015957	1.65063398558244	1.40299587082168	1.51230869664531	1.59863556759433	1.40085457307367
"cel-I_2745-5p"	5.42494786634063	5.28778490129806	5.25616458919433	5.50405375365512	5.49833044517763	5.27683171171624
"cel-I_282-5p"	3.15487680346053	3.04260198736565	3.01974893667852	3.03962199914512	3.07221009951043	3.04065624991716
"cel-I_2836-5p"	8.36292944009086	8.63118328355265	8.38654919822673	8.17242504456696	8.34810791142271	8.32793847805493
"cel-I_3001-5p"	1.62029933234383	1.81272749293203	1.76392679531016	1.77619253944901	1.82649133251977	1.75610060984769
"cel-I_3053-5p"	2.00559890300468	1.86676137777496	1.71986588346003	1.71155422429975	1.91569711118383	1.92262692997599
"cel-I_3355-5p"	3.18719912352256	3.46486454726106	3.33750271298489	3.24625062541674	3.44936333856094	3.51157866329908
"cel-I_3377-5p"	5.13226750543795	5.28464826527973	5.04034304240612	5.14758258611498	5.32931923319335	5.16013063339187
"cel-I_3448-5p"	4.28759744692261	4.36980566861472	4.10865371972914	4.33942091069072	4.53971444686733	4.41029402963637
"cel-I_3460-3p"	3.49564020051371	3.24937179214648	3.48102326306112	3.58756928359656	3.66643127491915	3.2789667105416
"cel-I_3476-5p"	3.77044297764564	3.42818942360441	3.68587875174987	3.58169676221828	3.60025405874334	3.5327768730852
"cel-I_3488-5p"	3.22208308863961	3.52776919322813	3.29797004057726	3.57605535669287	3.45841961836265	3.38875376428331
"cel-I_3599-5p"	2.53224923728676	2.3247710923208	2.632747917065	2.73981352781807	2.53201436753509	2.58121281947191
"cel-I_3603-5p"	3.10126435478473	3.27499958095208	3.05710517342337	2.93744958945595	3.07240162977512	2.92697336857899
"cel-I_3817-5p"	8.57404193966055	8.61459044203492	8.73132322212895	8.5683145150521	8.44493152731396	8.52699201262761
"cel-I_3862-5p"	5.09811419401775	5.29180097362693	5.27016065072655	5.28336140706973	5.29316393775422	5.36515806370648
"cel-I_3943-5p"	2.26743357224938	1.76878903301165	1.96074195288229	2.03651349677763	1.76357128135278	1.77471574757165
"cel-I_4073-3p"	6.22266676385769	6.24685240261813	6.13988249631512	6.49497482021766	6.44270152451862	6.42835845401519
"cel-I_4073-5p"	6.7077163527933	6.88176658496957	6.49035773112097	6.96283795703012	6.95351807195557	7.17389400250581
"cel-I_4098-5p"	2.55612004982702	2.61058964939104	2.68471964669232	2.95147381633223	2.62552063813232	2.81557772462699
"cel-I_4118-5p"	3.05471271840736	3.2501604956815	3.37489682541485	3.30847592967537	3.38378205449887	3.32064806113441
"cel-I_4122-3p"	2.31345653485969	2.36713799311673	2.44100474493523	2.52785010696014	2.16572373822406	2.46362189701041
"cel-I_4122-5p"	2.66556229748902	2.53511415691431	2.68084116870486	2.53303188087712	2.54673539284927	2.4807934182609
"cel-I_4245-5p"	6.11629167632222	5.93531855939153	6.29726996629655	6.23589756039758	6.30372949736581	6.20942845299945
"cel-I_4360-3p"	3.13664524135003	2.94685755219462	3.23646631574454	2.90800930635986	3.07984304227938	3.11764078803709
"cel-I_4360-5p"	4.02624602033168	3.59443061496309	4.11303640266389	3.59077844146994	3.68150706544358	3.73911854997278
"cel-I_438-3p"	2.51632889619532	2.43056794876737	2.57889474011431	2.69437934632826	2.69241903442872	2.3177022407732
"cel-I_438-5p"	5.47732175870679	5.38048924918157	5.196174846912	5.6485130348696	5.64709668138964	5.37690847025777
"cel-I_439-5p"	2.62854738367807	2.61378317022172	2.79698188789247	2.80787973051148	2.69175449300466	2.71016836563854
"cel-I_4506-3p"	2.67789527356471	2.7673179970499	2.62200129616792	2.62860187428896	2.87975766819205	2.79860066505238
"cel-I_4506-5p"	2.90313073672979	2.92767876930961	3.14582958185732	2.89058423842762	3.05237731369976	3.09361929448389
"cel-I_4853-3p"	4.32247711913292	4.57991497856173	4.25427613006377	4.32600642626259	4.36732389651658	4.31342421388594
"cel-I_4853-5p"	7.22832579566383	7.27420164785106	7.35978298900716	7.02250473340911	7.12476763374048	7.31841796504013
"cel-I_4890-3p"	3.83305188488403	3.68040819287558	3.93544284038633	3.76647197273709	3.78141807435087	3.87888774626679
"cel-I_4890-5p"	3.57270665034965	3.7218731655742	3.51687194207402	3.69131317461396	3.62515248588282	3.46175192700537
"cel-I_4990-5p"	3.02612520225902	2.99903620891355	2.6846160190723	3.05677049956802	3.15717465570507	2.89029448726538
"cel-I_5004-5p"	6.13649255892112	5.57271671579259	5.99950163879302	6.02486217354209	5.9321116699609	6.22695621552721
"cel-I_5091-5p"	3.5956898617871	3.57474680773016	3.67288934041178	3.86915289072633	3.67655082827328	3.61672919323123
"cel-I_513-5p"	4.20825750184908	4.22180405594466	4.3214317424712	3.79067052551217	3.85061193010691	4.09940225164533
"cel-I_5752-5p"	5.40357368008651	5.72186879912313	5.36978845717771	5.83907126031305	5.76428900432952	5.66311275520559
"cel-I_577-3p"	1.59929746588604	1.7548185760282	1.49743189224733	1.87684779517478	1.48620752572437	1.494936066009
"cel-I_577-5p"	3.93448669256551	3.77596028689625	3.56307919810283	3.77153402557671	3.93393855573232	3.9416332432484
"cel-I_6700-5p"	2.47124513715827	2.36018807289349	2.54399026876617	2.2009278653472	2.37609303250708	2.52783567997932
"cel-I_6748-5p"	3.62035731696057	3.42608919251805	3.65369440267035	3.71317799188628	3.29311871369505	3.62883217175587
"cel-I_6758-5p"	1.72623580685936	1.88475911889321	1.87136915353281	1.95173202107967	1.96411455762876	1.86333265607616
"cel-I_687-5p"	2.96919707484611	2.55675601275614	2.86810386055942	2.91489162880903	2.9143706016022	2.7780010574473
"cel-I_7122-5p"	1.8162993239857	2.23851216329687	1.83030209442472	2.01419654900977	1.99726093234967	1.99867327053654
"cel-I_7130-5p"	3.26128523261761	3.16467005600117	3.08652204568684	3.03585183334131	3.04202880298905	2.99586009199796
"cel-I_7143-3p"	4.01890050030915	4.19700439626538	4.15394272519961	4.23844801099413	4.06916552733014	4.03467598523176
"cel-I_7143-5p"	2.91278904427874	2.8279129037311	3.05607165042112	3.06510119149468	3.0639306056482	3.16917881311137
"cel-I_719-5p"	2.72275925089508	2.65296897676471	2.80397319545464	2.83930206737626	2.41243579613253	2.60270259599274
"cel-I_7217-5p"	2.6520310215967	2.47357537342247	2.36510251839008	2.73848223352349	2.81441220942971	2.49179763210602
"cel-I_751-5p"	6.4487594910699	6.27756904002958	6.68920285695084	6.30417332088437	6.47734107412396	6.62417607970835
"cel-I_823-5p"	4.36826317922467	4.45209497853063	4.30111635966333	4.29342287280008	4.59852914529975	4.592506695143
"cel-II_10021-5p"	3.28768916079962	2.92086347528193	2.89046147154971	2.77304711914722	2.82729591476489	3.02224195547675
"cel-II_10305-5p"	1.38527696704536	1.66671068626832	1.39426889905781	1.57016417382018	1.58572913164954	1.39224956836988
"cel-II_11329-5p"	3.0263493037387	3.14889420545951	2.95315566649511	3.25730453421968	3.14161120223078	2.94046440453416
"cel-II_11661-3p"	1.73250224863475	1.62001168762281	2.0770808531634	1.92479090239273	1.6151834049281	1.62549297490369
"cel-II_11661-5p"	3.54787089774192	3.61766667514343	3.53428240945125	3.55747446380682	3.30968140638376	3.60785560554913
"cel-II_11843-5p"	1.80573628282157	1.53652630090984	1.54370008118105	1.79534692738497	1.53243348706106	1.78720176840192
"cel-II_11977-3p"	4.71501394994785	4.66026977417737	4.52661678442123	4.23165524807643	4.26179084190812	3.91065071458301
"cel-II_11977-5p"	5.7427412451107	5.60742892999625	5.62063240389203	5.42695946819273	5.57642777305447	5.49343546769616
"cel-II_12394-5p"	2.10102167726396	1.72133456142913	1.72941785842769	1.83945748339042	1.92715029549418	1.89580609677838
"cel-II_12541-5p"	5.43996489027637	4.92609154246164	4.92799585732237	5.04360513007691	4.91469749606847	4.86173776253622
"cel-II_12689-5p"	2.73142091932204	2.75747910459193	2.9429702303045	2.93872212392335	2.66571568045862	2.49941920290428
"cel-II_12846-5p"	8.09478032811272	7.92231898343191	7.79741011945397	7.80400995692117	7.66032306574776	7.68252253864865
"cel-II_13004-3p"	2.95451672601989	3.37049556489542	3.27194960296707	3.011591460758	3.02069272957676	3.04387786427897
