id	V1	V2	sample	group
1	17	184914	N2-1	wt
2	18	262162	N2-1	wt
3	19	346158	N2-1	wt
4	20	1166164	N2-1	wt
5	21	6087288	N2-1	wt
6	22	8390650	N2-1	wt
7	23	12176716	N2-1	wt
8	24	3655788	N2-1	wt
9	25	600583	N2-1	wt
10	26	1235954	N2-1	wt
11	27	714072	N2-1	wt
12	28	138319	N2-1	wt
13	29	152976	N2-1	wt
14	30	152590	N2-1	wt
15	31	108568	N2-1	wt
16	32	110967	N2-1	wt
17	33	143692	N2-1	wt
18	34	140735	N2-1	wt
19	35	111488	N2-1	wt
20	36	169001	N2-1	wt
21	37	177963	N2-1	wt
22	38	82464	N2-1	wt
23	39	135392	N2-1	wt
24	40	209910	N2-1	wt
25	41	84743	N2-1	wt
26	42	69408	N2-1	wt
27	43	69031	N2-1	wt
28	17	229984	N2-2	wt
29	18	312343	N2-2	wt
30	19	360881	N2-2	wt
31	20	1104802	N2-2	wt
32	21	5567760	N2-2	wt
33	22	7267926	N2-2	wt
34	23	10923301	N2-2	wt
35	24	3168934	N2-2	wt
36	25	587151	N2-2	wt
37	26	1134205	N2-2	wt
38	27	684900	N2-2	wt
39	28	175274	N2-2	wt
40	29	210820	N2-2	wt
41	30	211962	N2-2	wt
42	31	161448	N2-2	wt
43	32	169065	N2-2	wt
44	33	185661	N2-2	wt
45	34	186937	N2-2	wt
46	35	154640	N2-2	wt
47	36	186655	N2-2	wt
48	37	216792	N2-2	wt
49	38	109399	N2-2	wt
50	39	165041	N2-2	wt
51	40	181268	N2-2	wt
52	41	91434	N2-2	wt
53	42	71648	N2-2	wt
54	43	61498	N2-2	wt
55	17	190896	N2-3	wt
56	18	252090	N2-3	wt
57	19	292656	N2-3	wt
58	20	902140	N2-3	wt
59	21	4466092	N2-3	wt
60	22	5718228	N2-3	wt
61	23	8824445	N2-3	wt
62	24	2491451	N2-3	wt
63	25	447308	N2-3	wt
64	26	843916	N2-3	wt
65	27	528420	N2-3	wt
66	28	121894	N2-3	wt
67	29	145180	N2-3	wt
68	30	141076	N2-3	wt
69	31	104292	N2-3	wt
70	32	106613	N2-3	wt
71	33	119915	N2-3	wt
72	34	114421	N2-3	wt
73	35	90441	N2-3	wt
74	36	115061	N2-3	wt
75	37	127036	N2-3	wt
76	38	59532	N2-3	wt
77	39	87375	N2-3	wt
78	40	98225	N2-3	wt
79	41	47011	N2-3	wt
80	42	36822	N2-3	wt
81	43	32893	N2-3	wt
82	17	304592	RB-1	ko
83	18	412590	RB-1	ko
84	19	455266	RB-1	ko
85	20	1136861	RB-1	ko
86	21	5931357	RB-1	ko
87	22	6364255	RB-1	ko
88	23	10263242	RB-1	ko
89	24	3257293	RB-1	ko
90	25	757221	RB-1	ko
91	26	1293408	RB-1	ko
92	27	792913	RB-1	ko
93	28	281664	RB-1	ko
94	29	353689	RB-1	ko
95	30	361230	RB-1	ko
96	31	298228	RB-1	ko
97	32	308729	RB-1	ko
98	33	326926	RB-1	ko
99	34	340304	RB-1	ko
100	35	293357	RB-1	ko
101	36	291809	RB-1	ko
102	37	366179	RB-1	ko
103	38	219812	RB-1	ko
104	39	297978	RB-1	ko
105	40	297357	RB-1	ko
106	41	194454	RB-1	ko
107	42	162051	RB-1	ko
108	43	135418	RB-1	ko
109	17	222750	RB-2	ko
110	18	296382	RB-2	ko
111	19	346039	RB-2	ko
112	20	1141956	RB-2	ko
113	21	6695138	RB-2	ko
114	22	7045804	RB-2	ko
115	23	11341204	RB-2	ko
116	24	3534764	RB-2	ko
117	25	611411	RB-2	ko
118	26	1249115	RB-2	ko
119	27	669107	RB-2	ko
120	28	130201	RB-2	ko
121	29	140727	RB-2	ko
122	30	137969	RB-2	ko
123	31	102856	RB-2	ko
124	32	95621	RB-2	ko
125	33	128692	RB-2	ko
126	34	127862	RB-2	ko
127	35	92589	RB-2	ko
128	36	130689	RB-2	ko
129	37	170161	RB-2	ko
130	38	68380	RB-2	ko
131	39	117364	RB-2	ko
132	40	173168	RB-2	ko
133	41	64510	RB-2	ko
134	42	49606	RB-2	ko
135	43	45010	RB-2	ko
136	17	220818	RB-3	ko
137	18	305000	RB-3	ko
138	19	338916	RB-3	ko
139	20	1023673	RB-3	ko
140	21	5509326	RB-3	ko
141	22	6124837	RB-3	ko
142	23	9681784	RB-3	ko
143	24	3021894	RB-3	ko
144	25	578995	RB-3	ko
145	26	1087072	RB-3	ko
146	27	605476	RB-3	ko
147	28	160856	RB-3	ko
148	29	192450	RB-3	ko
149	30	193836	RB-3	ko
150	31	153538	RB-3	ko
151	32	156603	RB-3	ko
152	33	180737	RB-3	ko
153	34	181396	RB-3	ko
154	35	150850	RB-3	ko
155	36	172993	RB-3	ko
156	37	228102	RB-3	ko
157	38	115876	RB-3	ko
158	39	181248	RB-3	ko
159	40	238877	RB-3	ko
160	41	128163	RB-3	ko
161	42	114328	RB-3	ko
162	43	105058	RB-3	ko
