baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSMUSG00000031425	178.440984998385	1.48091870215811	0.280415557692277	5.2811574163201	1.2837033402895e-07	0.000791916590624592	Plp1
ENSMUSG00000078816	230.253948715366	1.52370869065498	0.312192215313972	4.88067484041069	1.05723434964037e-06	0.00243366323030144	Prkcg
ENSMUSG00000053310	30.9798586047881	1.6853235284311	0.346889964043521	4.85838076370426	1.18349646472756e-06	0.00243366323030144	Nrgn
ENSMUSG00000038255	19.5895950064833	1.66574673881049	0.349065144776815	4.77202254002054	1.8238508711115e-06	0.0028128340059717	Neurod2
ENSMUSG00000028341	29.7835955606472	1.50012826953328	0.346874688060244	4.32469799950565	1.52740963534643e-05	0.0157533410426924	Nr4a3
ENSMUSG00000037852	915.254436021562	-1.05910924495108	0.244936770278509	-4.32401082020803	1.53217776391885e-05	0.0157533410426924	Cpe
ENSMUSG00000049556	88.0188460344677	1.1807352551394	0.27819303296189	4.24430203218335	2.19274849485109e-05	0.0193243792353377	Lingo1
ENSMUSG00000068566	121.091362156685	1.21053097218715	0.293558695274985	4.12364202345704	3.72928335145093e-05	0.0263837310266765	Myadm
ENSMUSG00000012405	59.569962887838	-1.2936443416426	0.314269515468274	-4.11635325085547	3.8491421501068e-05	0.0263837310266765	Rpl15
ENSMUSG00000028785	157.802629640582	1.26606741307178	0.310468618875809	4.07792393851638	4.54396257788333e-05	0.0280317051429623	Hpca
ENSMUSG00000041607	140.808235007934	1.22724563963827	0.31057106135081	3.95157756907691	7.76376984413945e-05	0.0435406328804511	Mbp
ENSMUSG00000063659	85.6982667005187	1.28592874186174	0.328377120476345	3.91601199254188	9.00257716962957e-05	0.0462807487995373	Zbtb18
ENSMUSG00000032854	23.5830095480309	1.35390071501329	0.347596302046243	3.89503774074434	9.81834410082156e-05	0.0465918190445909	Ugt8a
ENSMUSG00000027674	56.9506459290064	1.25635323047902	0.332257374829607	3.7812651445986	0.000156033380170923	0.0687549944481732	Pex5l
ENSMUSG00000048644	57.8310642132782	1.09080440541467	0.29232890443051	3.73142850016724	0.000190397051314045	0.0690917299739026	Ctxn1
ENSMUSG00000048251	75.0597711827463	1.14552443196572	0.3065465481687	3.73686945362473	0.000186325598408041	0.0690917299739026	Bcl11b
ENSMUSG00000022454	106.750255125353	1.20651727847992	0.32223120612956	3.74425957365165	0.000180926532134716	0.0690917299739026	Nell2
ENSMUSG00000067879	32.2936139837592	1.26586525141859	0.348032984549879	3.6371990805865	0.000275618902368961	0.0837494434395451	3110035E14Rik
ENSMUSG00000026235	172.069360427105	1.1047708993434	0.304471948644362	3.62848171814288	0.000285092934386521	0.0837494434395451	Epha4
ENSMUSG00000059187	20.4246705600855	1.27939403417909	0.350290337766184	3.65238174235075	0.000259819257819979	0.0837494434395451	Fam19a1
ENSMUSG00000031833	89.4455712229252	1.18009715211364	0.324948503473445	3.63164359736798	0.000281621881089665	0.0837494434395451	Mast3
ENSMUSG00000029878	42.6932373739266	1.2054790090395	0.337514982597751	3.57163110141451	0.00035476488405367	0.0994792986239586	Dbpht2
ENSMUSG00000030067	54.5799610500541	1.12063418172396	0.319829801289506	3.50384541154617	0.000458591490111277	0.113162036099859	Foxp1
ENSMUSG00000052889	114.961031014634	1.02201177721238	0.290901040783014	3.51326270425657	0.000442639595936186	0.113162036099859	Prkcb
ENSMUSG00000003469	32.3961687211085	1.13178523327132	0.321943480805137	3.51547802875485	0.000438963079791206	0.113162036099859	Phyhip
ENSMUSG00000025658	183.6815369352	1.0738507940558	0.30949659860528	3.46966913011329	0.00052109986744967	0.123640964703731	Cnksr2
ENSMUSG00000032517	69.0200663327459	1.08821059760061	0.323597271460537	3.36285467639774	0.000771409610923521	0.176252810732859	Mobp
ENSMUSG00000006782	50.2857187393079	1.07731103025733	0.325394391490592	3.31078549117672	0.000930344963332528	0.204974931385656	Cnp
ENSMUSG00000025372	28.2391768059548	1.14167345674839	0.34877762781733	3.27335633278157	0.00106278402981089	0.218543822663447	Baiap2
ENSMUSG00000053279	35.6764598914802	-1.13971667822169	0.347825134576451	-3.27669442178045	0.0010502997365113	0.218543822663447	Aldh1a1
