baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-642a-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	83.0377639245342	2.97783623815579	0.468272277343239	6.3591982319574	2.02809539163497e-10	1.2073251866403e-06
hsa-miR-192-5p.iso.t5:c.seed:0.t3:AG.ad:A.mm:0	469.183594244555	-3.77429858691617	0.61964914870898	-6.09102521125027	1.12189879549383e-09	3.3393317647874e-06
hsa-miR-642a-5p.ref.t5:0.seed:0.t3:tg.ad:0.mm:0	42.0649725229852	3.39377371459874	0.592929218693536	5.72374173442927	1.04203120889096e-08	2.06773726217595e-05
hsa-miR-194-5p.ref.t5:0.seed:0.t3:a.ad:0.mm:0	356.301615878966	-3.42546044687093	0.615405024640598	-5.56618862329151	2.60371398351751e-08	3.87497733596993e-05
hsa-miR-106a-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	93.9874437243082	-3.08267904145481	0.583507792967955	-5.28301263257355	1.27076625104527e-07	4.2086224269659e-05
hsa-miR-150-3p.ref.t5:0.seed:0.t3:g.ad:0.mm:0	116.199492180022	2.99746499681965	0.548830712784589	5.46154748084612	4.72001967338311e-08	4.2086224269659e-05
hsa-miR-150-5p.iso.t5:0.seed:0.t3:CT.ad:0.mm:0	34.1729457601455	3.10211440756622	0.58565989398758	5.29678477118327	1.17859474794622e-07	4.2086224269659e-05
hsa-miR-150-5p.iso.t5:0.seed:0.t3:tg.ad:GG.mm:0	364.419950583012	2.79859526076138	0.520634777480738	5.37535213130267	7.64331569724989e-08	4.2086224269659e-05
hsa-miR-150-5p.iso.t5:TG.seed:0.t3:tg.ad:0.mm:0	100.083018399805	2.93070995890504	0.555214716835416	5.27851634698977	1.30234049672143e-07	4.2086224269659e-05
hsa-miR-192-5p.iso.t5:0.seed:0.t3:A.ad:TT.mm:0	102.650903756289	-3.31175633003314	0.613654295920356	-5.39677853157727	6.78480507371872e-08	4.2086224269659e-05
hsa-miR-192-5p.iso.t5:0.seed:0.t3:c.ad:A.mm:0	148.03928222143	-3.06190320658061	0.575083769134718	-5.3242733857497	1.01357372077129e-07	4.2086224269659e-05
hsa-miR-192-5p.iso.t5:c.seed:0.t3:AGT.ad:0.mm:0	1828.71164546332	-3.09743894655697	0.587374791361421	-5.27336036907151	1.33948174058247e-07	4.2086224269659e-05
hsa-miR-192-5p.ref.t5:0.seed:0.t3:c.ad:0.mm:0	1224.02386906548	-3.10925711457109	0.589673566795537	-5.27284465448863	1.34325258041915e-07	4.2086224269659e-05
hsa-miR-197-3p.iso.t5:0.seed:0.t3:A.ad:AT.mm:0	31.0973585533002	2.77235981607165	0.524403895053432	5.28668807044077	1.24550756469837e-07	4.2086224269659e-05
hsa-miR-197-3p.iso.t5:0.seed:0.t3:gc.ad:AA.mm:0	174.861875020874	2.628458276937	0.483809304405505	5.43283945348426	5.54643063930568e-08	4.2086224269659e-05
hsa-miR-20b-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	225.498333869237	-2.98080117353768	0.556290895500019	-5.35834973689153	8.39855447505548e-08	4.2086224269659e-05
hsa-miR-342-3p.iso.t5:0.seed:0.t3:0.ad:TA.mm:0	18.1249074960717	3.05938288508705	0.579298779400129	5.2811830334859	1.28352383808439e-07	4.2086224269659e-05
hsa-miR-4508.iso.t5:0.seed:0.t3:0.ad:CC.mm:0	94.2592532130126	3.20414916396344	0.58327130532453	5.49341127313071	3.94243220954184e-08	4.2086224269659e-05
hsa-miR-4508.iso.t5:A.seed:0.t3:0.ad:CC.mm:0	54.1603341949379	2.92976079511823	0.555486568066687	5.27422437110397	1.3331872043456e-07	4.2086224269659e-05
hsa-miR-486-5p.iso.t5:0.seed:0.t3:0.ad:AAA.mm:0	358.834794447828	2.8498255611003	0.543065462145839	5.24766489446715	1.54039158573159e-07	4.58497555493008e-05
hsa-miR-200c-3p.iso.t5:0.seed:0.t3:a.ad:T.mm:0	299.27176673894	-2.14041014197757	0.414322886488998	-5.16604371077726	2.39100897662639e-07	6.77794116088423e-05
hsa-miR-1246.iso.t5:G.seed:0.t3:0.ad:GA.mm:1AG	51.2660900418954	3.11521558346019	0.605362786397084	5.14603086522861	2.66055665806376e-07	7.10190163006655e-05
hsa-miR-194-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	3648.78244500151	-3.08370460050957	0.600850018750779	-5.13223683827266	2.86318896559041e-07	7.10190163006655e-05
hsa-miR-766-3p.ref.t5:0.seed:0.t3:gc.ad:0.mm:0	30.6370404523161	3.20839622439027	0.624793086288564	5.13513400644202	2.81943055114919e-07	7.10190163006655e-05
hsa-miR-150-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	237383.503016029	2.77192092332039	0.54107661536645	5.12297305889495	3.00755335511283e-07	7.16158604919468e-05
hsa-miR-4516.iso.t5:g.seed:0.t3:0.ad:GGC.mm:0	34.7522477855966	2.64005178371609	0.51619901949664	5.11440681598054	3.14728408999098e-07	7.20157785281418e-05
hsa-miR-486-5p.iso.t5:0.seed:0.t3:0.ad:TAA.mm:0	339.773167544655	2.64597913670002	0.51806818743101	5.10739551451878	3.26629601925051e-07	7.20157785281418e-05
hsa-miR-192-5p.iso.t5:0.seed:0.t3:A.ad:0.mm:0	2518.43456282017	-3.12004611189379	0.612972475360074	-5.090026448677	3.58013575211447e-07	7.61162433297765e-05
hsa-miR-192-5p.iso.t5:0.seed:0.t3:A.ad:AT.mm:0	35.9741993852595	-3.2360518040004	0.636942497494695	-5.08060274943006	3.76239164661469e-07	7.63402861600159e-05
