baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-20b-5p	332.549127287764	-2.89172738282735	0.505606406912629	-5.71932503878862	1.06948034958268e-08	7.55053126805375e-06
hsa-miR-194-5p	4614.86842739859	-3.12477189577181	0.579085172288216	-5.39604888072766	6.81243944747233e-08	2.40479112495773e-05
hsa-miR-216b-5p	122.501844757745	-4.17271546358249	0.790816381709074	-5.27646563740197	1.31699194648793e-07	3.09932104740159e-05
hsa-miR-190a-5p	27.2792434162303	-3.27836364327016	0.640646909976761	-5.11727067159207	3.09988615287192e-07	5.47129905981894e-05
hsa-miR-582-3p	65.6050851007471	-3.20911180713749	0.63653693498899	-5.04151704440057	4.61855709823411e-07	6.52140262270656e-05
hsa-miR-106a-5p	164.097748199096	-2.58561623046938	0.544143729251477	-4.75171556975608	2.01697967479231e-06	0.000237331275067228
hsa-miR-218-5p	52.1523145445108	-2.66387456879095	0.567889148503739	-4.69083548401949	2.72091690148501e-06	0.000274423904635488
hsa-miR-98-5p	3590.28054484402	-2.29087513688619	0.491265914906577	-4.66320798446162	3.11317830218257e-06	0.000274737985167612
hsa-miR-374b-5p	608.40146827692	-2.21463749705782	0.478168644878462	-4.63149878349033	3.63028131594157e-06	0.000284775401006083
hsa-miR-135a-5p	43.9409620691948	-3.50080834728592	0.779014847501592	-4.49389168706284	6.99332085140991e-06	0.000448844047372309
hsa-miR-140-5p	75.6043205584525	-1.99838400687208	0.444092620628549	-4.49992617315653	6.79770669983705e-06	0.000448844047372309
hsa-miR-424-5p	150.461908589162	-2.09421549559792	0.472272716266427	-4.4343351277072	9.23568665184388e-06	0.000501568828938599
hsa-miR-766-3p	424.028197897616	1.91487218121189	0.43053214474346	4.44768690234012	8.67999244271059e-06	0.000501568828938599
hsa-miR-10b-3p	213.222427756846	-2.00889808727445	0.456419909244356	-4.40142519330579	1.0754214603123e-05	0.000542319679271773
hsa-miR-10a-3p	344.993795953771	-1.90922711344584	0.436133066000757	-4.37762523019184	1.19979425366821e-05	0.000564703162059839
hsa-miR-184	590.759375661854	-3.11291574365289	0.739264965265022	-4.21082546842583	2.54439265937988e-05	0.000994352996486483
hsa-miR-20a-5p	473.470615550104	-2.16328600723109	0.515025987825314	-4.2003433969721	2.66510454693362e-05	0.000994352996486483
hsa-miR-26b-5p	13159.1354334689	-2.39415304034946	0.566467791131034	-4.22645925829109	2.37397230500335e-05	0.000994352996486483
hsa-miR-548p	10.1640388080497	-3.19902700476064	0.761778682362256	-4.19941786089437	2.6760208120741e-05	0.000994352996486483
hsa-miR-6500-3p	15.3028292988182	-3.21949715793812	0.769041347773641	-4.18637719188766	2.83442178470792e-05	0.00100055089000189
hsa-let-7f-5p	45426.2284430509	-2.40258405712041	0.58425788463389	-4.11219791860564	3.9191009269657e-05	0.00125767511565354
hsa-miR-26a-2-3p	62.0155115994575	-2.73843338231512	0.66521982269996	-4.11658415589678	3.84528962761942e-05	0.00125767511565354
hsa-miR-374a-5p	88.3509090580337	-2.12821247634915	0.522093855618713	-4.07630247597358	4.57574897127903e-05	0.00140455598857521
