baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-27b-5p.iso.t5:0.seed:0.t3:u-C.ad:u-A.mm:0	26.7850683126958	-5.2638087321544	0.754139441151534	-6.9798878628027	2.95415763255563e-12	7.48583544089597e-09
hsa-miR-532-5p.iso.t5:0.seed:0.t3:u-T.ad:0.mm:0	557.44510435788	-1.79599928671743	0.296001136397848	-6.06754186343213	1.29882769545324e-09	1.64561469013926e-06
hsa-miR-192-5p.iso.t5:d-C.seed:0.t3:d-AGT.ad:0.mm:0	1727.04253235932	-3.30808924225051	0.595968997667848	-5.55077404226689	2.84407496362097e-08	8.41144046849046e-06
hsa-miR-500a-3p.iso.t5:0.seed:0.t3:d-A.ad:u-A.mm:0	1621.09341637574	-2.2854615403897	0.411608230876585	-5.55251661397161	2.81585944159419e-08	8.41144046849046e-06
hsa-miR-500a-3p.iso.t5:0.seed:0.t3:d-A.ad:u-T.mm:0	900.402300023923	-2.07977233522079	0.37526329123804	-5.54216834894606	2.98748872203686e-08	8.41144046849046e-06
hsa-miR-532-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	3978.4864867562	-2.24172947164493	0.391500192079355	-5.72599839539938	1.02827192515264e-08	8.41144046849046e-06
hsa-miR-6723-5p.iso.t5:0.seed:0.t3:0.ad:0.mm:1GA	107.946725793881	-3.01701197789046	0.538525159759271	-5.60236030427829	2.1145243844087e-08	8.41144046849046e-06
hsa-miR-891a-5p.iso.t5:0.seed:0.t3:0.ad:u-A.mm:0	103.670297378221	-4.07639908036693	0.720421307836604	-5.65835440460275	1.52831288308711e-08	8.41144046849046e-06
hsa-miR-891a-5p.iso.t5:0.seed:0.t3:u-A.ad:u-T.mm:0	50.6198281621423	-4.04597617522935	0.722812738879239	-5.59754409074591	2.17409571758264e-08	8.41144046849046e-06
hsa-miR-766-3p.iso.t5:0.seed:0.t3:u-C.ad:u-T.mm:0	46.5009386899335	2.51743259410931	0.461575702679482	5.4539972088986	4.9249975113488e-08	1.24799436937579e-05
hsa-miR-106a-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	86.6003512220905	-3.24576663128081	0.59911354660969	-5.41761515767453	6.03992472100224e-08	1.27543077025164e-05
hsa-miR-582-3p.iso.t5:0.seed:0.t3:d-C.ad:u-T.mm:0	12.5542895455548	-4.45729559203511	0.822480258922907	-5.41933443833928	5.98213191518715e-08	1.27543077025164e-05
hsa-miR-10b-5p.iso.t5:0.seed:0.t3:u-G.ad:0.mm:1AT	7788.48734519365	-2.73101649291882	0.507631059222559	-5.37992394929773	7.45173115290708e-08	1.4525143647282e-05
hsa-miR-30a-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	3314.24544774997	-1.46984905485031	0.2766493230222	-5.31304049036966	1.07811070812474e-07	1.95138038170578e-05
hsa-miR-20b-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0	216.918623131262	-2.85914353379554	0.541916131011361	-5.27598897722349	1.32042025089543e-07	2.23062994384601e-05
hsa-miR-30b-3p.iso.t5:0.seed:0.t3:d-A.ad:0.mm:0	34.0415475207456	-3.83476841219326	0.728884027194938	-5.26115029156437	1.43156956191731e-07	2.26724829368653e-05
