baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-20b-5p	332.549127287764	-2.92209485574647	0.496467086241074	-5.88577760082884	3.96186778104056e-09	2.30577891447572e-06
hsa-miR-582-3p	65.6050851007471	-3.67100063029826	0.632654563006611	-5.80253560940475	6.53195159908137e-09	2.30577891447572e-06
hsa-miR-532-5p	7062.36705727954	-1.93931597769479	0.344966659050851	-5.62174902070438	1.89033761481428e-08	4.44859452019627e-06
hsa-miR-106a-5p	164.097748199096	-2.81892632213931	0.537171418190687	-5.24772209890482	1.53991349895285e-07	2.71794732565179e-05
hsa-miR-892a	45.777331558372	-3.36242329038881	0.663514336864468	-5.0675970413517	4.02869129439025e-07	5.68851210767903e-05
hsa-miR-194-5p	4614.86842739859	-2.8454364873757	0.570290585710627	-4.98945021831295	6.05513755780027e-07	7.12487852634498e-05
hsa-miR-124-3p	14.8553560387452	-3.74994275830212	0.805319065031922	-4.65646837524388	3.21679665043473e-06	0.000252339826134102
hsa-miR-20a-5p	473.470615550104	-2.35426703250795	0.504437009274943	-4.66711797354417	3.05453964234391e-06	0.000252339826134102
hsa-miR-206	18.3415629666206	-3.68886949833116	0.788054782933021	-4.68098104119329	2.85505344770923e-06	0.000252339826134102
hsa-miR-10b-5p	2223068.62066895	-2.42849779880125	0.536748540014338	-4.52446093050645	6.05496363892882e-06	0.000427480432908375
hsa-miR-184	590.759375661854	-3.28058965336629	0.739339108199012	-4.4371921043885	9.11399503796374e-06	0.000474840381482155
hsa-miR-190a-5p	27.2792434162303	-2.85842714712618	0.645219105429344	-4.43016507582198	9.41609821636001e-06	0.000474840381482155
hsa-miR-362-5p	1963.89932892405	-2.42484135609594	0.547257756160499	-4.43089445293268	9.38430165216853e-06	0.000474840381482155
hsa-miR-9-5p	355.44948348961	-2.69011103629202	0.604419774228931	-4.45073300211569	8.55776863145061e-06	0.000474840381482155
hsa-miR-30a-5p	92454.5599121475	-1.51012395109658	0.34318621972424	-4.40030474507399	1.0809895812715e-05	0.000508785762918453
hsa-miR-891a-5p	1537.50199567178	-2.82674797934731	0.647887677568981	-4.36302167368563	1.28278229337905e-05	0.000566027686953507
hsa-miR-766-3p	424.028197897616	1.81312914359716	0.41771201001446	4.3406200926193	1.4208118994138e-05	0.000590054824109495
hsa-miR-211-5p	273.848510837062	-2.2540132381479	0.527092446656601	-4.27631481430882	1.90012475246124e-05	0.000706046355388229
hsa-miR-642a-5p	161.746435985283	2.43036941242023	0.568110367953	4.27798813314616	1.88590072303689e-05	0.000706046355388229
hsa-miR-192-5p	69306.0537530171	-2.72807111188264	0.647843129419528	-4.21100570183866	2.54236328700106e-05	0.000897454240311372
hsa-miR-204-5p	489240.985998808	-2.29234329175546	0.548151566799434	-4.18195154515396	2.89017573553494e-05	0.000903733486131469
hsa-miR-3065-3p	89.2341858634503	-2.7136431980295	0.649630466894949	-4.17721048552411	2.95105919071866e-05	0.000903733486131469
hsa-miR-330-3p	332.387908946322	1.44621621962985	0.346643045989558	4.17206182660136	3.01855699152072e-05	0.000903733486131469
hsa-miR-501-5p	361.171512316021	-1.47621689681707	0.354174571975391	-4.16804879182475	3.07218182254324e-05	0.000903733486131469
