baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-486-5p.iso.t5:0.seed:0.t3:gag.ad:AAG.mm:0	168.023158500536	-2.95423584243994	0.549283994252752	-5.37833957178908	7.51759269264715e-08	0.000447522292993285
hsa-miR-486-5p.ref.t5:tc.seed:0.t3:g.ad:0.mm:0	156.62725510717	-2.7936975296615	0.560872427463019	-4.9809856802877	6.32612214438527e-07	0.00188297025627628
hsa-miR-486-5p.iso.t5:0.seed:0.t3:ag.ad:GGT.mm:0	70.2052316553462	-2.68855712475579	0.550757546081255	-4.88156203012629	1.05248805171823e-06	0.00208848712395953
hsa-miR-486-5p.iso.t5:0.seed:0.t3:gag.ad:AA.mm:0	71.5890605606637	-2.40713762541166	0.524784578853908	-4.58690617523227	4.4986272682557e-06	0.00669508203198154
hsa-miR-486-5p.ref.t5:0.seed:0.t3:gag.ad:0.mm:0	67.616391831009	-2.33453644968836	0.516164818466862	-4.52285077588689	6.10122561535341e-06	0.00726411921763977
hsa-miR-486-5p.ref.t5:tc.seed:0.t3:0.ad:0.mm:0	362.912305805094	-2.47661573947296	0.569014145112466	-4.35246779143506	1.34613653140179e-05	0.0133559179523914
hsa-miR-486-5p.iso.t5:0.seed:0.t3:ag.ad:TA.mm:0	40.4212752869247	-2.36957636278045	0.5488297831305	-4.31750687665763	1.57801493851896e-05	0.0134198898985762
hsa-miR-486-5p.iso.t5:0.seed:0.t3:ag.ad:GGA.mm:0	85.3868489361236	-2.49310894131773	0.581934292139561	-4.28417602295179	1.83417661380515e-05	0.0136485667274776
hsa-miR-486-5p.iso.t5:0.seed:0.t3:0.ad:TAT.mm:0	232.256760044343	-2.16169053946795	0.511954357684747	-4.22242824388475	2.41684353933813e-05	0.0154269698058029
hsa-miR-500a-3p.iso.t5:0.seed:0.t3:A.ad:AT.mm:0	79.9914818908698	-2.00495999188292	0.47661303408783	-4.2066830919136	2.59146141538769e-05	0.0154269698058029
hsa-miR-486-5p.iso.t5:0.seed:0.t3:ag.ad:GAG.mm:0	71.918588108833	-2.34827024182628	0.566608820320429	-4.14442937986437	3.40660915459092e-05	0.0184359493611634
hsa-miR-486-5p.iso.t5:A.seed:0.t3:0.ad:T.mm:0	104.348769058147	-2.33700934329582	0.569951825372646	-4.10036294167114	4.12502684609348e-05	0.0204635706789954
hsa-miR-486-5p.iso.t5:0.seed:0.t3:ag.ad:GG.mm:0	1594.63285696442	-2.32920477392768	0.571957609573912	-4.07233811551674	4.6543548065392e-05	0.0213133647410214
hsa-miR-27a-3p.iso.t5:0.seed:0.t3:cgc.ad:AGC.mm:0	47.4568977781943	2.0047973376764	0.501957051494651	3.99396189715201	6.49783101792198e-05	0.0215732754803618
hsa-miR-27b-3p.iso.t5:0.seed:0.t3:tgc.ad:AGC.mm:0	47.4568977781943	2.0047973376764	0.501957051494651	3.99396189715201	6.49783101792198e-05	0.0215732754803618
hsa-miR-486-5p.iso.t5:0.seed:0.t3:0.ad:AT.mm:0	2863.62096837247	-2.2236846229538	0.553044223325272	-4.02080797369788	5.79988696210821e-05	0.0215732754803618
