baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-486-5p	922844.770866101	-2.34963603991936	0.579384667557905	-4.05539906643203	5.00487810740427e-05	0.0345336589410894
hsa-miR-486-3p	473.697164852186	-1.8229048497807	0.478059238632828	-3.81313590967077	0.000137214606672463	0.0473390393019997
hsa-miR-6806-3p	48.1822980327882	2.33135988224014	0.663245537041045	3.51507813025188	0.000439624629275016	0.101113664733254
hsa-miR-335-3p	827.391186918233	1.78434497010862	0.564706256254735	3.15977545909056	0.00157890769834315	0.272361577964193
hsa-miR-629-5p	95.3411713979574	-1.40975287570022	0.474650666098986	-2.97008510972199	0.00297717253549848	0.410849809898791
hsa-miR-199a-5p	2766.17771811823	1.39503558329222	0.496924176836875	2.80734093513459	0.00499523427749525	0.492387378781675
hsa-miR-23c	118.766429278717	1.24080483301422	0.440602207011808	2.81615664485532	0.00486019630922437	0.492387378781675
hsa-miR-450a-5p	31.9243464694187	1.64455683096953	0.598492885625246	2.74783020896139	0.00599910666855802	0.517422950163129
hsa-let-7f-2-3p	151.915402333686	1.56226739406908	0.589275702611238	2.65116546829651	0.00802145324172626	0.522309057176236
hsa-miR-199b-5p	453.834245139601	1.72566537067484	0.678402017154375	2.5437208720477	0.0109678690734449	0.522309057176236
hsa-miR-329-3p	37.6256786761407	1.2799792137539	0.514587605575624	2.48738834726129	0.0128684840173855	0.522309057176236
hsa-miR-4417	18.7667599042821	-1.87889378590071	0.732459118563624	-2.56518587629201	0.010312054640352	0.522309057176236
hsa-miR-4732-3p	165.251248671351	-1.39548353873013	0.558535849951158	-2.49846726732432	0.0124731661066544	0.522309057176236
hsa-miR-4732-5p	11.9252995825216	-1.82002990216798	0.702789279701657	-2.58972348431468	0.00960530524618455	0.522309057176236
hsa-miR-5690	76.8410670142017	-1.65252575666807	0.657376581485161	-2.51381902430209	0.0119431703626839	0.522309057176236
hsa-miR-6732-3p	54.9459294435119	1.90489559485296	0.724803915233953	2.628153014651	0.00858498893780193	0.522309057176236
hsa-miR-6772-3p	125.493139314062	1.80448356752248	0.699043540835939	2.58136076239918	0.00984116807882761	0.522309057176236
hsa-let-7e-3p	810.237402137877	1.05914943581292	0.435978181825908	2.42936339469358	0.0151253636016636	0.539178505979246
hsa-miR-1269a	859.302328397761	-1.69562896264105	0.701403307271248	-2.41748070626835	0.0156283624921521	0.539178505979246
hsa-miR-3614-5p	68.7334984727207	-1.90740700589784	0.778379925854969	-2.45048329554844	0.0142664582087481	0.539178505979246
hsa-miR-106b-3p	6399.44975977687	-0.986643169930944	0.414790450302386	-2.37865449701572	0.0173759537374632	0.569591480499783
hsa-miR-210-3p	1215.8560076176	-1.23822927717963	0.527849865064513	-2.34579822622157	0.0189863826833261	0.569591480499783
hsa-miR-335-5p	61.0126112935537	1.55026757900514	0.6564655165274	2.36153695811139	0.0181993577832317	0.569591480499783
hsa-miR-126-3p	8906.30285204187	1.03651303686622	0.468018473021331	2.2146840276943	0.0267817599305489	0.626740410176385
hsa-miR-126-5p	3806.2376034052	1.36819673793638	0.613648368057625	2.22961032597075	0.0257733237374076	0.626740410176385
hsa-miR-1273h-3p	139.292572410413	-1.49789024514962	0.712053093680897	-2.10362156760867	0.0354114710634061	0.626740410176385
hsa-miR-128-1-5p	139.950748990614	-1.02335464051425	0.484993921112068	-2.11003601481797	0.0348552538627475	0.626740410176385
hsa-miR-1287-5p	38.5959831049908	0.990366238250266	0.466146316458193	2.12458235383072	0.0336214775841099	0.626740410176385
hsa-miR-140-5p	77.39198216061	0.995397420658951	0.472446356954346	2.10690040468476	0.0351262135399329	0.626740410176385
hsa-miR-143-5p	94.4861924120815	1.11382512995007	0.494836307352593	2.25089613150884	0.024392116824294	0.626740410176385
hsa-miR-19a-3p	5.50851602494242	1.7230383893627	0.825452603885747	2.08738621848383	0.0368532367266337	0.626740410176385
hsa-miR-21-3p	1825.25709793466	-1.54839974438348	0.683096301887653	-2.26673712052703	0.0234062893491669	0.626740410176385
hsa-miR-214-5p	399.362757133964	1.06671008252697	0.506353719479408	2.10665003828485	0.0351479259325085	0.626740410176385
hsa-miR-224-3p	9.04075885680102	1.43914923068874	0.706963081137427	2.0356780560214	0.041782694011759	0.626740410176385
hsa-miR-338-5p	119.054069801038	-1.39638180123313	0.632044674150383	-2.20930870608189	0.0271531760525219	0.626740410176385
hsa-miR-369-5p	161.672416389463	0.987180711188859	0.456272314295841	2.16357793418249	0.0304967565381072	0.626740410176385
hsa-miR-379-3p	12.3923036419139	1.38922194223927	0.669057804083795	2.07638552866394	0.0378583085911127	0.626740410176385
hsa-miR-450b-5p	11.4770073110335	1.43809758969137	0.689426579892557	2.08593290661275	0.0369847010037113	0.626740410176385
hsa-miR-4516	192.444538608598	-1.10203299800846	0.525858801706173	-2.09568232847461	0.0361103804985929	0.626740410176385
hsa-miR-455-5p	72.2280307800046	1.02214725288552	0.497743342171064	2.05356288328659	0.0400180176360847	0.626740410176385
hsa-miR-487a-5p	14.9810782144777	1.2988565570866	0.588068894197258	2.20868093841216	0.0271968411803816	0.626740410176385
hsa-miR-504-5p	1334.51536102424	0.99764261154096	0.489534515220991	2.03794131061544	0.0415558025823501	0.626740410176385
hsa-miR-509-3-5p	60.9191301439587	1.41995024935189	0.692784620452288	2.04962726860892	0.0404008173441763	0.626740410176385
hsa-miR-618	90.4899354642584	-0.97675714220807	0.473970501286041	-2.06079732717078	0.0393223795915165	0.626740410176385
hsa-miR-7702	143.837223824137	-1.86440396469346	0.915438638555559	-2.03662363174362	0.0416877727611499	0.626740410176385
hsa-miR-943	24.5601519011687	1.10299633339373	0.512953805077411	2.15028394852686	0.0315327612848971	0.626740410176385
hsa-miR-1268a	287.756013402832	-0.983651390035611	0.503302530853648	-1.95439388784167	0.0506546529878755	0.68032721363552
hsa-miR-1268b	292.803532246353	-0.999128381950221	0.506395194176305	-1.97302105833644	0.0484931631751006	0.68032721363552
hsa-miR-1285-3p	199.730378236006	-0.802307147536665	0.409041722465647	-1.96143108018534	0.0498287573648787	0.68032721363552
hsa-miR-497-5p	3022.59972046604	1.02661377457757	0.517618323321271	1.983341254209	0.0473293242356018	0.68032721363552
hsa-miR-550a-3p	286.959763597868	-0.896921390301249	0.460147460438308	-1.94920426040578	0.0512710363899232	0.68032721363552
hsa-miR-7-1-3p	47.7561620551435	1.0792695170251	0.543278004151294	1.98658791406645	0.0469680816376307	0.68032721363552
hsa-miR-301b-3p	9.13639449898198	1.37106533718183	0.710321109162954	1.93020497278688	0.0535814456548836	0.697569764186221
hsa-let-7a-3p	868.23598162477	1.16732233040725	0.639235789550661	1.82612167448852	0.067831936060339	0.754903804542482
hsa-miR-136-3p	55.4432337082273	1.19457426501632	0.642171706755846	1.86021005355581	0.0628558132241098	0.754903804542482
hsa-miR-145-3p	442.850946726489	1.0906360977384	0.593034470745316	1.83907707146889	0.0659038508986221	0.754903804542482
hsa-miR-148a-5p	3571.28739034024	-0.942837274972841	0.51610971601226	-1.82681558924662	0.0677275011522076	0.754903804542482
hsa-miR-200b-3p	23880.7652760414	0.776447213565814	0.416726502105997	1.86320574679534	0.0624333246655774	0.754903804542482
hsa-miR-218-5p	53.7957924865083	1.10670588391553	0.601007032065421	1.84141919290399	0.0655601523391354	0.754903804542482
hsa-miR-3158-3p	192.703774075491	-0.884266636434959	0.481633200538513	-1.83597525138687	0.0663613169807377	0.754903804542482
hsa-miR-487b-3p	163.604774324248	1.00008185914302	0.532416826286293	1.87838139173546	0.0603290092792966	0.754903804542482
hsa-miR-7846-3p	24.7830632733454	-1.12194783043189	0.60655369401255	-1.84970900599062	0.0643555017753065	0.754903804542482
hsa-miR-34c-5p	38.6606927040291	1.29979184655153	0.7153696254278	1.81695140574949	0.0692245544072593	0.758173691127126
hsa-miR-1296-5p	942.955104291107	0.671424163867736	0.380459008665411	1.7647739929276	0.0776017571917924	0.764931606604811
hsa-miR-206	18.308596569987	-1.33843464021404	0.750387520023542	-1.78365791607522	0.0744792684222174	0.764931606604811
hsa-miR-32-5p	8.50624981182851	1.34477621931583	0.758735959764923	1.77239025250955	0.0763297987298944	0.764931606604811
hsa-miR-3934-5p	29.8710675258131	-1.04457721046947	0.580082750781401	-1.80073827236264	0.0717441422189865	0.764931606604811
hsa-miR-625-5p	79.4907251599463	-0.889919780261124	0.499227621773474	-1.78259323292197	0.0746525421989814	0.764931606604811
hsa-miR-744-3p	81.0848457492604	0.780329204104415	0.43851344227633	1.77948753418758	0.075159866832081	0.764931606604811
hsa-miR-7703	21.9308640031635	-1.08599686875323	0.614568666987445	-1.76708792213029	0.0772135049024099	0.764931606604811
hsa-miR-582-5p	98.2224469873855	0.977613536701501	0.55679772813234	1.75577860200813	0.0791262194451519	0.768973118551476
hsa-miR-3117-3p	21.316797502148	1.2991359678724	0.7466615308594	1.73992621044385	0.0818719756555938	0.782632644033652
hsa-miR-6843-3p	26.8649258432053	1.29987166227289	0.749350515020934	1.73466440099341	0.0828002652383429	0.782632644033652
hsa-miR-1275	244.528296772626	-0.769597774684421	0.461486519870028	-1.66764952289651	0.0953853211977284	0.841318863749222
hsa-miR-141-5p	11.5678558574312	1.02715808437641	0.622775835689208	1.64932231713789	0.0990816199523239	0.841318863749222
hsa-miR-193a-5p	6426.27228706875	-0.781523860485784	0.474880019923049	-1.6457290846063	0.0998195482077988	0.841318863749222
hsa-miR-23a-5p	223.264512543094	-0.909295634256602	0.549950333689145	-1.6534140967911	0.0982466158380729	0.841318863749222
hsa-miR-3651	38.6521491654519	-0.860864496413161	0.523341952620796	-1.64493691381346	0.099982821489038	0.841318863749222
hsa-miR-548ah-3p	12.1735262291406	1.24250688960336	0.744256989931947	1.66945948296296	0.0950263536860986	0.841318863749222
hsa-miR-548p	10.0528016528727	1.21539818854541	0.735108053328995	1.65335991496949	0.0982576358160971	0.841318863749222
hsa-miR-654-3p	3292.97802041805	0.759584403020267	0.450616127421528	1.68565738507116	0.0918618093844857	0.841318863749222
hsa-miR-6827-3p	45.8483275718366	0.971477934193502	0.574117243916581	1.69212463915238	0.0906222114747797	0.841318863749222
hsa-miR-1249-3p	432.770512192697	-0.873167474787926	0.537173338527938	-1.62548550376819	0.104059150170399	0.844715454324419
hsa-miR-429	313.144519158535	0.927943770603981	0.57040263869156	1.6268223666226	0.103774829860587	0.844715454324419
hsa-miR-4738-3p	6.64135760003452	1.15736628370526	0.71151716931245	1.62661750639643	0.103818358874286	0.844715454324419
hsa-let-7f-1-3p	128.97236276263	0.659441420314454	0.423469861504093	1.55723341909677	0.119415076637796	0.86110646128912
hsa-miR-141-3p	403.350845235593	0.786614373668382	0.507542473866493	1.54984935088467	0.1211776787255	0.86110646128912
hsa-miR-185-5p	154.387734396991	-0.869989073039303	0.54727929389836	-1.58966195640663	0.111911023388885	0.86110646128912
hsa-miR-199a-3p	18282.7525859909	0.960504444974984	0.617566715750047	1.55530474761489	0.119873507198491	0.86110646128912
hsa-miR-199b-3p	18269.210715284	0.960434617457963	0.617555606942966	1.55521965416576	0.119893764968928	0.86110646128912
hsa-miR-210-5p	719.962641465189	-0.92956139727199	0.591612492579412	-1.57123355056133	0.116128409624179	0.86110646128912
hsa-miR-33b-3p	19.4541589151699	-1.07408537563078	0.697438906269086	-1.5400422402251	0.123550057489309	0.86110646128912
hsa-miR-4446-3p	80.1432950267333	-0.98993153455544	0.622882678104082	-1.58927446428366	0.111998441246454	0.86110646128912
hsa-miR-4677-3p	55.8114685611437	-0.834057097962539	0.541275463251187	-1.54091059837213	0.123338546039625	0.86110646128912
hsa-miR-495-3p	37.3300525515003	1.03318548187169	0.660830593293005	1.56346496720618	0.117943269544432	0.86110646128912
hsa-miR-514a-3p	56.7534974004014	1.10825082673826	0.702064247648927	1.57856041017552	0.114436921473504	0.86110646128912
hsa-miR-6761-3p	13.405646973715	1.16476905370718	0.748662462296496	1.55579999314283	0.119755659779423	0.86110646128912
hsa-miR-6852-5p	44.9846224308447	-0.766878607219881	0.476239608707494	-1.61027892934226	0.107336977033655	0.86110646128912
hsa-miR-7706	1083.90181772446	-0.705608444482022	0.456072986606556	-1.54713930709238	0.121829657368277	0.86110646128912
hsa-miR-6724-5p	100.583952313204	-0.754461604615191	0.494482409577349	-1.5257602495103	0.127069583620387	0.876780126980673
hsa-miR-1538	32.9926809605077	-0.682762964785778	0.464794109611127	-1.46895786901649	0.141844216949514	0.897912932983165
hsa-miR-181a-3p	8289.82095109711	-0.668485853576001	0.449187909106746	-1.48820981158053	0.136695570538198	0.897912932983165
hsa-miR-216b-5p	130.500550410487	1.29798398409104	0.881647795328999	1.47222506648098	0.140960110579138	0.897912932983165
hsa-miR-221-5p	153.312675814025	0.67263259969906	0.44986102604491	1.49520087484065	0.134862025296662	0.897912932983165
hsa-miR-3188	26.3830743203193	-1.06281453201162	0.714052006658324	-1.48842734436874	0.136638229753547	0.897912932983165
hsa-miR-451a	9638.18196798394	-0.847200139545488	0.571941358272266	-1.48127098572611	0.138534376841548	0.897912932983165
hsa-miR-4524a-3p	15.1559562556511	-0.975965591916299	0.6469920702792	-1.50846607980085	0.131435281793091	0.897912932983165
hsa-miR-6774-3p	44.6342944023174	1.07417150511684	0.715833783025132	1.50058788868187	0.133462185814027	0.897912932983165
hsa-miR-93-3p	321.703090085625	0.672553114440555	0.456482721732093	1.47333750528081	0.140660052410669	0.897912932983165
hsa-miR-99a-3p	129.317893317412	0.649390142337023	0.443749144654399	1.46341722606087	0.143353247924907	0.899215827892596
hsa-miR-183-5p	1606.76109222938	0.730460101210747	0.510104048790487	1.4319825591323	0.152148812761521	0.905023110391805
hsa-miR-193b-5p	226.684439000898	-0.827813565386825	0.577883187646084	-1.43249290355512	0.152002807590962	0.905023110391805
hsa-miR-301a-3p	25.7000435775261	0.800912253441826	0.557315739485081	1.43708888283293	0.150692739679455	0.905023110391805
hsa-miR-550a-5p	50.5529112670643	-0.7157267272154	0.496405381053638	-1.44181903446785	0.149353431686584	0.905023110391805
hsa-miR-6500-3p	15.3436764430753	1.0374844141017	0.722380257882883	1.4362026132086	0.150944695662108	0.905023110391805
hsa-miR-758-3p	23.4470673961668	0.958637696216812	0.662684562296404	1.44659729644952	0.14800974385645	0.905023110391805
hsa-miR-589-3p	166.745158461215	-0.67621678141596	0.474475926286677	-1.42518670379789	0.154103238757952	0.908813972162281
hsa-miR-29a-3p	11418.3949698066	0.586973662637399	0.415254952631465	1.41352597703593	0.1575011289026	0.913241839855414
hsa-miR-4687-5p	42.1915472625003	-0.875981030488246	0.618454594768464	-1.41640314082587	0.15665750487178	0.913241839855414
hsa-miR-619-5p	22.44648546907	1.10383273204327	0.78588985690201	1.40456416678361	0.16015091834529	0.920867780485418
hsa-miR-133a-3p	1080.36921327289	0.694888898522345	0.4967045672111	1.39899840749203	0.161813460617925	0.922737915920397
hsa-miR-1273h-5p	28.5030345611185	-1.04374079444868	0.772142408458493	-1.35174649522541	0.176456425641003	0.923194898720806
hsa-miR-135b-5p	23.9277851047908	1.0277767452508	0.744743290658347	1.38004163064329	0.167573827265799	0.923194898720806
hsa-miR-138-5p	193.214865096763	0.877921942254512	0.665068526300037	1.32004734480316	0.186819211278114	0.923194898720806
hsa-miR-181a-5p	575301.760045481	-0.611644810730669	0.460792809743457	-1.32737490211967	0.184384697693426	0.923194898720806
hsa-miR-23b-3p	81280.145421433	0.58966975241024	0.437933649111267	1.34648194676729	0.178147138724342	0.923194898720806
hsa-miR-30c-5p	250537.748608428	0.620044373405202	0.468173962112021	1.32438884599234	0.185373937060494	0.923194898720806
hsa-miR-30d-3p	170.715725072786	0.760654015476164	0.573480481578206	1.32638169896011	0.184713297593404	0.923194898720806
hsa-miR-3129-3p	27.0083102411949	-0.90100208216121	0.676756496931062	-1.33135342807502	0.183072745831367	0.923194898720806
hsa-miR-337-3p	63.8879588798066	0.861987422333479	0.621543480608951	1.38684975263348	0.165487582407786	0.923194898720806
hsa-miR-3615	2907.06494125407	-0.577044024953472	0.422771188824866	-1.36490858461151	0.17228178376864	0.923194898720806
hsa-miR-374a-5p	89.3915587331255	0.742299895740781	0.557493947081222	1.3314940899845	0.183026488348578	0.923194898720806
hsa-miR-485-3p	633.770037165162	0.692599015170628	0.50591626398496	1.3689993077416	0.170999491301047	0.923194898720806
hsa-miR-589-5p	799.499098488589	-0.537758836920192	0.402666007850457	-1.3354959853475	0.181714068365233	0.923194898720806
hsa-miR-641	56.4574601513566	0.608554134941563	0.447971904986211	1.35846495766357	0.174316194613847	0.923194898720806
hsa-miR-6511b-5p	52.3670934795952	-0.65566757775562	0.475259878450186	-1.37959799992741	0.167710453610513	0.923194898720806
hsa-miR-6516-5p	9.28642353936335	0.961327883079108	0.726831998673648	1.32262735382231	0.185959333008213	0.923194898720806
hsa-miR-653-3p	4.91172332645389	1.13897062679738	0.821684985601193	1.38614024444421	0.16570408369978	0.923194898720806
hsa-miR-885-5p	95.7978960910309	-0.845498024519794	0.639533359502449	-1.3220546074056	0.186149967680913	0.923194898720806
hsa-miR-96-5p	22.9980017033509	1.03383918075785	0.784064452205469	1.31856402601827	0.18731490698683	0.923194898720806
hsa-let-7i-3p	942.763634311351	-0.619833440773274	0.597986056440071	-1.03653493939853	0.299952647989186	0.924032586591805
hsa-miR-10b-3p	233.16632209839	0.527766999720394	0.51265133420966	1.02948527488773	0.303251695765365	0.924032586591805
hsa-miR-124-3p	14.9203950943095	-0.972088346921074	0.771489464677508	-1.26001506362426	0.207663928207312	0.924032586591805
hsa-miR-1307-3p	3717.02986596762	-0.521005471533952	0.443253137436925	-1.17541293570221	0.23982955072355	0.924032586591805
