baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-486-5p	927403.650070413	-2.77802215049018	0.638481047565398	-4.3509860802965	1.35526656784022e-05	0.00935133931809753
hsa-miR-486-3p	476.701650322669	-2.19631854654944	0.529829854249107	-4.14532803113207	3.39327585434349e-05	0.0117068016974851
hsa-miR-6806-3p	49.846865931958	2.78766795438436	0.708562827432566	3.93425656336687	8.34546028523293e-05	0.0191945586560357
hsa-miR-451a	9529.65404753932	-1.58522089641098	0.46669330793323	-3.39670800815892	0.000682017000326901	0.0941183460451123
hsa-miR-6843-3p	27.9340464663263	2.28498215058302	0.667587959897319	3.42274320066298	0.000619926137239246	0.0941183460451123
hsa-miR-335-3p	785.161754455478	1.85249976404985	0.611073772766824	3.03154847517361	0.00243302850217852	0.27979827775053
hsa-miR-199b-5p	453.085632171195	2.11901739730448	0.753498109655234	2.8122398319938	0.00491978052866833	0.405915270725351
hsa-miR-4524a-3p	13.7860664847712	-1.82467839678836	0.641613090666273	-2.8438920953024	0.00445661378425763	0.405915270725351
hsa-miR-6772-3p	130.313227041513	2.16429087106663	0.776136388314358	2.78854451827354	0.0052945470094611	0.405915270725351
hsa-miR-199a-5p	2576.54719678918	1.55712996141717	0.583435432997115	2.66889851618743	0.00761004399918264	0.426009422536332
hsa-miR-23c	116.010587328072	1.40243729149162	0.516221132446401	2.7167374664524	0.00659288809467288	0.426009422536332
hsa-miR-329-3p	37.065355244921	1.55072716670998	0.584967498377339	2.65096295266249	0.00802626448256858	0.426009422536332
hsa-miR-6732-3p	53.6976966795269	2.15827787021419	0.802579384177342	2.68917681261706	0.00716284685761894	0.426009422536332
hsa-miR-1268b	243.759844760715	-1.3120629797071	0.508032216670561	-2.5826373537998	0.00980483246706087	0.483238171590857
hsa-miR-1249-3p	368.034697079093	-1.4241184951509	0.566496157469163	-2.5139067165313	0.011940201174216	0.484631694718179
hsa-miR-1268a	241.263787944669	-1.27921104873811	0.507903631734772	-2.5186097692763	0.011781915275164	0.484631694718179
hsa-miR-338-5p	115.798677598056	-1.73677781207339	0.687570032127198	-2.52596496490715	0.0115380987043377	0.484631694718179
hsa-miR-369-5p	154.344283088983	1.28994651078468	0.522920299710916	2.4668128422205	0.0136321588865267	0.495062612194917
hsa-miR-504-5p	1182.1640516477	1.2239308866778	0.493389740636658	2.48065735030986	0.0131140368671847	0.495062612194917
hsa-miR-143-5p	84.8686912241598	1.38353253797144	0.565138185293508	2.44813140215059	0.014359927461899	0.495417497435516
hsa-miR-335-5p	61.6677203980909	1.7893093837592	0.743692331757127	2.40598068226895	0.0161291175715946	0.510035265252357
hsa-miR-34c-5p	40.6224347806657	1.87421331651385	0.779953167986374	2.40298186281179	0.0162619939645679	0.510035265252357
hsa-miR-124-3p	14.2562507530039	-1.54866107372183	0.686160297250726	-2.25699604003165	0.0240083222110033	0.710730001108956
hsa-miR-136-3p	55.4273798285364	1.59141244600122	0.71766752295528	2.21747870023149	0.0265903969908563	0.710730001108956
hsa-miR-379-3p	11.8121163124055	1.63887377552714	0.747041650035141	2.19381847779177	0.0282484618970634	0.710730001108956
hsa-miR-4732-3p	166.257405419733	-1.43779102733283	0.654507686080644	-2.19675193723497	0.0280381673509641	0.710730001108956
hsa-miR-4732-5p	12.2771122602486	-1.72370393687178	0.788645891342862	-2.1856500563729	0.0288412174363054	0.710730001108956
hsa-miR-487b-3p	158.524413225803	1.36527715551443	0.608982055355287	2.24190046900135	0.0249678057326965	0.710730001108956
hsa-miR-629-5p	93.3631143314812	-1.19016471917558	0.552185570593746	-2.15537091615023	0.0311328203914466	0.740746416210282
hsa-miR-323a-3p	215.029584705141	1.19614288497513	0.559208158119519	2.13899398212906	0.0324361557522225	0.746031582301118
hsa-miR-1275	216.188845020077	-1.03990400013591	0.490764306551725	-2.11894790687331	0.0340948696432671	0.758885808188848
hsa-miR-654-3p	3222.01135478681	1.07962294857735	0.515000332968444	2.09635388457799	0.0360508100083388	0.777345590804805
hsa-miR-106b-3p	6348.95048085028	-1.01553190662569	0.488540568417123	-2.07870537735694	0.0376444384357344	0.783647458884801
hsa-miR-185-5p	151.346906644117	-1.18214418792432	0.573618215624991	-2.06085538381361	0.039316838867681	0.783647458884801
hsa-miR-193a-5p	5485.98175895486	-0.937851291756342	0.468479258935949	-2.00190568497412	0.045294876126565	0.783647458884801
hsa-miR-210-3p	1146.04615774416	-1.25476811657668	0.618345008063355	-2.02923626812576	0.0424342311551137	0.783647458884801
hsa-miR-3158-3p	181.842092855167	-1.06524438400511	0.533548688156378	-1.99652704176998	0.0458765853197676	0.783647458884801
hsa-miR-4417	19.2840464992698	-1.60630822793775	0.807092929820915	-1.99023949855957	0.0465645591511259	0.783647458884801
hsa-miR-509-3-5p	57.8638041152616	1.58507498616974	0.776737558467283	2.04068281350721	0.0412823647360599	0.783647458884801
hsa-miR-550a-3p	269.464194950378	-1.00322450459457	0.503429649242818	-1.99277993678653	0.046285549648005	0.783647458884801
hsa-miR-6756-3p	175.730640441186	-1.26778504365436	0.626620726682112	-2.02320955830354	0.0430515466352649	0.783647458884801
hsa-miR-1908-5p	71.0794724789506	-1.05220200196583	0.547821886080223	-1.9207009225107	0.0547694232513903	0.821541348770855
hsa-miR-23a-5p	200.120965841168	-1.21226425099663	0.6311069953285	-1.92085376959833	0.0547501454578856	0.821541348770855
hsa-miR-4516	195.345599964898	-1.13144029764959	0.581970690255961	-1.94415340255703	0.0518769550513333	0.821541348770855
hsa-miR-485-3p	636.446981841414	1.09255426821895	0.568623297285858	1.92140257607086	0.0546809740343119	0.821541348770855
hsa-miR-7703	21.7813581434029	-1.37382006840914	0.70134480877802	-1.95883686770677	0.0501318944470155	0.821541348770855
hsa-miR-513c-5p	120.452913869777	1.10710918491928	0.582388823186565	1.90097945022654	0.0573047043278924	0.84128182949459
hsa-let-7e-3p	704.655015466476	0.957794505592632	0.527134734515079	1.81698234413205	0.0692198168488375	0.842327987042881
hsa-let-7f-2-3p	124.884877946042	1.21442435455035	0.671715243846513	1.80794520546544	0.0706150291078316	0.842327987042881
hsa-miR-126-5p	3614.65082764333	1.25156441361839	0.703516335599438	1.77901258334247	0.0752376989829915	0.842327987042881
hsa-miR-1269a	910.002661312687	-1.35273293538713	0.781153757567941	-1.73171148737574	0.0833249443078058	0.842327987042881
hsa-miR-128-1-5p	137.794670087274	-0.979409334211104	0.563495358761506	-1.73809654149366	0.0821938042134573	0.842327987042881
hsa-miR-1287-5p	33.9024988658186	1.0286131176066	0.557476520295316	1.84512366020672	0.0650195521456275	0.842327987042881
hsa-miR-183-5p	1536.86409764788	0.98825153096789	0.585709319726788	1.68727301697858	0.0915508669354057	0.842327987042881
hsa-miR-19a-3p	4.66168156731688	1.5285834997914	0.897009854236733	1.70408774504721	0.0883646957667924	0.842327987042881
hsa-miR-210-5p	646.417611106067	-1.24636197366825	0.659580249565836	-1.88962900949302	0.058807594558439	0.842327987042881
hsa-miR-214-5p	366.164781172165	1.02289743825581	0.578048707045914	1.76956963277933	0.0767988613506199	0.842327987042881
hsa-miR-221-5p	144.869026233181	0.917488112604895	0.529927278893267	1.73134720394284	0.0833898570504658	0.842327987042881
hsa-miR-224-3p	8.49926107185526	1.42587541114851	0.80499907878721	1.77127582965275	0.076514844745656	0.842327987042881
hsa-miR-3614-5p	72.6719129367344	-1.60270675056823	0.856802303406246	-1.87056774263633	0.0614050191973092	0.842327987042881
hsa-miR-410-3p	693.131496871131	1.00855303880955	0.585357041154262	1.72297071343123	0.0848938212836363	0.842327987042881
hsa-miR-432-5p	705.678158841364	0.876952414019406	0.510542985255301	1.71768575682394	0.085853948696373	0.842327987042881
hsa-miR-433-3p	213.265891154717	0.875426491677997	0.511260204160116	1.71229148006175	0.0868429660042505	0.842327987042881
hsa-miR-450a-5p	26.8918519456809	1.22387627821096	0.675972516322503	1.81054147714352	0.0702118583145879	0.842327987042881
hsa-miR-455-5p	64.4465664903166	1.00234020676228	0.594947371737145	1.68475440749595	0.0920359646048982	0.842327987042881
hsa-miR-4687-5p	40.5693879082675	-1.23998755323768	0.66436639256398	-1.86642125055756	0.0619824522812518	0.842327987042881
hsa-miR-4749-3p	20.9723261061736	-1.05825227192944	0.617511203032442	-1.71373776982932	0.0865768969071818	0.842327987042881
hsa-miR-495-3p	37.4072980070597	1.26801223572962	0.754355396189449	1.68092154193482	0.0927781550945782	0.842327987042881
hsa-miR-514a-3p	55.5734474355967	1.2712322687354	0.754348323525959	1.68520593085357	0.0919488472006866	0.842327987042881
hsa-miR-5690	81.4125066952626	-1.34882264349141	0.740720273177236	-1.82096088406733	0.0686128030740187	0.842327987042881
hsa-miR-668-3p	14.6945249725264	1.29864461323226	0.755861499842036	1.71809863778438	0.0857786252709924	0.842327987042881
hsa-miR-6724-5p	82.557056479221	-0.910241172179919	0.532558009981686	-1.70918689629928	0.0874163353362444	0.842327987042881
hsa-miR-675-3p	137.283639357076	0.920614170948497	0.547004847541837	1.68300916360359	0.0923733174962133	0.842327987042881
hsa-miR-6774-3p	45.5988114400719	1.3746315184827	0.794621574176375	1.72991970411513	0.083644622307742	0.842327987042881
hsa-miR-873-5p	14.6110036020647	-1.25732863495799	0.68635684481691	-1.83188766084701	0.0669681592869054	0.842327987042881
hsa-miR-96-5p	22.2435564653582	1.42563951014572	0.84217210972908	1.69281254232504	0.0904911545447192	0.842327987042881
hsa-miR-337-3p	64.15745444724	1.16690117514005	0.701977757391073	1.66230505575687	0.0964516246138328	0.862035765360454
hsa-miR-376a-5p	16.2360763639283	1.25528339888196	0.760222908792882	1.6512043827713	0.0986968484977911	0.862035765360454
hsa-miR-497-5p	2743.49990713463	1.02120292228621	0.616172431842272	1.65733302808266	0.0974521633276488	0.862035765360454
hsa-miR-141-5p	9.91430767229166	1.17227521886749	0.717521040377608	1.63378514761122	0.102303972031279	0.875874268478233
hsa-miR-615-3p	2708.8497303448	0.672580753201306	0.41228900139655	1.63133324178687	0.102820022821358	0.875874268478233
hsa-miR-122-5p	24.5947628161163	-1.23734633215016	0.905299109206911	-1.36678178467904	0.171693713907061	0.877939613816848
hsa-miR-126-3p	7878.05744717883	0.836798104647453	0.559452683457804	1.49574419676649	0.134720328205346	0.877939613816848
hsa-miR-1260b	13476.0450222429	-0.720784151905791	0.585916828070218	-1.23018168684414	0.218629076028927	0.877939613816848
hsa-miR-1273h-3p	145.194559387977	-1.18488732281587	0.801054691039057	-1.47915908373116	0.139097802183049	0.877939613816848
hsa-miR-1296-5p	854.686992350755	0.684955178078495	0.463498033111584	1.47779522057561	0.139462598040357	0.877939613816848
hsa-miR-1299	43.007442252207	-1.30149984020984	0.849339152908002	-1.5323676481341	0.125431736207904	0.877939613816848
hsa-miR-1303	154.224976216705	-0.945122645291929	0.636060819602295	-1.48589980103299	0.137305626252393	0.877939613816848
hsa-miR-1307-5p	249.770256631763	-0.53959689432121	0.458191533492124	-1.17766666312808	0.238929522126709	0.877939613816848
hsa-miR-133a-3p	1014.80314272079	0.862796297396409	0.562815037327663	1.53300150168891	0.125275484907914	0.877939613816848
hsa-miR-134-5p	483.416937764847	0.627406303385452	0.531749230146143	1.17989132436171	0.238043440834708	0.877939613816848
hsa-miR-135b-5p	23.4018589151667	1.12957161161373	0.822771814999289	1.37288564219316	0.169787900777129	0.877939613816848
hsa-miR-140-5p	65.4400190995163	0.892899425961241	0.570673919275839	1.56464032401252	0.117667268282773	0.877939613816848
hsa-miR-141-3p	364.632886234293	0.830838643869943	0.610690084112238	1.36049145955552	0.173674453692897	0.877939613816848
hsa-miR-142-5p	9644.67373586538	0.987692919287822	0.833019718876908	1.185677717953	0.235749597274388	0.877939613816848
hsa-miR-144-5p	42.3324008232968	-0.95053186131586	0.656658287183384	-1.44752892009175	0.147748842658684	0.877939613816848
hsa-miR-145-3p	421.358903851849	1.07619762669656	0.686712558908481	1.5671733576668	0.11707417609037	0.877939613816848
hsa-miR-148a-5p	3506.90110098956	-0.820505771065394	0.615242215434739	-1.3336304799657	0.182324988676495	0.877939613816848
hsa-miR-181a-3p	7992.77946025945	-0.640481921881191	0.543311395514112	-1.17884868082903	0.238458435841766	0.877939613816848
hsa-miR-183-3p	72.1879874087065	0.795797456254729	0.622850040215342	1.2776710361608	0.201365441869408	0.877939613816848
hsa-miR-188-3p	12.9784030623616	0.979498168634204	0.736455238220778	1.33001724721329	0.183512588763722	0.877939613816848
hsa-miR-190a-5p	15.3797466128641	-0.87084690887914	0.658955163441244	-1.3215571516753	0.186315659546462	0.877939613816848
hsa-miR-193b-5p	206.739019751043	-1.02008950293501	0.653339171493422	-1.56134753194617	0.118441774297695	0.877939613816848
hsa-miR-199a-3p	17472.0604548331	1.02514510180264	0.708551653516513	1.44681773970167	0.14794797695597	0.877939613816848
hsa-miR-199b-3p	17459.6515108232	1.02524815930167	0.708529985981105	1.44700743735215	0.147894840559769	0.877939613816848
hsa-miR-200b-3p	20665.2221866963	0.697518804896381	0.49599110626489	1.40631312958233	0.159631163068358	0.877939613816848
hsa-miR-205-5p	6042.30520029977	1.16068163042978	0.753019611115921	1.54136972436844	0.123226828151782	0.877939613816848
hsa-miR-206	17.974291739935	-1.37061771960086	0.850593873263882	-1.61136561487512	0.107100057141378	0.877939613816848
hsa-miR-21-3p	1931.11618760455	-1.04723779117666	0.770692126492109	-1.358827676031	0.174201201133894	0.877939613816848
hsa-miR-21-5p	29025.1238227668	1.03536075346994	0.781225685928301	1.32530301053742	0.185070670884195	0.877939613816848
hsa-miR-2110	375.768080737089	-0.639226406759961	0.492065499963016	-1.29906771925283	0.193920690109144	0.877939613816848
hsa-miR-216b-5p	112.520890884399	1.23136652521979	0.833726445623563	1.47694310487996	0.139690889049792	0.877939613816848
hsa-miR-218-5p	46.3528015570213	0.807689518046973	0.598033352078987	1.35057604268916	0.176831279425995	0.877939613816848
hsa-miR-224-5p	366.952778296101	0.931991110763385	0.659658805669002	1.41283812594329	0.157703325259895	0.877939613816848
hsa-miR-23b-3p	78649.0666029552	0.677681054993766	0.469581823368194	1.44315861745442	0.148975793951947	0.877939613816848
hsa-miR-24-2-5p	126.64791495595	0.641176732065632	0.534877860499209	1.19873485035857	0.230631062314559	0.877939613816848
hsa-miR-299-5p	23.1211828205226	0.88318957218694	0.716731910490628	1.23224536156394	0.21785744315501	0.877939613816848
