"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"	"Healthy"	"CKD"	"AKI"
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:0.ad:u-T.mm:0"	177.432054692712	364.809198012238	247.596775928649	265.026935216399	401.53647405951	551.535416255298	1001.57455717687	212.506711260642	331.224384200805	777.582112477901	32.8315433342302	85.5186715934738	132.141130516218	1155.67683002081	291.280287581902	574.884636274302	351.542043866183
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:d-C.ad:0.mm:0"	184.586573027096	251.18010354941	64.8467746479796	133.27503926112	172.26036047266	311.933964931275	425.482789550073	153.687889393857	172.276170023966	394.4065600249	49.9610442042634	111.546093382792	44.0470435054061	533.940612939847	161.229770191653	291.557474784814	184.873698508077
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:d-C.ad:u-A.mm:0"	17.1708440025206	0	2.94758066581725	0.761571652920687	18.1965169513373	2.26039105022663	43.2441620220284	16.4439717046926	11.5179865345536	25.7652526649432	1.4274584058361	0	0	22.3968377911009	7.81530265451916	19.8463527952889	5.95607404923426
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:d-CT.ad:0.mm:0"	22.8944586700274	2.99023932796916	7.36895166454313	15.9930047113344	23.0489214716939	19.2133239269264	38.7706280197496	17.076432154873	31.0985636432946	44.2633827833639	4.28237521750829	0	0	51.9606636753542	14.4591151691136	30.0844661056415	14.0607597232156
"hsa-let-7a-3p.iso.t5:d-C.seed:0.t3:d-C.ad:0.mm:0"	2.86180733375343	10.4658376478921	16.2116936619949	8.37728818212755	10.9179101708024	30.5152791780595	30.3206193487786	2.52984180072193	23.2005157338865	52.851800338345	5.70983362334439	0	0	26.8762053493211	9.76690739931407	27.8836112799583	8.14650974316638
"hsa-let-7a-3p.iso.t5:d-C.seed:0.t3:d-CT.ad:0.mm:0"	37.2034953387945	47.8438292475066	25.0544356594467	26.655007852224	73.9991689354384	82.504273333272	102.891282052412	19.606273955595	56.4381340193125	167.804466074245	2.85491681167219	2.7886523345698	18.8773043594598	63.6070193267267	42.1511874066821	85.8488858869675	22.0319732081071
"hsa-let-7a-3p.iso.t5:d-CTA.seed:0.t3:d-CT.ad:u-GT.mm:0"	17.1708440025206	10.4658376478921	19.1592743278121	6.85414487628618	2.42620226017831	12.4321507762465	0	10.7518276530682	11.1889012049949	18.4981301184208	1.4274584058361	2.7886523345698	0	23.292711302745	11.2152606229379	10.5742019505461	6.87720551078772
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:0.mm:1AT"	13205.8099416052	10075.6114155921	9003.3851437388	6577.69436627597	3598.05795184443	1847.86968356027	2548.42320329816	1837.93006822448	10051.9113913697	1972.69344762873	669.477992337129	567.955525474048	2227.52191441625	11686.6699593965	8492.1117638113	3651.76555881626	3787.90634790598
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:0.mm:1GT"	3757.55302921825	2969.30765267338	2994.74195647033	1386.82197996857	4444.80254064666	3697.99975817077	3895.95105665125	2938.41125153852	13273.9858530787	2976.21700655305	669.477992337129	805.920524690671	2498.09661023517	2665.22369714101	3110.64543179544	5356.51298519845	1659.679706101
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:u-A.mm:0"	72027.3978795731	43623.1064360781	24293.9598476658	25287.9867352314	74251.493970497	54514.9811538408	45613.6438652354	33202.908713575	22394.092133803	45562.876424183	6379.31161568151	8548.14895623462	18292.1079243165	44162.9806300045	47896.7889738091	40257.7004581274	19345.6372815593
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:d-T.ad:0.mm:0"	49409.1036172529	34580.6227082994	24550.3993655919	19766.5922515564	55124.5284523813	37693.1509580542	38802.9368764328	26163.6239030662	18297.308866127	29449.6837960301	4426.54851649774	5494.57464988069	14472.6000089191	34870.0846937209	36686.2492790164	30081.3408799421	14815.9519672546
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:u-T.ad:0.mm:0"	137275.174185484	114062.679165384	111841.526993437	74980.5370883062	182810.701001045	128352.915200544	177029.172834845	80550.7953954365	61939.6180162096	115935.709222194	30342.0558744521	30768.1307580868	81833.1143982581	140416.526594552	124194.123686731	112761.642133846	70839.9569063371
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:u-T.ad:u-A.mm:0"	14080.0920820669	9522.4171399178	1369.15121927211	5797.08342203227	16146.3760414866	10457.6991938735	12829.598459202	8454.7312980127	0	8906.84965201959	1994.15939295303	2143.54409450598	5103.16461184062	10725.3976814024	9383.02398095514	8129.77572062156	4991.56644517551
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:u-TT.ad:0.mm:0"	0	10121.9601251756	13977.4275173054	7059.76922257477	16507.8801782532	11835.4075389866	15930.7516414484	0	0	10769.214966442	4258.10842460908	3461.64709797931	14107.6387913029	13929.9372325531	9533.4074086618	7707.07482937541	8939.33288661111
"hsa-let-7a-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0"	786470.444232782	564596.058231842	496256.154687326	371350.715252309	937662.879199022	653064.270862802	814964.068627807	426426.339166988	339245.674566133	576041.681600186	106845.261676832	130616.757148137	300891.646620216	652957.408961757	631267.250320656	561948.406964783	297827.768601735
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:u-C.ad:0.mm:0"	2492.63418769923	2478.90840288644	3027.16534379432	2675.40121671037	2626.36394664302	1729.19915342337	1739.21060821928	4501.2210239345	2727.62375404707	2291.12554466726	4910.45691607617	5151.5704127286	3945.35661112709	2366.89781776355	2660.09461954668	2597.67601685829	4093.57043942385
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:u-C.ad:u-A.mm:0"	756.948039777781	639.911216185401	534.985890845832	558.232021590863	815.203959419912	461.119774246233	326.070922832766	1160.56492608119	640.400051321179	521.250880836928	629.509156973719	651.615095511142	660.705652581092	397.767839169953	661.056225563958	621.881311063658	584.899436058976
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:u-C.ad:u-T.mm:0"	18671.8619490742	15260.6864102906	9595.84885756807	13021.3521216379	14679.7367752089	12417.45823442	7493.16945381699	29792.6819662018	15728.1396982625	11487.3388035393	12436.0176316441	20281.8684293261	13925.1581824948	11296.0691083197	14245.8972227559	15383.7576312481	14484.7783379462
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:u-C.ad:u-T.mm:10AC"	50.081628340685	47.8438292475066	0	35.7938676872723	43.6716406832096	35.0360612785128	18.8882546762883	93.6041466267115	291.898687318543	30.3897851945484	0	58.5616990259657	0	36.7308139774056	35.4781931917347	93.9633870189209	23.8231282508428
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:u-CC.ad:u-T.mm:0"	0	0	473.086696863669	310.72123439164	0	0	239.582598788709	0	0	169.786408586933	737.995995817262	581.898787146898	666.998087367578	267.866179981567	156.761586251062	81.8738014751285	563.689762578326
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:u-CC.ad:u-TT.mm:0"	286.180733375343	0	313.917340909538	261.980648604716	212.292697765602	0	271.891455471834	0	0	145.342450930449	472.488732331748	323.483670810096	333.499043683789	211.426148747993	214.87428413104	83.4467812804565	335.224398893407
