"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:0.ad:T.mm:0"	128	252	182	359	340	506	2074	349	2279	1238	24	98	22	1340
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:C.ad:0.mm:0"	135	172	46	178	149	283	881	251	1155	624	39	123	9	616
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:C.ad:A.mm:0"	12	4	2	5	18	10	90	28	83	39	1	1	0	26
"hsa-let-7a-3p.iso.t5:0.seed:0.t3:CT.ad:0.mm:0"	16	6	5	21	19	18	78	27	214	68	3	1	0	58
"hsa-let-7a-3p.iso.t5:c.seed:0.t3:C.ad:0.mm:0"	4	8	11	11	11	29	70	11	161	83	4	0	0	30
"hsa-let-7a-3p.iso.t5:c.seed:0.t3:CT.ad:0.mm:0"	28	33	18	39	62	78	217	32	379	274	2	4	3	74
"hsa-let-7a-3p.iso.t5:ct.seed:0.t3:CT.ad:0.mm:0"	5	3	3	5	10	14	23	0	21	22	0	1	1	5
"hsa-let-7a-3p.iso.t5:cta.seed:0.t3:CT.ad:GT.mm:0"	12	8	13	10	9	13	21	18	76	31	1	3	0	29
"hsa-let-7a-3p.ref.t5:0.seed:0.t3:0.ad:0.mm:0"	7	4	8	8	13	9	375	12	25	26	1	2	0	15
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:A.mm:0"	52459	30544	17301	34579	63817	50271	95627	55010	155366	71864	4683	9607	3074	51359
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AA.mm:0"	2001	1156	730	1274	2119	1926	3365	2199	6222	2819	235	401	174	1957
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AAA.mm:0"	102	60	48	60	94	90	146	95	272	113	14	20	9	113
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AAT.mm:0"	10	5	8	9	16	22	20	13	53	23	0	3	3	14
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AG.mm:0"	77	59	48	81	98	80	148	101	301	128	23	38	9	106
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:AT.mm:0"	666	370	260	427	704	695	1130	594	2381	954	76	149	58	730
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:C.mm:0"	150	127	82	127	188	144	365	214	699	198	14	39	15	216
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:0.ad:G.mm:0"	4540	2989	2077	3493	5682	4044	10285	5703	14699	5547	457	904	367	4681
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:A.mm:0"	603	566	247	459	1011	725	1766	780	1900	1169	66	184	54	873
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:AA.mm:0"	600	438	123	388	886	557	1347	807	1450	876	73	160	28	719
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:AAA.mm:0"	268	173	61	127	333	245	459	345	572	349	38	71	11	285
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:AAT.mm:0"	21	4	3	18	22	17	42	30	39	19	1	6	3	19
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:AG.mm:0"	12	10	8	8	31	25	35	12	27	26	0	1	0	23
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:AGA.mm:0"	9	6	1	5	15	19	31	24	29	10	2	7	1	9
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:AT.mm:0"	46	34	22	32	59	39	138	65	144	64	6	7	6	59
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:ATT.mm:0"	43	26	17	33	49	47	101	40	151	37	9	6	3	37
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:CT.mm:0"	14	14	11	6	20	21	44	17	287	24	2	10	5	16
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:CTT.mm:0"	85	57	46	54	94	74	222	119	1444	107	12	25	7	89
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:T.mm:0"	168	127	81	117	286	194	427	213	568	281	30	39	21	206
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:TT.mm:0"	35	33	26	19	42	42	112	43	629	55	4	19	8	33
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:gtt.ad:TTT.mm:0"	173	139	144	115	231	154	500	265	3378	272	36	49	13	191
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:T.ad:0.mm:0"	44638	28528	20024	36321	58094	41053	89779	59542	165532	54219	3845	7256	2822	44504
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:A.mm:0"	10381	6746	4529	8019	14098	9770	27176	14254	40055	14266	1507	2451	867	12644
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:AA.mm:0"	3098	1871	958	2016	3875	2954	5931	3996	9583	4561	353	727	242	3263
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:AAA.mm:0"	171	94	48	102	184	150	333	200	420	198	24	41	15	147
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:AAT.mm:0"	22	23	8	17	30	24	41	27	135	42	3	10	2	31
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:AG.mm:0"	195	128	56	161	273	224	415	274	749	247	28	47	16	189
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:AGA.mm:0"	19	6	7	7	11	11	20	14	44	18	5	4	1	6
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:AT.mm:0"	998	533	247	615	1154	879	1952	1327	3158	1125	111	176	77	963
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:C.mm:0"	114	92	55	102	153	108	304	145	375	162	18	23	10	123
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:CA.mm:0"	20	10	7	2	18	14	30	7	51	25	3	2	0	7
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:G.mm:0"	891	554	545	705	1318	778	2632	1041	2980	1079	117	186	91	1014
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:GA.mm:0"	119	67	23	89	131	105	205	202	392	164	28	36	8	129
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:GG.mm:0"	10	15	9	8	42	21	56	41	96	26	4	0	2	29
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:t.ad:GT.mm:0"	93	64	19	73	112	100	181	138	305	119	14	20	4	106
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:TA.ad:0.mm:0"	464	238	165	356	605	410	658	848	1883	550	37	82	16	332
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:TA.ad:A.mm:0"	18	6	6	20	22	13	20	31	85	10	1	3	3	6
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:TG.ad:0.mm:0"	54	42	17	44	79	43	74	122	250	50	6	14	0	44
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:TT.ad:0.mm:0"	1036	612	317	998	1342	986	1250	1752	3827	1160	80	118	40	806
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:A.mm:0"	1627	1155	1047	1657	2366	1927	5947	2228	8015	3221	547	670	272	2769
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:AA.mm:0"	408	288	171	350	586	463	1371	600	1559	750	94	168	59	655
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:AAA.mm:0"	233	126	75	136	219	186	528	230	525	299	42	69	26	235
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:AAG.mm:0"	10	2	1	2	11	17	20	6	33	22	3	6	0	7
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:AAT.mm:0"	16	11	12	10	23	24	49	22	40	16	3	3	1	20
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:AGA.mm:0"	14	4	4	15	10	9	27	12	18	16	7	4	3	12
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:AT.mm:0"	541	400	434	424	784	578	1649	830	11444	884	132	194	76	656
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:ATA.mm:0"	52	33	25	34	61	51	93	60	800	73	11	10	3	49
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:ATT.mm:0"	40	24	25	17	41	44	68	48	601	41	3	7	3	37
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:C.mm:0"	18	6	8	20	23	18	67	14	56	20	2	6	2	28
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:CT.mm:0"	84	39	45	52	106	68	202	70	264	112	13	21	5	94
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:G.mm:0"	103	91	73	77	192	90	388	132	254	137	25	30	16	139
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:GA.mm:0"	7	7	4	19	12	9	39	18	53	19	0	4	1	18
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:GT.mm:0"	259	198	179	245	390	312	771	353	1013	455	38	74	23	340
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:GTA.mm:0"	22	16	3	19	29	23	47	26	68	36	1	1	0	18
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:tt.ad:GTT.mm:0"	20	10	11	13	23	19	42	30	54	29	0	2	1	22
"hsa-let-7a-5p.iso.t5:0.seed:0.t3:TT.ad:T.mm:0"	20	15	3	43	29	18	22	29	88	24	1	2	0	25
"hsa-let-7a-5p.iso.t5:A.seed:0.t3:0.ad:0.mm:0"	36	24	26	35	41	39	70	55	254	76	3	8	2	53
"hsa-let-7a-5p.iso.t5:G.seed:0.t3:0.ad:0.mm:0"	894	721	557	1030	1753	1247	3531	1509	5280	1788	117	361	103	1308
"hsa-let-7a-5p.iso.t5:G.seed:0.t3:0.ad:A.mm:0"	76	41	23	46	94	79	142	90	298	87	5	14	1	53
"hsa-let-7a-5p.iso.t5:G.seed:0.t3:t.ad:0.mm:0"	385	389	372	424	1024	549	1686	574	2223	849	52	174	102	787
"hsa-let-7a-5p.iso.t5:G.seed:0.t3:T.ad:0.mm:0"	46	35	35	51	84	72	122	83	321	79	2	9	5	60
"hsa-let-7a-5p.iso.t5:G.seed:0.t3:t.ad:A.mm:0"	19	14	10	16	36	27	52	45	99	29	0	0	1	22
"hsa-let-7a-5p.iso.t5:G.seed:0.t3:tt.ad:0.mm:0"	41	39	61	44	125	77	186	26	195	90	2	21	15	93
"hsa-let-7a-5p.iso.t5:G.seed:0.t3:tt.ad:A.mm:0"	5	8	5	2	26	13	37	9	52	12	1	4	1	6
"hsa-let-7a-5p.iso.t5:GG.seed:0.t3:0.ad:0.mm:0"	9	2	2	5	4	11	18	9	46	12	0	4	0	13
"hsa-let-7a-5p.iso.t5:T.seed:0.t3:0.ad:0.mm:0"	22	12	20	19	13	20	100	24	71	27	1	12	3	21
"hsa-let-7a-5p.iso.t5:t.seed:0.t3:0.ad:A.mm:0"	13	11	5	7	18	14	31	18	19	34	0	2	4	18
"hsa-let-7a-5p.iso.t5:T.seed:0.t3:t.ad:0.mm:0"	9	11	4	13	9	5	41	22	38	19	1	1	3	19
"hsa-let-7a-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0"	573329	395487	353600	508024	806311	602334	1706995	708396	2355504	909242	79248	147114	50282	758908
"hsa-let-7a-5p.ref.t5:0.seed:0.t3:gtt.ad:0.mm:0"	623	752	764	726	1394	1058	3074	872	2909	1689	310	338	145	1506
"hsa-let-7a-5p.ref.t5:0.seed:0.t3:t.ad:0.mm:0"	100043	79596	79629	102545	156862	118161	370502	133065	426454	182696	22237	34525	13687	163163
"hsa-let-7a-5p.ref.t5:0.seed:0.t3:tt.ad:0.mm:0"	7876	7074	9923	9649	14166	10927	33375	9331	31840	16977	3125	3864	2368	16230
"hsa-let-7a-5p.ref.t5:t.seed:0.t3:0.ad:0.mm:0"	86	54	61	83	180	110	265	107	211	167	17	32	6	161
"hsa-let-7a-5p.ref.t5:t.seed:0.t3:t.ad:0.mm:0"	21	8	17	22	25	32	65	15	24	41	3	4	1	14
"hsa-let-7a-5p.ref.t5:tg.seed:0.t3:0.ad:0.mm:0"	9	10	13	15	19	14	24	9	60	27	4	2	3	14
"hsa-let-7a-5p.ref.t5:tga.seed:0.t3:0.ad:0.mm:0"	37	27	13	17	53	40	159	27	194	49	7	23	1	105
"hsa-let-7a-5p.ref.t5:tga.seed:0.t3:t.ad:0.mm:0"	11	10	3	9	16	13	57	1	80	13	4	4	0	38
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:A.mm:0"	553	456	379	761	698	421	685	1910	4524	826	460	729	112	458
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:AA.mm:0"	48	15	17	49	49	23	28	164	197	31	44	29	5	29
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:AT.mm:0"	42	33	11	35	46	22	24	125	225	32	13	26	15	15
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:G.mm:0"	106	92	47	83	115	69	125	295	830	104	69	131	14	89
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:T.mm:0"	13456	10601	6803	17656	12525	11337	15576	48741	106819	17995	8991	22519	2280	13020
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:TA.mm:0"	71	70	72	102	105	92	110	404	691	105	79	104	14	52
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:TT.mm:0"	213	165	56	230	228	173	200	888	1617	217	117	212	24	156
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:c.ad:TTT.mm:0"	31	30	10	36	41	28	33	162	302	51	11	36	2	23
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:cc.ad:A.mm:0"	12	11	21	17	11	11	13	50	171	21	23	29	4	12
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:cc.ad:AT.mm:0"	31	20	24	40	32	18	50	111	948	46	20	49	9	41
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:cc.ad:T.mm:0"	152	108	334	416	142	92	493	401	785	308	525	641	116	307
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:cc.ad:TA.mm:0"	11	3	29	19	9	2	27	17	53	9	40	32	14	20
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:cc.ad:TT.mm:0"	203	132	219	353	178	95	565	540	914	257	343	401	54	246
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:cc.ad:TTT.mm:0"	9	11	19	13	5	3	31	40	66	27	19	32	2	12
"hsa-let-7b-3p.iso.t5:0.seed:0.t3:ccc.ad:ACT.mm:0"	21	20	17	21	12	20	21	82	614	19	9	32	4	12
"hsa-let-7b-3p.iso.t5:c.seed:0.t3:c.ad:T.mm:0"	244	212	74	274	276	257	238	741	1842	369	126	374	25	187
"hsa-let-7b-3p.iso.t5:ct.seed:0.t3:c.ad:T.mm:0"	17	24	3	22	29	16	14	63	123	23	8	15	1	10
"hsa-let-7b-3p.ref.t5:0.seed:0.t3:0.ad:0.mm:0"	12	13	16	28	16	14	21	45	127	26	3	19	1	31
"hsa-let-7b-3p.ref.t5:0.seed:0.t3:c.ad:0.mm:0"	1800	1716	2144	3615	2244	1579	3610	7383	18660	3576	3521	5711	649	2729
"hsa-let-7b-3p.ref.t5:0.seed:0.t3:cc.ad:0.mm:0"	64	45	160	164	109	46	223	138	469	131	302	246	36	119
"hsa-let-7b-3p.ref.t5:c.seed:0.t3:c.ad:0.mm:0"	36	26	18	40	56	31	51	106	257	97	48	110	8	50
