"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"	"Healthy"	"CKD"	"AKI"
"hsa-let-7a-2-3p"	8.77976388592044	15.9707814732374	6.0491825493667	11.5046789903582	0	5.90931656105129	18.9975888736219	12.256333475532	12.2479890967764	9.88732257861832	14.5384532833207	23.6321659095093	0	11.9193587939343	8.46088137977654	11.85971011712	12.5224944966911
"hsa-let-7a-3p"	539.955478984107	820.8981677244	455.200986839844	515.409618768048	859.812649555598	1207.86430507888	2194.49290903009	492.833619752973	693.708394505373	1655.79695449928	153.314598260473	241.775235843441	203.511832337339	2120.72899156693	638.255380374399	1248.93923657332	679.832664502046
"hsa-let-7a-5p"	1187906.44364698	900036.584080586	749811.299950376	550122.303196357	1456236.4481014	1011806.18207964	1291856.66935992	651549.912910198	483062.755902734	846077.308542688	156063.687608592	191617.781559424	438213.306636321	984954.380189255	968822.615795139	856870.565759036	442712.288998398
"hsa-let-7b-3p"	25323.7656349565	22256.8810611036	16036.3829383711	18595.3961414157	21791.6717823019	17115.744487429	12128.6035251737	40654.9032085227	20927.9766469148	16146.6569257223	19774.9398204586	28857.601363885	19961.6034404024	16316.6853151427	20800.8195116298	21394.7769587525	21227.7074849722
"hsa-let-7b-5p"	913573.941267509	563367.7193903	288161.884512907	521456.478045381	881870.150988428	578350.721146651	368246.548785019	929450.663204594	328811.138519531	435338.813136565	139369.578206626	154156.253945561	298935.623208427	502999.691725288	633686.034840905	528039.576958472	273865.286771476
"hsa-let-7c-3p"	98.0406967261116	134.154564375194	63.5164167683504	101.241175115152	77.5866444125613	59.0931656105129	98.2446738893017	60.6365971947375	74.8160297839235	127.876038683464	18.5034859969537	54.535767483483	40.7023664674678	142.115431773832	94.9078994794739	84.1333010323878	63.9642629304342
"hsa-let-7c-5p"	250991.500088751	234954.151643531	90287.0741405727	149608.379547817	307407.188547992	186390.481105368	160531.797135119	175886.12621608	85865.9294412212	179942.679382468	14714.2364002918	31225.3626021262	60867.4817402076	178934.331088295	206649.658793733	157723.402656051	71435.3529577302
"hsa-let-7d-3p"	8061.28654125595	12699.9654275183	11918.4019178897	7902.18050917739	10740.0266462241	13116.3190389094	7732.01867156411	9535.42744396393	16245.7032247375	11713.8406363084	18178.3533144358	25085.5441129441	11036.1559364649	8382.05985339596	10264.3722084131	11668.6618030967	15670.5283043102
"hsa-let-7d-5p"	82654.160516036	60524.4705491276	44977.1845501788	40445.082479904	85210.4861602481	68588.2554608101	58330.7396658222	42819.7587424114	41913.9467843722	52779.1870795032	15104.131283799	15608.1366537728	39870.8752667753	56265.7916236436	62762.2768510989	52886.3775465838	31712.2337069977
"hsa-let-7e-3p"	705.307698835609	895.960840648615	372.024726786052	559.12739893141	563.457106143683	880.488167596642	449.971462178073	1099.84466188327	1510.3393783796	1142.97449008828	663.48214074791	1551.54258490509	337.248179301876	611.554793504168	619.175554269074	1016.72363202517	790.956924614761
"hsa-let-7e-5p"	139274.857816337	97816.2452891368	62698.2648285485	91059.5342086853	163608.610558633	85000.7912774739	76428.9284033414	116717.063687492	82050.0167899738	68971.9848439257	15794.0469759712	17441.4473706759	39283.5982648875	53031.0610217205	110891.502540268	85833.7570004413	31387.5384083138
"hsa-let-7f-1-3p"	146.329398098674	92.6305325447766	155.766450646193	83.6006673299364	125.919308144977	115.822604596605	291.477292146713	116.757703109016	215.594121330004	191.154903186621	75.3356215590256	51.8089791093088	58.1462378106683	85.2692590642993	120.849271352911	186.161324873792	67.6400243858255
"hsa-let-7f-2-3p"	46.8254073915757	113.392548459985	75.6147818670838	114.279811304225	137.366517976338	282.465331618252	256.196055667129	89.019685243338	167.192429477683	431.087264427759	37.0069719939073	94.5286636380372	40.7023664674678	241.137797138825	97.4958133998416	245.192153286832	103.343949809559
"hsa-let-7f-5p"	39814.7659286682	24483.2079984729	57005.9840495945	31611.789951107	116718.295264969	32557.9705247682	236942.27073784	25164.832905999	27134.0179656381	40109.5719272616	5051.45167716835	4174.71300086062	11390.8479871099	30021.197306907	53926.8086385623	72381.7328123014	12659.5524930115
"hsa-let-7g-3p"	14.6329398098674	15.9707814732374	51.418051669617	9.9707217916438	29.2539806801461	34.2740360540975	32.5672952119232	10.9661931096866	35.5634382207605	43.5042193459206	52.867102848439	46.3554023609605	0	22.0049700811095	24.2492950849023	31.3750363884777	30.3068688226273
"hsa-let-7g-5p"	95478.4689654038	22678.509691997	74793.6053360073	61994.1132074443	177932.885794276	150910.944472816	139281.094221086	57692.4968798781	45081.6014102927	123851.239239127	6305.72369224756	7648.64138955849	26630.9769172861	97140.0235493045	86575.5165990257	103363.47524464	34431.3413870992
"hsa-let-7i-3p"	128.769870326833	289.071144665596	1465.41447258408	635.825258867131	272.189211545707	309.648187799088	708.881459112862	315.439319449219	412.299777546908	357.921077345983	4391.93456913407	1610.62299967886	1552.50454954484	748.168982757723	558.25399159787	420.837964250812	2075.80777527888
"hsa-let-7i-5p"	16059.6514413295	9924.24360746969	66273.3317152243	20857.2160309201	31061.3679212977	28579.8186158685	41622.6316455985	21877.5552538247	21399.7455763413	19781.895860461	10965.9588083375	9534.67001502894	19385.9556860768	33882.1526823884	28835.1621432482	26652.3293904188	18442.1842979579
"hsa-miR-100-5p"	13216.4712362722	24983.0934585852	29836.0806291139	24712.0504712895	18786.1432454677	28551.4538963754	49376.3618473039	22999.3323019273	15006.8855323587	25083.4782271161	15886.5644059559	28909.4103429943	16629.8240138511	28174.6135676006	22306.7678081457	28203.5023610163	22400.1030826005
"hsa-miR-101-3p"	3855.77963990006	3853.74956949217	3959.18997856051	2511.85491289488	5329.31213260052	2837.65381261683	15796.2237542898	3584.00993631874	2171.28809120444	3933.17692177437	736.174407164513	834.39724249729	1808.34799591179	5302.28091579401	3901.97724668963	5664.47050324084	2170.3001403419
"hsa-miR-101-5p"	108.283754593019	111.795470312661	37.8073909335419	82.066710131222	123.375483738007	85.0941584791386	198.1177125392	80.6337728653424	37.0390995577215	58.6647806331354	9.25174299847683	16.3607302450449	75.5901091538688	99.9392391183723	92.6657619416903	91.9099048149075	50.2854553789407
"hsa-miR-103a-3p"	42030.1930158821	35958.2144869939	47954.8946601045	28724.8825031264	36094.3245104863	39543.964563243	55887.1069484209	25484.7877167286	19387.8289095286	26561.9625300388	17705.1927439422	15367.2703473874	22717.7351126281	27497.9607376065	38152.5018353187	33373.130133592	20822.0397353911
"hsa-miR-106a-5p"	455.084428086876	100.615923281395	75.6147818670838	153.395719871443	408.28381731856	316.739367672349	140.03936941127	239.321037864336	154.944440380907	333.532348318725	29.0769065666415	40.9018256126122	0	20.1712225743504	238.598934085072	236.915312729517	22.537488688401
"hsa-miR-106b-3p"	5616.12229902711	7357.73902472045	13601.586962251	4739.92774402759	4783.66179730562	3362.40112323818	5497.90222002617	4975.42632088309	3298.69335264265	2675.50948977412	9238.52622276472	5977.12011618973	9629.01698144668	8838.66298257898	7219.80756546636	3961.98650131284	8420.83157574503
"hsa-miR-106b-5p"	114.136930516966	111.795470312661	216.25827613986	166.434356060516	185.699181708753	176.097633519328	379.951777472438	174.16894938914	171.324281221174	236.636587048265	298.69913109368	177.24124432132	98.8486042781362	151.284169307628	158.864842947751	227.635845730069	181.518287250191
