"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"	"Healthy"	"CKD"	"AKI"
"hsa-let-7a-2-3p"	3.18184070422457	3.69976037432018	2.89642618631395	3.43217746700389	1.79093493918829	2.88027596486076	3.91220521263197	3.4793238289621	3.5954002231051	3.29863324513421	3.59473290755613	4.09898873949991	2.42347135290105	3.45658648359402	3.00022793421018	3.43316769493883	3.39344487088778
"hsa-let-7a-3p"	9.10247273216536	9.42191289341895	8.93112336939375	9.07117655000243	9.47524210198909	9.79708427529708	10.4306909709921	8.99170758685008	9.31815575539555	10.1410457434672	8.11913442358222	8.42575506939044	8.3294336719062	10.3867024070382	9.20038552939392	9.7357368664004	8.81525639297925
"hsa-let-7a-5p"	19.7932255349549	19.5255954928663	19.3481694970466	19.1058492470466	19.999349327807	19.6408278013422	19.9017746517426	19.2201117121434	19.0100597845319	19.485441436392	18.0504441758949	18.2171192709559	18.8415403413152	19.6365709744689	19.5544378199443	19.4516430772304	18.6864186906587
"hsa-let-7b-3p"	14.3812751609793	14.2505178576483	13.943177621633	14.1180847862384	14.2438302002241	14.0308749653723	13.739110198748	14.8393906905715	14.2478983580169	13.9873517217349	14.1242276282684	14.5156291743632	14.1282840635506	13.9939655712893	14.1873771253446	14.1689251868887	14.1905266093679
"hsa-let-7b-5p"	19.2911006239596	18.8006570625312	18.1823371220788	18.7550290588753	19.2628534238383	18.8460200056829	18.4413855320099	19.312931592226	18.363584202471	18.5991880898182	17.5995832929286	17.7023447556316	18.1970532612642	18.7203556502563	18.8583954582566	18.7126218844416	18.0548342400202
"hsa-let-7c-3p"	6.45699183059302	6.7556366067605	6.05499717681076	6.47895277683246	6.25187668036016	6.00477018054184	6.45009048287694	6.02608020110631	6.19659131983433	6.69841365267374	5.09061814047911	5.92906161632075	5.69505084665341	6.82314344589464	6.39969101427138	6.27518916740663	5.88446851233698
"hsa-let-7c-5p"	17.421980955326	17.3534915587691	16.4602005764572	16.9513276151159	17.644345114013	17.1448054805351	17.0154186368151	17.0945359214159	16.4961709243195	17.1356217479198	15.1451553536738	15.6321324802607	16.1124757274829	17.1243594458101	17.1662691639362	16.9773105422011	16.0035307518069
"hsa-let-7d-3p"	13.0375589239181	13.4411067905395	13.352007391715	13.0449323320761	13.2987942652977	13.486557711982	13.0294914036868	13.1854043569899	13.6999303267459	13.3980841550008	13.7548091585276	14.1048288814349	13.2718638943766	13.0886435725003	13.2348799407093	13.3598935908811	13.5550363767099
"hsa-let-7d-5p"	15.9105945798136	15.6228260024632	15.3258695437794	15.2601529468962	15.9689114931104	15.7458913042568	15.6124351137433	15.2884140992711	15.3419556731624	15.5079953430189	14.4003244289802	14.4443852384765	15.1858259183682	15.5651315314443	15.6176709132126	15.4993383066905	14.8989167793173
"hsa-let-7e-3p"	9.36913060895824	9.56928198396231	8.86123531939983	9.21862377484349	9.19058643093969	9.59357252857758	8.95724586522585	9.76658051839123	10.0979990575636	9.81610157510896	9.31104695265446	10.1142276774081	8.77910165776088	9.24908429587772	9.24177162362071	9.64629990897345	9.36336514592528
"hsa-let-7e-5p"	16.5667402334252	16.2166375365199	15.7990016676072	16.1842214216545	16.7371146896998	16.0962123986754	16.0170023436031	16.3982154374098	16.1040319800446	15.9254646351228	14.6771143256614	14.7709817647834	15.3706393069536	15.6679551014089	16.3007431097813	16.1081853589711	15.1216726247019
"hsa-let-7f-1-3p"	7.05066727403741	6.63391937493703	7.10222407965269	6.56240882702817	6.92245193882015	6.84179927647535	7.64452842981184	6.8337346730062	7.36810059499179	7.24066662967926	6.4336530505264	6.15109269717711	6.24679682756876	6.57409305481074	6.85433429889509	7.18576592079289	6.35140890752075
"hsa-let-7f-2-3p"	6.11216646342199	6.84464929859088	6.48760967138563	6.85307026688725	7.03231219303967	7.70873888445651	7.60540313723012	6.62502821883878	7.14391812206025	8.14126289682066	5.9189408373491	6.68556223358314	6.03657538378649	7.55552419681229	6.66596157866508	7.44487025188126	6.54915066288275
"hsa-let-7f-5p"	15.0401532404696	14.5968794733448	15.3863095575335	14.856334649124	16.1297340441218	14.8475853197548	16.8910212927822	14.6092934299592	14.7493780554453	15.0639783737273	13.3837942448766	13.2866290923624	13.9370046927832	14.7891827372851	15.2018821929187	15.2322512943338	13.8491526918268
"hsa-let-7g-3p"	4.17888900599416	4.24799458013968	5.29104814663701	3.88742611119547	4.77557677604781	4.91844277179169	4.88814315725624	3.94357106213864	4.96300812974542	5.1637349915092	5.30122397318345	5.20422714019063	3.37731353785403	4.52278241724045	4.47618692400283	4.77538002248824	4.60138676711714
"hsa-let-7g-5p"	16.17137511344	14.8974277858008	15.9346736449835	15.7828855617124	16.8073315946644	16.6361202320604	16.5589831863948	15.698776467596	15.505777537329	16.4498614943513	14.0245368177676	14.1456187596375	14.9879121985907	16.2000029018277	15.9187387401202	16.1699037835463	14.8395176694559
"hsa-let-7i-3p"	7.99880426440975	8.56967245145984	10.0121458652658	9.25961806515647	8.53570197789917	8.6072256417564	9.33714053575893	8.64588031833758	8.88429924168256	8.75690829369791	11.157814174309	10.1327123045844	10.1012361021924	9.39523921666063	8.8751885248382	8.84629080624667	10.1967504494366
"hsa-let-7i-5p"	13.9767733245369	13.5861014497221	15.3316165056412	14.2324114147952	14.5933464681805	14.514832940028	14.8834829170989	14.2553706099848	14.280370667308	14.1788260633228	13.6462506297123	13.551024997064	14.1240728464251	14.6841317464879	14.3440498325752	14.4225766395485	14.0013700549223
"hsa-miR-100-5p"	13.8944769854299	14.4353486208278	14.5837683848605	14.4605157560864	14.1990546470172	14.5705813960442	15.08890096405	14.3843243410953	14.0357934469382	14.4726811933255	14.0394375622387	14.584682257215	14.0470112864669	14.5763374053418	14.3146328788444	14.5104562682907	14.3118671278156
