"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"
"hsa-let-7a-2-3p"	6	10	4	15	0	5	35	19	83	15	11	26	0	13
"hsa-let-7a-3p"	369	514	301	672	676	1022	4043	764	4701	2512	116	266	35	2313
"hsa-let-7a-5p"	811803	563552	495810	717259	1144919	856111	2380038	1010045	3273534	1283579	118080	210817	75364	1074253
"hsa-let-7b-3p"	17306	13936	10604	24245	17133	14482	22345	63024	141821	24496	14962	31749	3433	17796
"hsa-let-7b-5p"	624327	352749	190546	679884	693342	489355	678435	1440852	2228229	660450	105449	169602	51411	548603
"hsa-let-7c-3p"	67	84	42	132	61	50	181	94	507	194	14	60	7	155
"hsa-let-7c-5p"	171525	147115	59702	195062	241689	157709	295754	272662	581881	272990	11133	34354	10468	195157
"hsa-let-7d-3p"	5509	7952	7881	10303	8444	11098	14245	14782	110091	17771	13754	27599	1898	9142
"hsa-let-7d-5p"	56485	37897	29741	52733	66994	58034	107465	66380	284035	80071	11428	17172	6857	61367
"hsa-let-7e-3p"	482	561	246	729	443	745	829	1705	10235	1734	502	1707	58	667
"hsa-let-7e-5p"	95179	61247	41459	118725	128632	71921	140808	180937	556022	104637	11950	19189	6756	57839
"hsa-let-7f-1-3p"	100	58	103	109	99	98	537	181	1461	290	57	57	10	93
"hsa-let-7f-2-3p"	32	71	50	149	108	239	472	138	1133	654	28	104	7	263
"hsa-let-7f-5p"	27209	15330	37695	41216	91766	27548	436528	39011	183877	60850	3822	4593	1959	32743
"hsa-let-7g-3p"	10	10	34	13	23	29	60	17	241	66	40	51	0	24
"hsa-let-7g-5p"	65249	14200	49457	80829	139894	127689	256603	89436	305501	187894	4771	8415	4580	105947
"hsa-let-7i-3p"	88	181	969	829	214	262	1306	489	2794	543	3323	1772	267	816
"hsa-let-7i-5p"	10975	6214	43823	27194	24421	24182	76683	33915	145018	30011	8297	10490	3334	36954
"hsa-miR-100-5p"	9032	15643	19729	32220	14770	24158	90968	35654	101696	38054	12020	31806	2860	30729
"hsa-miR-101-3p"	2635	2413	2618	3275	4190	2401	29102	5556	14714	5967	557	918	311	5783
"hsa-miR-101-5p"	74	70	25	107	97	72	365	125	251	89	7	18	13	109
"hsa-miR-103a-3p"	28723	22515	31710	37452	28378	33459	102963	39507	131384	40297	13396	16907	3907	29991
"hsa-miR-106a-5p"	311	63	50	200	321	268	258	371	1050	506	22	45	0	22
"hsa-miR-106b-3p"	3838	4607	8994	6180	3761	2845	10129	7713	22354	4059	6990	6576	1656	9640
"hsa-miR-106b-5p"	78	70	143	217	146	149	700	270	1161	359	226	195	17	165
"hsa-miR-107"	7454	4351	4117	7046	6879	11017	13007	4904	23848	18443	1291	1570	369	3074
"hsa-miR-10a-3p"	289	193	157	596	554	391	1651	479	3239	664	77	138	14	195
"hsa-miR-10a-5p"	517534	444010	729913	985922	869264	476725	4375534	843551	4441961	786591	123236	277683	45675	534048
"hsa-miR-10b-3p"	241	131	90	296	271	281	875	328	1683	705	49	100	3	98
"hsa-miR-10b-5p"	3170284	2078294	3539557	2081348	2556044	1815414	14283527	1812214	7316359	2404423	145295	461756	119886	1186913
"hsa-miR-1180-3p"	4667	2557	1767	5859	1887	3221	3238	8021	25533	7846	1826	2699	488	2888
"hsa-miR-122-5p"	73	57	2	5	0	6	11	23	82	107	3	0	14	3
"hsa-miR-1226-3p"	116	80	90	147	104	130	136	188	794	288	253	394	21	144
"hsa-miR-1227-3p"	74	63	45	96	73	87	69	163	753	183	118	154	7	106
"hsa-miR-1228-3p"	7	26	9	36	9	9	9	88	101	25	62	37	8	22
"hsa-miR-1229-3p"	70	53	71	143	99	134	67	237	475	200	63	56	14	82
"hsa-miR-1233-3p"	41	22	27	72	44	49	32	125	481	91	21	38	6	37
"hsa-miR-1237-3p"	29	27	31	94	32	39	59	126	398	90	77	98	16	79
"hsa-miR-124-3p"	53	9	20	20	5	24	12	0	30	39	0	0	0	0
