"AL_26s_A10_R" "AL_26s_A12_R" "AL_26s_A8_R" "AL_26s_B10_R" "AL_26s_B11_R" "AL_26s_B12_R" "AL_26s_B1_R" "AL_26s_B2_R" "AL_26s_B3_R" "AL_26s_B6_R" "AL_26s_B7_R" "AL_26s_B8_R" "AL_26s_B9_R" "AL_26s_C1_R"
"ENSMUSG00000019256" 0.997719363193959 0.997719363193959 0.997719363193959 3.19138590553317 0.997719363193959 0.997719363193959 4.09841544474099 0.997719363193959 5.19143697409275 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000015522" 5.5376936298798 0.997719363193959 0.997719363193959 0.997719363193959 6.52424786744511 5.61696236789787 0.997719363193959 5.07075665454821 4.44203153248354 0.997719363193959 0.997719363193959 5.12370286765179 4.46954992010369 0.997719363193959
"ENSMUSG00000015709" 0.997719363193959 0.997719363193959 5.17237821963118 0.997719363193959 7.47239284740638 6.39893788513749 5.56666210354966 6.93217173342371 7.90008076605423 5.49033379040047 6.66666881279009 7.48771372775101 5.40302350023489 6.2675702775411
"ENSMUSG00000055116" 4.07171922706732 0.997719363193959 0.997719363193959 4.93305328138388 3.95455715609153 4.97368788133903 3.25749284658798 0.997719363193959 5.19143697409275 0.997719363193959 0.997719363193959 6.08178553314338 3.12369491203674 4.75552006459585
"ENSMUSG00000040187" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 3.4596325120939 0.997719363193959 0.997719363193959 5.88014498068268 4.73720592646176 0.997719363193959 0.997719363193959 0.997719363193959 3.12369491203674 0.997719363193959
"ENSMUSG00000020052" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000036816" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 4.44079729709788 0.997719363193959 0.997719363193959
"ENSMUSG00000072964" 0.997719363193959 4.90558617861424 6.38804253702888 5.885114553128 7.23433118626212 7.38176680175258 6.85165121115275 6.28290229164977 5.68216250274263 6.05377457509094 4.45392816420185 7.73031613531307 6.77486825432099 6.2675702775411
"ENSMUSG00000025128" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 5.01177566453802 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959
"ENSMUSG00000030103" 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 0.997719363193959 4.67450036283059 3.25749284658798 0.997719363193959 5.37419339536313 0.997719363193959 5.94848468480321 0.997719363193959 6.24620853818895 0.997719363193959
"ENSMUSG00000030256" 0.997719363193959 4.90558617861424 7.73603851497975 7.02770212502394 7.3181263947925 8.2390260245399 6.94320077488802 8.02908236494468 7.77564585496401 6.05377457509094 0.997719363193959 6.82969984225489 6.94186723597218 5.70118420930612
"ENSMUSG00000029238" 6.72420564067033 5.85671022910634 3.13909719557376 0.997719363193959 7.05055459013419 5.43267883726112 4.09841544474099 6.68866056245556 6.33903937110302 0.997719363193959 0.997719363193959 6.3377137620099 3.94818088254864 6.2675702775411
"ENSMUSG00000024140" 5.5376936298798 0.997719363193959 3.96556375042923 4.54911223425534 3.95455715609153 0.997719363193959 6.7538961499797 0.997719363193959 4.44203153248354 0.997719363193959 5.38666032111347 3.09937094495168 0.997719363193959 4.75552006459585
