"SSF339.A10_R" "SSF339.A11_R" "SSF339.A12_R" "SSF339.A1_R" "SSF339.A2_R" "SSF339.A3_R" "SSF339.A5_R" "SSF339.A6_R" "SSF339.A7_R" "SSF339.A8_R" "SSF339.B11_R" "SSF339.B12_R" "SSF339.B1_R" "SSF339.B2_R" "SSF339.B3_R" "SSF339.B4_R" "SSF339.B5_R" "SSF339.B7_R" "SSF339.B8_R" "SSF339.B9_R" "SSF339.C11_R" "SSF339.C12_R" "SSF339.C1_R" "SSF339.C4_R" "SSF339.C5_R" "SSF339.C6_R" "SSF339.C7_R" "SSF339.C9_R" "SSF339.D10_R" "SSF339.D12_R" "SSF339.D1_R" "SSF339.D4_R" "SSF339.D5_R" "SSF339.D6_R" "SSF339.D7_R" "SSF339.D9_R" "SSF339.E11_R" "SSF339.E12_R" "SSF339.E3_R" "SSF339.E4_R" "SSF339.E5_R" "SSF339.E7_R" "SSF339.F10_R" "SSF339.F12_R" "SSF339.F3_R" "SSF339.F4_R" "SSF339.F5_R" "SSF339.F6_R" "SSF339.F7_R" "SSF339.F8_R" "SSF339.F9_R" "SSF339.G10_R" "SSF339.G11_R" "SSF339.G1_R" "SSF339.G2_R" "SSF339.G3_R" "SSF339.G4_R" "SSF339.G5_R" "SSF339.G6_R" "SSF339.G7_R" "SSF339.G8_R" "SSF339.G9_R" "SSF339.H10_R" "SSF339.H11_R" "SSF339.H12_R" "SSF339.H1_R" "SSF339.H2_R" "SSF339.H4_R" "SSF339.H5_R" "SSF339.H6_R" "SSF339.H7_R" "SSF339.H9_R"
"ENSMUSG00000019256" -1.25076140402539 -1.25076140402539 -1.25076140402539 4.01403591010729 -1.25076140402539 4.92605606210148 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.76222843452325 -1.25076140402539 3.20607393750504 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.81305956916728 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.91190261769111 -1.25076140402539 -1.25076140402539 5.98706715640698 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.16068475804281 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 0.982063713530332 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.70944053908118 -1.25076140402539 4.07874157525184 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.69807649735852
"ENSMUSG00000021575" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.15971017524662 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000015522" 4.43659896841778 2.59911947812985 7.76476568833206 3.723109197938 6.11800182819865 -1.25076140402539 5.82287098870296 2.18101458390967 -1.25076140402539 -1.25076140402539 4.39544942241364 5.82177021918559 2.4096985081701 -1.25076140402539 -1.25076140402539 5.69015922913287 5.41896471938893 4.70636236903 5.57131629302529 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.61077526740348 6.09135923882396 5.19529488635056 5.23449343532629 -1.25076140402539 -1.25076140402539 3.5018746955991 3.70571785335093 4.64774678907875 3.76690761672441 1.81032228994961 3.11895424742999 -1.25076140402539 3.19778033133146 4.01936184649046 -1.25076140402539 3.29145510158102 -1.25076140402539 -1.25076140402539 2.75359946668021 -1.25076140402539 3.13979315069919 -1.25076140402539 -1.25076140402539 -1.25076140402539 2.48784968554767 5.33192019285462 -1.25076140402539 4.66113548937754 -1.25076140402539 5.25778953965672 4.21550337776177 -1.25076140402539 -1.25076140402539 4.00670806556194 -1.25076140402539 2.45540731339392 -1.25076140402539 -1.25076140402539 4.95993818611672 -1.25076140402539 -1.25076140402539 6.54520870887172 4.85395498465308 4.10215602476909 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.58923952379836
"ENSMUSG00000015709" -1.25076140402539 7.21831941092755 7.14734844046966 6.77597353210825 6.73467836139304 2.23364933536486 7.86680889410581 9.06421692009326 7.37554738326369 -1.25076140402539 7.94707771547477 -1.25076140402539 7.79182834747303 7.60059735768387 5.72924401081717 8.2653032336262 2.3581705666797 5.14761545601649 4.58401070006726 8.51559930303918 7.15063590403466 8.48809338242553 -1.25076140402539 -1.25076140402539 6.09135923882396 6.99078186998487 3.68138355605597 -1.25076140402539 6.45841113449845 7.179449203878 6.78736958633824 5.00493238158014 4.96362408988755 -1.25076140402539 5.94482655439289 -1.25076140402539 -1.25076140402539 3.54881245732305 -1.25076140402539 5.05388929540852 5.77207878950548 6.45389496912505 -1.25076140402539 -1.25076140402539 7.66013816973528 3.92370715958619 7.41534088715915 7.82862325930961 5.29789287425648 6.23176943565123 3.26216911813817 7.88746275829835 7.08219180598057 7.01209565573685 8.65112986328335 -1.25076140402539 6.54692074354261 4.48131862380893 7.86200701193182 3.70944053908118 8.02349431071535 6.50851529254144 8.12836121008342 -1.25076140402539 -1.25076140402539 7.01091571805638 5.52414393523943 4.71767399429441 5.65744237992424 8.31779524182314 7.61232363766237 6.29062535819322
"ENSMUSG00000055116" 6.18223465947684 5.96459671740812 -1.25076140402539 6.52178680022302 5.71745913967232 -1.25076140402539 6.40425898646488 5.22692079795239 5.14124609446112 -1.25076140402539 6.29164872616887 6.63654583648804 2.11601583223374 2.29989601240736 3.82266685087024 -1.25076140402539 5.45811004471158 3.59645965873717 4.17737450531429 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 7.05767937890356 6.63943102186581 4.07471352326846 7.04107374434286 5.16478041341435 7.48388062089822 5.08194081874721 4.17076807380905 5.44751126671258 5.94482655439289 -1.25076140402539 4.16435923367369 4.01936184649046 6.68431456718912 5.05388929540852 -1.25076140402539 2.39699327909758 -1.25076140402539 7.80751697134953 -1.25076140402539 6.6964073035094 4.79228596581215 -1.25076140402539 6.02868082755836 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.53134911402471 5.02072014703673 -1.25076140402539 6.69602846067496 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 7.14624646354327 -1.25076140402539 -1.25076140402539 5.63734887323419 -1.25076140402539 5.9742124545736 -1.25076140402539 8.18673164890059 -1.25076140402539 -1.25076140402539
"ENSMUSG00000040187" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.1898019421505 -1.25076140402539 6.61431851558144 -1.25076140402539 -1.25076140402539 5.1950102452 -1.25076140402539 -1.25076140402539 2.12416235155737 -1.25076140402539 -1.25076140402539 6.09099245786835 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.05041462816556 -1.25076140402539 -1.25076140402539 3.68138355605597 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.93559757119794 -1.25076140402539 -1.25076140402539 2.30256915122607 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.74779584530544 -1.25076140402539 3.50179378206948 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.81175660872708 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 1.44137531174995 1.94114440355335 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 1.55184850687803
"ENSMUSG00000020052" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.33878767476516 -1.25076140402539 4.9976627791833 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 1.49489729911827 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.46146902749278 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000009248" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000035951" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.68391355562823 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000085111" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 2.23364933536486 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.59620405767323 -1.25076140402539 -1.25076140402539 3.85562852665908 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 1.8577796430704 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.92976115934776 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
