"SSF339.A10_R" "SSF339.A11_R" "SSF339.A12_R" "SSF339.A1_R" "SSF339.A2_R" "SSF339.A3_R" "SSF339.A5_R" "SSF339.A6_R" "SSF339.A7_R" "SSF339.A8_R" "SSF339.B11_R" "SSF339.B12_R" "SSF339.B1_R" "SSF339.B2_R" "SSF339.B3_R" "SSF339.B4_R" "SSF339.B5_R" "SSF339.B7_R" "SSF339.B8_R" "SSF339.B9_R" "SSF339.C11_R" "SSF339.C12_R" "SSF339.C1_R" "SSF339.C4_R" "SSF339.C5_R" "SSF339.C6_R" "SSF339.C7_R" "SSF339.C9_R" "SSF339.D10_R" "SSF339.D12_R" "SSF339.D1_R" "SSF339.D4_R" "SSF339.D5_R" "SSF339.D6_R" "SSF339.D7_R" "SSF339.D9_R" "SSF339.E11_R" "SSF339.E12_R" "SSF339.E3_R" "SSF339.E4_R" "SSF339.E5_R" "SSF339.E7_R" "SSF339.F10_R" "SSF339.F12_R" "SSF339.F3_R" "SSF339.F4_R" "SSF339.F5_R" "SSF339.F6_R" "SSF339.F7_R" "SSF339.F8_R" "SSF339.F9_R" "SSF339.G10_R" "SSF339.G11_R" "SSF339.G1_R" "SSF339.G2_R" "SSF339.G3_R" "SSF339.G4_R" "SSF339.G5_R" "SSF339.G6_R" "SSF339.G7_R" "SSF339.G8_R" "SSF339.G9_R" "SSF339.H10_R" "SSF339.H11_R" "SSF339.H12_R" "SSF339.H1_R" "SSF339.H2_R" "SSF339.H4_R" "SSF339.H5_R" "SSF339.H6_R" "SSF339.H7_R" "SSF339.H9_R"
"ENSMUSG00000037872" -1.25076140402539 3.95022590605668 5.80601922776543 6.13441807483856 2.45194543745983 5.57086286132366 2.42700343600884 5.51348110410925 4.66267440732449 3.54551921615483 5.49533127179188 -1.25076140402539 5.30624317322454 -1.25076140402539 -1.25076140402539 4.70185389503408 1.47181805126277 2.89252667943969 2.65791723530542 5.71814965564573 -1.25076140402539 6.23811814286304 2.46748944127603 -1.25076140402539 6.82476383393438 -1.25076140402539 3.68138355605597 -1.25076140402539 4.4789468114618 3.81305956916728 1.1532500242405 5.52962585708032 -1.25076140402539 5.54612044814252 4.34069567210681 4.92964954304886 5.94735885807624 6.35149661272732 -1.25076140402539 -1.25076140402539 6.16175235763975 5.98706715640698 -1.25076140402539 5.85012193844159 7.66298624331142 -1.25076140402539 5.9939081106011 4.2118012383623 -1.25076140402539 -1.25076140402539 5.66274367211846 -1.25076140402539 -1.25076140402539 6.58162388139737 6.68589522446425 -1.25076140402539 3.90344393833423 -1.25076140402539 4.34211666305998 -1.25076140402539 6.36630232581166 5.51515882671602 -1.25076140402539 -1.25076140402539 -1.25076140402539 1.94993878409048 5.72405839609163 5.47862640542259 2.92041428007692 -1.25076140402539 7.268025280555 5.58923952379836
"ENSMUSG00000044534" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000044337" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.69419900064014 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.47011155095541 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.93360178709183
"ENSMUSG00000079355" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.79800028134892 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.3522539394715 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 4.4789468114618 -1.25076140402539 3.70571785335093 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000042429" 5.01219888652271 5.2484272132124 -1.25076140402539 5.1228034123911 7.69713334463377 8.97838444710126 6.70774951961322 3.8212221035198 -1.25076140402539 6.12583862887718 6.56041599751052 6.37472959281657 4.17284663940543 1.41804123804228 5.52932338451767 -1.25076140402539 7.18149616697061 6.47826326736159 5.03653194734607 -1.25076140402539 -1.25076140402539 4.0960330715083 7.16507203936686 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.64549945034084 4.29195693648012 5.46528889021392 5.78034139454878 6.28519269995963 5.99546090062953 7.22821972723943 4.81777906244699 6.22547552076298 -1.25076140402539 3.59620405767323 5.19082250543653 3.91190261769111 -1.25076140402539 4.5936274023739 -1.25076140402539 4.75381716457866 6.49837180800874 7.27337936371149 6.61187264878917 6.60834326286151 5.27689169100527 0.0960926580130153 3.94175350008867 6.59289025388025 5.23808859043716 6.14181743190335 6.88852838909901 4.51412860767237 -1.25076140402539 4.65219928772567 7.07732381545712 5.08882802532975 -1.25076140402539 -1.25076140402539 6.69214057980043 6.38058058033874 5.31637139772978 -1.25076140402539 8.46735288095505 5.87179688257734 5.93882961553404 5.87811784850418 8.66419196683176 -1.25076140402539 7.35474021663991
"ENSMUSG00000020178" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000018500" -1.25076140402539 3.76317301056563 -1.25076140402539 -1.25076140402539 5.62203823232494 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 6.91465262468037 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.67970879700342 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000000562" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 1.1532500242405 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000074344" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.2104988699478 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539
"ENSMUSG00000045875" -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 3.61330112112429 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 6.19159635910671 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 5.24425119842673 5.10064798817569 -1.25076140402539 -1.25076140402539 2.55434456392447 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 1.828263836472 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 -1.25076140402539 6.44317249149238 -1.25076140402539 -1.25076140402539
