"SSF339-A10_R" "SSF339-A11_R" "SSF339-A12_R" "SSF339-A1_R" "SSF339-A2_R" "SSF339-A3_R" "SSF339-A5_R" "SSF339-A6_R" "SSF339-A7_R" "SSF339-A8_R" "SSF339-B11_R" "SSF339-B12_R" "SSF339-B1_R" "SSF339-B2_R" "SSF339-B3_R" "SSF339-B4_R" "SSF339-B5_R" "SSF339-B7_R" "SSF339-B8_R" "SSF339-B9_R" "SSF339-C11_R" "SSF339-C12_R" "SSF339-C1_R" "SSF339-C2_R" "SSF339-C4_R" "SSF339-C5_R" "SSF339-C6_R" "SSF339-C7_R" "SSF339-C9_R" "SSF339-D10_R" "SSF339-D12_R" "SSF339-D1_R" "SSF339-D4_R" "SSF339-D5_R" "SSF339-D6_R" "SSF339-D7_R" "SSF339-D8_R" "SSF339-D9_R" "SSF339-E11_R" "SSF339-E12_R" "SSF339-E3_R" "SSF339-E4_R" "SSF339-E5_R" "SSF339-E7_R" "SSF339-F10_R" "SSF339-F12_R" "SSF339-F3_R" "SSF339-F4_R" "SSF339-F5_R" "SSF339-F6_R" "SSF339-F7_R" "SSF339-F8_R" "SSF339-F9_R" "SSF339-G10_R" "SSF339-G11_R" "SSF339-G1_R" "SSF339-G2_R" "SSF339-G3_R" "SSF339-G4_R" "SSF339-G5_R" "SSF339-G6_R" "SSF339-G7_R" "SSF339-G8_R" "SSF339-G9_R" "SSF339-H10_R" "SSF339-H11_R" "SSF339-H12_R" "SSF339-H1_R" "SSF339-H2_R" "SSF339-H4_R" "SSF339-H5_R" "SSF339-H6_R" "SSF339-H7_R" "SSF339-H9_R"
"ENSMUSG00000019256" -2.07808000077209 -2.07808000077209 -2.07808000077209 4.43584880120448 -2.07808000077209 5.1726012246234 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.61753823693609 -2.07808000077209 2.79264404738504 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.49332791280094 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.72331675047909 -2.07808000077209 -2.07808000077209 6.06573137008419 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.72426721629059 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.79085965094702 -2.07808000077209 2.92273146409328 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.11131063577791
"ENSMUSG00000021575" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -0.301079205514342 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.68350094173262 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000015522" 4.92366175706724 2.50177228173542 7.87572007253597 3.48729446338114 6.36080692377462 -2.07808000077209 5.76581611975384 2.70784781125088 1.58969002755488 -2.07808000077209 4.07950464968542 6.11378684410685 2.42885028228191 0.507590284725508 1.38809458242672 5.36194483804182 5.0368126691614 5.03615118161028 6.16782027445629 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 6.93199482833305 -2.07808000077209 5.21955444510179 4.65096800053282 -2.07808000077209 -2.07808000077209 3.77838089806627 3.29124666178626 4.62683720220881 2.75317016586634 2.600545820682 3.92114935819197 -2.07808000077209 -2.07808000077209 3.23333027322893 5.07492874482456 -2.07808000077209 4.17353115648749 -2.07808000077209 -2.07808000077209 2.35842609918817 0.826660780729415 3.05854809183011 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.96401542816871 5.28346698174691 -2.07808000077209 4.58153432880649 -2.07808000077209 5.59356322388639 4.34580721217895 -2.07808000077209 -2.07808000077209 4.13442338006484 -2.07808000077209 2.69762282309182 -2.07808000077209 -2.07808000077209 5.47781168139965 -2.07808000077209 -2.07808000077209 6.13899866084696 4.14134855738882 4.08344376436393 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.36025541697583
"ENSMUSG00000015709" -2.07808000077209 7.54631482158365 6.96140110298893 6.78871836677786 6.72630168792985 3.46847370364809 7.8843520844836 8.83523799800834 7.30650667879132 -2.07808000077209 7.74579572539429 -2.07808000077209 8.01776480733649 7.32364747959087 5.61580015148689 8.05803921010723 1.70240988380515 5.08824665926008 3.47785075290791 8.63561117498288 6.82895839090158 8.68069653086346 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.71871472388865 7.74033292757905 4.24045662648177 -2.07808000077209 5.5290335252652 7.09205311600768 6.12332195783063 4.84725268655699 5.37281464693662 -2.07808000077209 6.34887126338602 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.06186960733254 5.29092932434787 5.16403274603795 5.91347891179023 6.46658853113181 -2.07808000077209 -2.07808000077209 7.8351331814542 4.63536093796711 7.40313457253469 7.9588427127119 5.19048479854006 6.3750054401251 2.66323258748351 7.90648743307354 7.24032014994256 7.05299239007849 8.84558702185398 -2.07808000077209 6.35784110064659 2.84138612528355 8.05503295259137 4.13073324953436 8.12245184428565 6.96715016617254 8.05637084016265 -2.07808000077209 -2.07808000077209 7.11732608741305 5.64575501130117 4.21293467095253 6.1067228609582 8.95646751184844 7.96547394667524 6.17767110823528
"ENSMUSG00000055116" 5.90800787091235 5.90529290727207 -2.07808000077209 6.53913114099591 5.34757197097748 -2.07808000077209 6.43186438601538 4.7547550300642 5.85242188019183 -2.07808000077209 6.08884280449933 6.52759037900472 2.28388036987685 0.507590284725508 4.65718620463941 -2.07808000077209 5.81671260497076 3.62078621881626 4.56093721982977 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 7.06705468928608 6.44857600162676 5.53976279511015 7.33109335057954 4.61526835130865 7.29052147173883 5.32928416351042 3.72760577382148 5.25251336201525 6.12056675416526 -2.07808000077209 -2.07808000077209 4.57352528595919 2.4081408991727 6.40169953672372 4.86666996210686 -2.07808000077209 -2.07808000077209 -2.07808000077209 7.92506612450398 -2.07808000077209 7.15643948009274 5.0571849969381 -2.07808000077209 5.88843738314257 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.7540378348938 4.82021848802995 -2.07808000077209 6.58351210171013 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 7.5452036648615 -2.07808000077209 -2.07808000077209 5.55009276012787 -2.07808000077209 5.94318012676093 -2.07808000077209 8.3503082395467 -2.07808000077209 -2.07808000077209
"ENSMUSG00000040187" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.92517660744922 -2.07808000077209 6.3158265163842 -2.07808000077209 -2.07808000077209 4.9836085211798 -2.07808000077209 -2.07808000077209 2.38493266346732 -2.07808000077209 -2.07808000077209 5.77503416805454 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.01622993149589 -2.07808000077209 -2.07808000077209 3.66450399862917 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.600545820682 3.07698925990094 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.10221636005881 -2.07808000077209 -2.07808000077209 -2.07808000077209 6.34493885733637 -2.07808000077209 4.80210325132489 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.9979612722639 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 0.565545893976063 1.39956927140953 0.0465938181645235 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.07122097134818
"ENSMUSG00000020052" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.00405421293846 -2.07808000077209 5.11258804275697 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.28949364153153 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.5504985893939 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000009248" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000035951" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.79357029907201 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000085111" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.13852288267654 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.45296968431328 -2.07808000077209 5.29092932434787 4.49166738816144 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.90645207508281 -2.07808000077209 -2.07808000077209 1.41836514800164 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.74894655644881 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
