"SSF339-A10_R" "SSF339-A11_R" "SSF339-A12_R" "SSF339-A1_R" "SSF339-A2_R" "SSF339-A3_R" "SSF339-A5_R" "SSF339-A6_R" "SSF339-A7_R" "SSF339-A8_R" "SSF339-B11_R" "SSF339-B12_R" "SSF339-B1_R" "SSF339-B2_R" "SSF339-B3_R" "SSF339-B4_R" "SSF339-B5_R" "SSF339-B7_R" "SSF339-B8_R" "SSF339-B9_R" "SSF339-C11_R" "SSF339-C12_R" "SSF339-C1_R" "SSF339-C2_R" "SSF339-C4_R" "SSF339-C5_R" "SSF339-C6_R" "SSF339-C7_R" "SSF339-C9_R" "SSF339-D10_R" "SSF339-D12_R" "SSF339-D1_R" "SSF339-D4_R" "SSF339-D5_R" "SSF339-D6_R" "SSF339-D7_R" "SSF339-D8_R" "SSF339-D9_R" "SSF339-E11_R" "SSF339-E12_R" "SSF339-E3_R" "SSF339-E4_R" "SSF339-E5_R" "SSF339-E7_R" "SSF339-F10_R" "SSF339-F12_R" "SSF339-F3_R" "SSF339-F4_R" "SSF339-F5_R" "SSF339-F6_R" "SSF339-F7_R" "SSF339-F8_R" "SSF339-F9_R" "SSF339-G10_R" "SSF339-G11_R" "SSF339-G1_R" "SSF339-G2_R" "SSF339-G3_R" "SSF339-G4_R" "SSF339-G5_R" "SSF339-G6_R" "SSF339-G7_R" "SSF339-G8_R" "SSF339-G9_R" "SSF339-H10_R" "SSF339-H11_R" "SSF339-H12_R" "SSF339-H1_R" "SSF339-H2_R" "SSF339-H4_R" "SSF339-H5_R" "SSF339-H6_R" "SSF339-H7_R" "SSF339-H9_R"
"ENSMUSG00000031075" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 0.389729261120842 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.83806335389158 7.14359604886697 6.85191236437784 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.87374365059184 5.69212535490111 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.99168832782614 -2.07808000077209 -2.07808000077209 5.25251336201525 -2.07808000077209 -2.07808000077209 3.72763787158222 -2.07808000077209 -2.07808000077209 7.74320266597588 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.71209923170512 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.98775139428855 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 6.30732469127692
"ENSMUSG00000037949" -2.07808000077209 -2.07808000077209 -2.07808000077209 6.55606124856016 5.54353718711413 4.74958925241098 4.91771277072149 5.24855871288601 5.43358038041493 -2.07808000077209 5.29734890703596 5.22492478827258 3.08292883361427 -2.07808000077209 6.38464167760217 4.01731624870396 3.62143968997797 5.23411574564496 4.65314162659567 6.62467193496175 5.7777434662201 -2.07808000077209 3.88535062163104 6.6888172636481 -2.07808000077209 -2.07808000077209 5.21955444510179 2.69120084914047 -2.07808000077209 -2.07808000077209 5.5262310320564 -2.07808000077209 5.20718262886613 5.03397492982882 6.13292231270542 5.1099785627965 -2.07808000077209 -2.07808000077209 3.01698039373189 4.35903669230542 5.5120744443763 6.40643246096101 -2.07808000077209 6.25773870012633 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 7.47120499461141 6.27041956324852 7.09161920149585 -2.07808000077209 5.34430248520059 -2.07808000077209 -2.07808000077209 6.05783359893164 -2.07808000077209 3.12488923022521 6.7733150072707 5.54524501696708 6.84949155058553 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.97760709907457 4.14134855738882 4.93000909492997 6.02295604334456 -2.07808000077209 -2.07808000077209 4.70609992819388
"ENSMUSG00000038115" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 0.664765283695221 -2.07808000077209 -2.07808000077209 5.03397492982882 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000074968" -2.07808000077209 4.04594652541727 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.35287027717164 -2.07808000077209 3.31359271424868 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -0.250934741531085 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.53641416177323 -2.07808000077209 5.2318698170728 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.38956108010513 -2.07808000077209 -2.07808000077209 2.27711228016046 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -0.729069723322151 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 0.0912337267780577 -2.07808000077209 -2.07808000077209 4.63952227675729 -2.07808000077209 2.92078484432118 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.89204447390621 -2.07808000077209 -2.07808000077209
"ENSMUSG00000035189" -0.610259813761571 7.79218865716847 -2.07808000077209 2.37205637480296 5.31215782912875 0.0977260798421838 5.17113558389723 1.75921807234821 6.54121916441935 2.17954350591444 7.64995659315507 7.33335722300829 6.4036247255332 -2.07808000077209 4.17716571783797 5.36194483804182 7.28489906691447 7.75620988942134 6.81246616088705 5.54448042626615 3.11115645649142 -2.07808000077209 4.29459630811126 6.6888172636481 -2.07808000077209 5.28627152944199 6.93896760442471 5.45248267564127 -2.07808000077209 5.84948095100654 -2.07808000077209 5.19813894557388 7.00333717788757 4.45421740851182 6.50105631045206 6.56877737747431 -2.07808000077209 0.620949446912196 6.00920308393934 3.94953848249901 7.34317494413193 7.134185600465 -2.07808000077209 5.71919853884078 7.53997566419888 7.49214264708679 -2.07808000077209 2.86197206406777 4.14575327969492 7.11675968759217 5.92370288586673 -2.07808000077209 6.73042253913099 6.53025246634447 -2.07808000077209 -2.07808000077209 5.7825847228592 -2.07808000077209 6.61791631809927 8.54201801184574 5.86065863829918 -0.726172961053215 -2.07808000077209 3.64155998033164 4.07549622872831 4.48058040891924 -2.07808000077209 -2.07808000077209 -2.07808000077209 6.08526178383723 5.35946237447548 -2.07808000077209 -2.07808000077209 6.75197713353017
"ENSMUSG00000055489" -2.07808000077209 4.45580344462365 -2.07808000077209 2.37205637480296 0.291791305568922 -2.07808000077209 3.16081210709346 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.27362165303286 6.25419035369618 4.26931253113634 3.59517799313414 -2.07808000077209 -2.07808000077209 3.62143968997797 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 6.28188709490499 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.53641416177323 -2.07808000077209 -2.07808000077209 1.42429224662657 -2.07808000077209 2.20416504726994 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.72331675047909 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.07586326876753 4.31181101409344 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 0.540847581762129 -2.07808000077209 5.6100411659681 -2.07808000077209 3.63958871700158 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.26470718310187 3.791049486636 -2.07808000077209 -2.07808000077209 3.64256881100537
"ENSMUSG00000064210" -2.07808000077209 5.41167233028858 7.76758053295029 6.10532864723466 4.74925197802748 -2.07808000077209 -2.07808000077209 5.49506645679909 -2.07808000077209 7.27421170956821 5.16492296234321 6.78074951259705 6.24621171261308 -2.07808000077209 7.26471443506617 5.05079964313894 -2.07808000077209 5.08824665926008 -2.07808000077209 1.06641975170182 -2.07808000077209 -2.07808000077209 4.104436283342 -2.07808000077209 7.14107001535937 -2.07808000077209 5.51739433317658 5.9647131137571 -2.07808000077209 6.11152739915583 3.91361898271163 -2.07808000077209 6.35408981599591 -2.07808000077209 5.35878822038572 5.28571430651795 -2.07808000077209 -2.07808000077209 8.13858455299948 7.87356864184145 7.34317494413193 3.50677540787888 7.52109515513971 -2.07808000077209 6.39381578687214 6.08435473809359 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.74940826075339 -2.07808000077209 4.86950762551401 2.16986759805677 -2.07808000077209 4.34312192120009 -2.07808000077209 -2.07808000077209 6.21931136186354 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.94402208396261 6.12675382538631 7.93432212664115 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.04040529396559
"ENSMUSG00000034107" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.34626284254087 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.35501933923421 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.62778957785069 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000034863" -2.07808000077209 2.1948473034255 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 0.0340868628640759 -2.07808000077209 -2.07808000077209 -0.301079205514342 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 0.843675582938539 -2.07808000077209 -2.07808000077209 5.59946505328953 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.7056801790663 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.92178389989909 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.8860908208893 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.86192189000676 -2.07808000077209 -2.07808000077209 6.73065757466173 -2.07808000077209 -2.07808000077209 -2.07808000077209 -0.729069723322151 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.63256646949292 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.56535383962867
"ENSMUSG00000054662" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
