"SSF339-A10_R" "SSF339-A11_R" "SSF339-A12_R" "SSF339-A1_R" "SSF339-A2_R" "SSF339-A3_R" "SSF339-A5_R" "SSF339-A6_R" "SSF339-A7_R" "SSF339-A8_R" "SSF339-B11_R" "SSF339-B12_R" "SSF339-B1_R" "SSF339-B2_R" "SSF339-B3_R" "SSF339-B4_R" "SSF339-B5_R" "SSF339-B7_R" "SSF339-B8_R" "SSF339-B9_R" "SSF339-C11_R" "SSF339-C12_R" "SSF339-C1_R" "SSF339-C2_R" "SSF339-C4_R" "SSF339-C5_R" "SSF339-C6_R" "SSF339-C7_R" "SSF339-C9_R" "SSF339-D10_R" "SSF339-D12_R" "SSF339-D1_R" "SSF339-D4_R" "SSF339-D5_R" "SSF339-D6_R" "SSF339-D7_R" "SSF339-D8_R" "SSF339-D9_R" "SSF339-E11_R" "SSF339-E12_R" "SSF339-E3_R" "SSF339-E4_R" "SSF339-E5_R" "SSF339-E7_R" "SSF339-F10_R" "SSF339-F12_R" "SSF339-F3_R" "SSF339-F4_R" "SSF339-F5_R" "SSF339-F6_R" "SSF339-F7_R" "SSF339-F8_R" "SSF339-F9_R" "SSF339-G10_R" "SSF339-G11_R" "SSF339-G1_R" "SSF339-G2_R" "SSF339-G3_R" "SSF339-G4_R" "SSF339-G5_R" "SSF339-G6_R" "SSF339-G7_R" "SSF339-G8_R" "SSF339-G9_R" "SSF339-H10_R" "SSF339-H11_R" "SSF339-H12_R" "SSF339-H1_R" "SSF339-H2_R" "SSF339-H4_R" "SSF339-H5_R" "SSF339-H6_R" "SSF339-H7_R" "SSF339-H9_R"
"ENSMUSG00000037872" -2.07808000077209 4.59189084830178 5.96414019891035 5.39066800577347 2.37113475947792 5.65054045950798 2.59482633997119 5.54456266129705 4.94204621244784 3.14133050970356 5.45689870099143 -2.07808000077209 5.22114535216507 -2.07808000077209 -2.07808000077209 4.59522829768465 1.03379053790087 2.64829665978059 -2.07808000077209 5.2243813574263 -2.07808000077209 4.34626284254087 1.41159391039411 7.27267537948292 -2.07808000077209 6.28188709490499 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.55106311650056 3.27443999667657 -2.07808000077209 4.7630829886266 -2.07808000077209 6.22009872907743 4.67736707942259 -2.07808000077209 4.81811260942121 6.43752035302271 6.94200668481086 -2.07808000077209 1.30033276854524 5.55252752317356 5.84418884097835 -2.07808000077209 6.37887783249028 7.665976133598 -2.07808000077209 5.87937031552137 4.17602685050335 -2.07808000077209 -2.07808000077209 5.4903499806611 -2.07808000077209 -2.07808000077209 6.60237435503661 6.87239290774415 -2.07808000077209 1.73242211231858 -2.07808000077209 4.30734327582742 -2.07808000077209 6.46294666875048 5.00312486161839 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.98775139428855 5.50026202964139 5.43364435613973 3.2183757882072 -2.07808000077209 7.2658883408653 5.45284486040683
"ENSMUSG00000044534" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000044337" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.57849767579523 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.4039157923588 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.26131375514516
"ENSMUSG00000079355" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.06665055451689 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 4.64277358501559 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.55106311650056 -2.07808000077209 3.90690675939437 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000042429" 4.68650269928598 5.79680559215523 -2.07808000077209 5.4642613113633 7.65572484628498 8.99488961026996 6.72358894171022 4.62271272498649 -2.07808000077209 5.72326960656109 6.20580753050296 6.55500123681483 4.38045778486964 0.507590284725508 5.74948176426045 -2.07808000077209 7.21042600151084 6.38343579925635 3.83358977409255 -2.07808000077209 -2.07808000077209 3.62045259968949 6.67275033143227 6.10550975673247 -2.07808000077209 -2.07808000077209 -2.07808000077209 6.1017192043316 4.18211150921457 5.5290335252652 4.61526835130865 6.10523665088103 5.97826722847291 7.40403863802907 5.07680419370119 5.97425140730962 -2.07808000077209 -2.07808000077209 3.995719836762 4.67763097587677 6.02439975374881 -2.07808000077209 5.27031630358908 3.60357971478695 4.92044781588296 6.40527539466049 7.15733912056165 6.8395467105324 6.4104507132464 5.32474925038501 -0.0443059688038432 5.28346698174691 6.53478204703039 5.72566737068462 6.01963848120044 6.90127516251144 4.58422788632211 -2.07808000077209 4.84712201685217 6.60378038837366 5.07275954744663 -2.07808000077209 -2.07808000077209 7.10183590475955 6.72129357273224 5.79329641546042 -2.07808000077209 8.23693715653684 5.72975939286285 5.96172460972231 5.83924779776291 8.9004002180294 -2.07808000077209 7.31753115710784
"ENSMUSG00000020178" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000018500" -2.07808000077209 2.75471722330415 -2.07808000077209 -2.07808000077209 5.7160392460817 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 6.66844989596021 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.07000977053046 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000000562" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 1.50696972556378 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000074344" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.69331473985899 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209
"ENSMUSG00000045875" -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 2.38493266346732 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.5216133990976 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.62086299888018 4.45398798664412 -2.07808000077209 -2.07808000077209 1.72697142637475 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 3.81735078174903 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 -2.07808000077209 5.83402603351896 -2.07808000077209 -2.07808000077209
