chr pos counts norm sample
chrM 7296 2 9.8391901121952 con1-ready
chrM 7297 2 9.8391901121952 con1-ready
chrM 7298 13 63.9547357292688 con1-ready
chrM 7299 20 98.391901121952 con1-ready
chrM 7300 25 122.98987640244 con1-ready
chrM 7301 42 206.622992356099 con1-ready
chrM 7302 52 255.818942917075 con1-ready
chrM 7303 63 309.934488534149 con1-ready
chrM 7304 69 339.452058870735 con1-ready
chrM 7305 94 462.441935273175 con1-ready
chrM 7306 100 491.95950560976 con1-ready
chrM 7307 100 491.95950560976 con1-ready
chrM 7308 106 521.477075946346 con1-ready
chrM 7309 106 521.477075946346 con1-ready
chrM 7310 107 526.396671002443 con1-ready
chrM 7311 107 526.396671002443 con1-ready
chrM 7312 113 555.914241339029 con1-ready
chrM 7313 187 919.964275490252 con1-ready
chrM 7314 194 954.401440882935 con1-ready
chrM 7315 203 998.677796387813 con1-ready
chrM 7316 238 1170.86362335123 con1-ready
chrM 7317 301 1480.79811188538 con1-ready
chrM 7318 301 1480.79811188538 con1-ready
chrM 7319 304 1495.55689705367 con1-ready
chrM 7320 320 1574.27041795123 con1-ready
chrM 7321 326 1603.78798828782 con1-ready
chrM 7322 334 1643.1447487366 con1-ready
chrM 7323 338 1662.82312896099 con1-ready
chrM 7324 364 1790.73260041953 con1-ready
chrM 7325 364 1790.73260041953 con1-ready
chrM 7326 367 1805.49138558782 con1-ready
chrM 7327 367 1805.49138558782 con1-ready
chrM 7328 371 1825.16976581221 con1-ready
chrM 7329 371 1825.16976581221 con1-ready
chrM 7330 372 1830.08936086831 con1-ready
chrM 7331 393 1933.40085704636 con1-ready
chrM 7332 394 1938.32045210246 con1-ready
chrM 7333 416 2046.5515433366 con1-ready
chrM 7334 416 2046.5515433366 con1-ready
chrM 7335 417 2051.4711383927 con1-ready
chrM 7336 418 2056.3907334488 con1-ready
chrM 7337 418 2056.3907334488 con1-ready
chrM 7338 418 2056.3907334488 con1-ready
chrM 7339 423 2080.98870872929 con1-ready
chrM 7340 426 2095.74749389758 con1-ready
chrM 7341 427 2100.66708895368 con1-ready
chrM 7342 427 2100.66708895368 con1-ready
chrM 7343 427 2100.66708895368 con1-ready
chrM 7344 427 2100.66708895368 con1-ready
chrM 7345 427 2100.66708895368 con1-ready
chrM 7346 426 2095.74749389758 con1-ready
chrM 7347 438 2154.78263457075 con1-ready
chrM 7348 423 2080.98870872929 con1-ready
chrM 7349 420 2066.22992356099 con1-ready
chrM 7350 423 2080.98870872929 con1-ready
chrM 7351 440 2164.62182468294 con1-ready
chrM 7352 439 2159.70222962685 con1-ready
chrM 7353 436 2144.94344445855 con1-ready
chrM 7354 414 2036.71235322441 con1-ready
chrM 7355 418 2056.3907334488 con1-ready
chrM 7356 421 2071.14951861709 con1-ready
chrM 7357 423 2080.98870872929 con1-ready
chrM 7358 427 2100.66708895368 con1-ready
chrM 7359 426 2095.74749389758 con1-ready
chrM 7360 396 1948.15964221465 con1-ready
chrM 7361 401 1972.75761749514 con1-ready
chrM 7362 387 1903.88328670977 con1-ready
chrM 7363 357 1756.29543502684 con1-ready
chrM 7364 342 1682.50150918538 con1-ready
chrM 7365 355 1746.45624491465 con1-ready
chrM 7366 313 1539.83325255855 con1-ready
chrM 7367 265 1303.69268986586 con1-ready
chrM 7368 243 1195.46159863172 con1-ready
chrM 7369 240 1180.70281346342 con1-ready
chrM 7370 228 1121.66767279025 con1-ready
chrM 7371 216 1062.63253211708 con1-ready
chrM 7372 218 1072.47172222928 con1-ready
chrM 7373 213 1047.87374694879 con1-ready
chrM 7374 213 1047.87374694879 con1-ready
chrM 7375 212 1042.95415189269 con1-ready
chrM 7376 282 1387.32580581952 con1-ready
chrM 7377 295 1451.28054154879 con1-ready
chrM 7378 294 1446.36094649269 con1-ready
chrM 7379 304 1495.55689705367 con1-ready
chrM 7380 304 1495.55689705367 con1-ready
chrM 7381 288 1416.84337615611 con1-ready
chrM 7382 290 1426.6825662683 con1-ready
chrM 7383 286 1407.00418604391 con1-ready
chrM 7384 287 1411.92378110001 con1-ready
chrM 7385 286 1407.00418604391 con1-ready
chrM 7386 287 1411.92378110001 con1-ready
chrM 7387 288 1416.84337615611 con1-ready
chrM 7388 283 1392.24540087562 con1-ready
chrM 7389 283 1392.24540087562 con1-ready
chrM 7390 281 1382.40621076343 con1-ready
chrM 7391 285 1402.08459098782 con1-ready
chrM 7392 285 1402.08459098782 con1-ready
chrM 7393 285 1402.08459098782 con1-ready
chrM 7394 287 1411.92378110001 con1-ready
chrM 7395 332 1633.3055586244 con1-ready
chrM 7396 350 1721.85826963416 con1-ready
chrM 7397 346 1702.17988940977 con1-ready
chrM 7398 346 1702.17988940977 con1-ready
chrM 7399 345 1697.26029435367 con1-ready
chrM 7400 330 1623.46636851221 con1-ready
chrM 7401 306 1505.39608716587 con1-ready
chrM 7402 296 1456.20013660489 con1-ready
chrM 7403 286 1407.00418604391 con1-ready
chrM 7404 289 1421.76297121221 con1-ready
chrM 7405 277 1362.72783053904 con1-ready
chrM 7406 278 1367.64742559513 con1-ready
chrM 7407 268 1318.45147503416 con1-ready
chrM 7408 278 1367.64742559513 con1-ready
chrM 7409 278 1367.64742559513 con1-ready
chrM 7410 278 1367.64742559513 con1-ready
chrM 7411 281 1382.40621076343 con1-ready
chrM 7412 279 1372.56702065123 con1-ready
chrM 7413 275 1352.88864042684 con1-ready
chrM 7414 274 1347.96904537074 con1-ready
chrM 7415 259 1274.17511952928 con1-ready
chrM 7416 254 1249.57714424879 con1-ready
chrM 7417 259 1274.17511952928 con1-ready
chrM 7418 265 1303.69268986586 con1-ready
chrM 7419 265 1303.69268986586 con1-ready
chrM 7420 270 1328.29066514635 con1-ready
chrM 7421 282 1387.32580581952 con1-ready
chrM 7422 271 1333.21026020245 con1-ready
chrM 7423 226 1111.82848267806 con1-ready
chrM 7424 226 1111.82848267806 con1-ready
chrM 7425 226 1111.82848267806 con1-ready
chrM 7426 204 1003.59739144391 con1-ready
chrM 7427 190 934.723060658544 con1-ready
chrM 7428 189 929.803465602447 con1-ready
chrM 7429 176 865.848729873178 con1-ready
chrM 7430 164 806.813589200007 con1-ready
chrM 7431 162 796.974399087811 con1-ready
chrM 7432 157 772.376423807323 con1-ready
chrM 7433 156 767.456828751226 con1-ready
chrM 7434 158 777.296018863421 con1-ready
chrM 7435 157 772.376423807323 con1-ready
chrM 7436 153 752.698043582933 con1-ready
chrM 7437 153 752.698043582933 con1-ready
chrM 7438 152 747.778448526836 con1-ready
chrM 7439 152 747.778448526836 con1-ready
chrM 7440 152 747.778448526836 con1-ready
chrM 7441 149 733.019663358543 con1-ready
chrM 7442 152 747.778448526836 con1-ready
chrM 7443 153 752.698043582933 con1-ready
chrM 7444 151 742.858853470738 con1-ready
chrM 7445 105 516.557480890248 con1-ready
chrM 7446 88 432.924364936589 con1-ready
chrM 7447 81 398.487199543906 con1-ready
chrM 7448 80 393.567604487808 con1-ready
chrM 7449 80 393.567604487808 con1-ready
chrM 7450 80 393.567604487808 con1-ready
chrM 7451 80 393.567604487808 con1-ready
chrM 7452 82 403.406794600003 con1-ready
chrM 7453 92 452.602745160979 con1-ready
chrM 7454 89 437.843959992687 con1-ready
chrM 7455 86 423.085174824394 con1-ready
chrM 7456 85 418.165579768296 con1-ready
chrM 7457 85 418.165579768296 con1-ready
chrM 7458 75 368.96962920732 con1-ready
chrM 7459 76 373.889224263418 con1-ready
chrM 7460 67 329.612868758539 con1-ready
chrM 7461 67 329.612868758539 con1-ready
chrM 7462 67 329.612868758539 con1-ready
chrM 7463 67 329.612868758539 con1-ready
chrM 7464 67 329.612868758539 con1-ready
chrM 7465 67 329.612868758539 con1-ready
chrM 7466 67 329.612868758539 con1-ready
chrM 7467 61 300.095298421954 con1-ready
chrM 7468 56 275.497323141466 con1-ready
chrM 7469 56 275.497323141466 con1-ready
chrM 7470 51 250.899347860978 con1-ready
chrM 7471 39 191.864207187806 con1-ready
chrM 7472 34 167.266231907318 con1-ready
chrM 7473 34 167.266231907318 con1-ready
chrM 7474 34 167.266231907318 con1-ready
chrM 7475 34 167.266231907318 con1-ready
chrM 7476 34 167.266231907318 con1-ready
chrM 7477 33 162.346636851221 con1-ready
chrM 7478 33 162.346636851221 con1-ready
chrM 7479 33 162.346636851221 con1-ready
