"","Summed.126.0","Summed.127.0","Summed.128.0","Summed.129.0","Summed.130.0","Summed.131.0","Summed.126.1","Summed.127.1","Summed.128.1","Summed.129.1","Summed.130.1","Summed.131.1","Summed.126.2","Summed.127.2","Summed.128.2","Summed.129.2","Summed.130.2","Summed.131.2"
"['0610010K14Rik']_S62: Phospho",7.2240016741981,7.79766152585376,7.21431912080077,7.62570884306447,7.35314682549808,7.44708322620965,7.2045711442492,7.29920801838728,7.2240016741981,7.7515440590891,7.58120058192496,7.61838550225861,7.27146302790437,7.48784003382305,7.16490692667569,7.51175265376738,7.70390357344466,7.51963625284321
"['1110004F10Rik']_S17: Phospho",5.8703647195834,5.53915881110803,5.4093909361377,5.8703647195834,5.76818432477693,4.49185309632967,5.4757334309664,5.10852445677817,5.71424551766612,5.33985000288462,5.79441586635011,5.53915881110803,5.65821148275179,4.93073733756289,5.3037807481771,5.68650052718322,5.68650052718322,5.65821148275179
"['1110037F02Rik']_S1628: Phospho",14.2885416907938,14.1784703416911,14.2546964874283,14.0478481459344,14.0080346284899,13.9633928400384,14.2528501920126,14.2925013832466,14.1303694594944,14.192793663301,14.0107466265153,13.8614262096839,14.3375870605981,14.1088102885521,14.0369891916757,14.1488340339102,14.0176348849915,14.0815250472952
"['1110037F02Rik']_S173: Phospho",9.44811630540946,8.63843591399047,8.71938882094208,8.01959072835788,8.78626962764847,8.47370574961942,8.89026427702111,8.64205169292798,8.83447104998422,8.22641219278879,8.89026427702111,8.61654884377899,8.97297978606629,8.56033283421244,8.62021982550749,8.40726776424473,8.85953478638265,8.65999589242998
"['1110037F02Rik']_S222: Phospho",9.01541505238669,9.05934446082443,8.24079133216196,8.67065624911844,8.54109661534952,8.60177078840771,8.98441845880114,7.58120058192496,7.94544383637791,9.51865315567339,9.6008421143873,8.50977500432694,9.43567026093655,7.3264294871223,8.62021982550749,8.81538329581354,10.0437108633472,7.85486838326024
"['1200014J11Rik', 'LOC100048824']_S25: Phospho",3.52356195605701,3.64385618977472,3.52356195605701,2.90689059560852,3.75488750216347,2.70043971814109,3.52356195605701,3.64385618977472,3.24792751344359,2.90689059560852,3.24792751344359,3.24792751344359,3.24792751344359,3.52356195605701,3.64385618977472,3.08746284125034,3.08746284125034,3.39231742277876
"['1200014J11Rik']_S439: Phospho",9.99929538702341,10.6781599575428,9.76404221730659,10.5191447879974,10.3157156580222,10.5550683913333,10.0613711926598,9.83368074865474,9.9091430473399,10.624338545313,10.6631133084558,10.7435721889356,9.97513145692134,9.95492329203032,10.0518886559054,10.6142497276894,10.7368246990989,10.4923539451599
"['1200014J11Rik']_S495: Phospho",12.9825480096514,12.9793358726654,12.8347673014054,13.0582454577809,13.0269556330029,12.9979733094276,12.909049265363,13.022627890854,12.994618613781,13.023147905893,12.9049168114081,13.0243605458883,13.0271284729505,13.1272689233037,13.0324762665027,12.920073669146,12.9352571492584,12.8448038235481
"['1200014J11Rik']_S563: Phospho",5.8703647195834,3.75488750216347,5.76818432477693,6.11894107272351,4.6724253419715,5.3037807481771,5.4093909361377,4.97727992349992,5.37503943134692,5.22881869049588,5.37503943134692,5.06608919045777,5.37503943134692,4.4262647547021,5.2667865406949,5.5077946401987,5.33985000288462,5.5077946401987
"['1300001I01Rik']_S1338: Phospho",9.61930295541569,10.1978309980122,9.54978466794786,9.92258440271366,10.2064039139738,10.2354159356025,9.08613622502731,9.32080054888164,9.2252074369435,10.5985178106126,10.7527987584355,10.7594721212028,9.01262453886506,9.14338321398982,9.29347164883813,10.8229690904533,10.8443134612033,10.5910547740368
"['1500009L16Rik']_S28: Phospho",6.57742882803575,5.96578428466209,6.31288295528436,3.24792751344359,3.75488750216347,3.64385618977472,6.19967234483636,5.65821148275179,6.4178525148859,3.52356195605701,4.20945336562895,3.39231742277876,5.62935662007961,5.44294349584873,5.59991284218713,3.95419631038688,4.20945336562895,4.55458885167764
"['1700017B05Rik']_S912: Phospho",12.9685768019254,13.1084427801546,12.8958592495189,12.1187788901545,12.0922616248439,12.2193198018591,12.8258531886244,12.9363618867568,13.1510958405298,12.2489652636077,12.2016644887114,12.0401184507648,12.9979733094276,12.8385145633586,12.8988847595935,12.3516294332418,11.9867308981756,12.316705791429
"['1700054N08Rik']_S222: Phospho",7.57364718749332,7.43879185257826,6.86418614465428,6.66533591718518,6.63662462054365,6.4178525148859,7.37068740680722,7.42206476617281,7.18487534290828,6.38370429247405,6.62205181945638,6.60733031374961,7.38801728534513,7.27146302790437,7.08214904135387,6.63662462054365,6.56224242422107,6.65105169117893
"['1700081L11Rik', 'LOC100043982']_S1013: Phospho",4.55458885167764,4.04439411935845,4.93073733756289,4.88264304936184,4.28540221886225,4.12928301694497,4.55458885167764,4.61470984411521,4.28540221886225,4.6724253419715,4.28540221886225,4.49185309632967,4.35755200461808,4.7279204545632,4.49185309632967,4.4262647547021,4.55458885167764,4.35755200461808
"['1810008A18Rik']_S38: Phospho",11.0101784040205,10.8388099857086,10.827739648807,11.4586629328678,11.403810931786,11.32108251801,10.9480021309777,11.2862689626798,11.2446611447642,11.2200759709843,11.1519678709682,11.0038692319791,10.9545598469998,11.403810931786,11.2559137493378,10.9996477365284,11.1166688559671,11.1526017440192
"['2010007H12Rik']_S85: Phospho",11.6117164609439,11.8515538584298,11.7123120417803,12.2138636527493,11.914198242455,12.1750816748283,11.8456860559771,12.1989054025819,11.8786257298054,12.0061507281703,11.8203784363237,11.7264310561142,11.8608929823388,12.1044349505508,12.0148922420744,11.8995457449954,12.0360018529199,11.5809651359773
"['2210009G21Rik']_S309: Phospho",7.09275714091985,8.01402047031493,7.60362634498619,7.81057163474115,6.98299357469431,7.2807707701306,7.43045255166553,7.54303182025524,7.67595703294175,7.61838550225861,7.00562454919388,7.49585502688717,7.66177809777199,7.79766152585376,7.7515440590891,7.1548181090521,7.27146302790437,7.1548181090521
"['2310014H01Rik']_S134: Phospho",9.140829770773,8.69870466677034,9.12799432097639,10.2755425560867,9.01262453886506,9.57648434679685,9.53430288245463,9.21067134378562,9.46862404291802,9.10197567094923,9.10197567094923,9.39339045744399,9.21067134378562,9.14338321398982,9.23481743111732,9.32080054888164,9.31628153174622,9.60455322907904
