chr pos counts norm sample
chrM 795 1 0.772327698117961 c1-ready
chrM 796 1 0.772327698117961 c1-ready
chrM 797 1 0.772327698117961 c1-ready
chrM 798 1 0.772327698117961 c1-ready
chrM 799 1 0.772327698117961 c1-ready
chrM 800 1 0.772327698117961 c1-ready
chrM 801 1 0.772327698117961 c1-ready
chrM 802 1 0.772327698117961 c1-ready
chrM 803 1 0.772327698117961 c1-ready
chrM 804 1 0.772327698117961 c1-ready
chrM 805 1 0.772327698117961 c1-ready
chrM 806 1 0.772327698117961 c1-ready
chrM 807 1 0.772327698117961 c1-ready
chrM 808 2 1.54465539623592 c1-ready
chrM 809 2 1.54465539623592 c1-ready
chrM 810 2 1.54465539623592 c1-ready
chrM 811 2 1.54465539623592 c1-ready
chrM 812 2 1.54465539623592 c1-ready
chrM 813 2 1.54465539623592 c1-ready
chrM 814 2 1.54465539623592 c1-ready
chrM 815 2 1.54465539623592 c1-ready
chrM 816 2 1.54465539623592 c1-ready
chrM 817 2 1.54465539623592 c1-ready
chrM 818 2 1.54465539623592 c1-ready
chrM 819 2 1.54465539623592 c1-ready
chrM 820 2 1.54465539623592 c1-ready
chrM 821 2 1.54465539623592 c1-ready
chrM 822 2 1.54465539623592 c1-ready
chrM 823 2 1.54465539623592 c1-ready
chrM 824 2 1.54465539623592 c1-ready
chrM 825 2 1.54465539623592 c1-ready
chrM 826 2 1.54465539623592 c1-ready
chrM 827 2 1.54465539623592 c1-ready
chrM 828 2 1.54465539623592 c1-ready
chrM 829 2 1.54465539623592 c1-ready
chrM 830 0 0 c1-ready
chrM 831 0 0 c1-ready
chrM 832 0 0 c1-ready
chrM 833 0 0 c1-ready
chrM 834 0 0 c1-ready
chrM 835 0 0 c1-ready
chrM 836 0 0 c1-ready
chrM 837 0 0 c1-ready
chrM 838 0 0 c1-ready
chrM 839 0 0 c1-ready
chrM 840 0 0 c1-ready
chrM 841 0 0 c1-ready
chrM 842 0 0 c1-ready
chrM 843 0 0 c1-ready
chrM 844 0 0 c1-ready
chrM 845 0 0 c1-ready
chrM 846 0 0 c1-ready
chrM 847 0 0 c1-ready
