"id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"entrezgene"	"description"	"xloc"
"ENSMUST00000024791"	4209.25385426117	-4.51204187502835	0.216630758755238	-20.828260497053	2.40021226900158e-96	3.43014335363016e-92	"Trem2"	"83433"	"triggering receptor expressed on myeloid cells 2"	"XLOC_014257"
"ENSMUST00000151405"	25321.5852188996	-4.10561873704569	0.202704002798006	-20.2542558626084	3.25835983228979e-91	2.32826101816267e-87	"Lgals3"	"16854"	"lectin, galactose binding, soluble 3"	"XLOC_010039"
"ENSMUST00000021506"	3080.32179536993	-3.71629219077889	0.184046208856105	-20.1921692050959	1.14715591927934e-90	5.46466841414036e-87	"Serpina3n"	"20716"	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"	"XLOC_007399"
"ENSMUST00000029900"	9275.00542322753	-5.10673442652823	0.253909696161433	-20.1124041489201	5.74697084777624e-90	2.05324900963926e-86	"Atp6v0d2"	"242341"	"ATPase, H+ transporting, lysosomal V0 subunit D2"	"XLOC_023767"
"ENSMUST00000003981"	1588.83057931753	-4.08879891777753	0.204607859709704	-19.9835867672859	7.65234382889867e-89	2.18719291317582e-85	"Il7r"	"16197"	"interleukin 7 receptor"	"XLOC_011954"
"ENSMUST00000025582"	2788.22836193159	-3.13718887956377	0.170288463399707	-18.4227916379752	8.62389021743517e-76	2.05406691828943e-72	"Ms4a6d"	"68774"	"membrane-spanning 4-domains, subfamily A, member 6D"	"XLOC_016726"
"ENSMUST00000155802"	4609.71119540531	-3.39959192398145	0.186261021235373	-18.251762507441	2.00340234038449e-74	4.0900889780621e-71	"Cd84"	"12523"	"CD84 antigen"	"XLOC_001142"
"ENSMUST00000156647"	2891.6000280673	-3.87837519304574	0.228646822353507	-16.9622964934516	1.5612152000885e-64	2.78891580305809e-61	"Adam8"	"11501"	"a disintegrin and metallopeptidase domain 8"	"XLOC_032255"
"ENSMUST00000185421"	453.931432130441	-3.03532499651251	0.187473868352194	-16.1906564535717	5.86989967495159e-59	9.32074847274814e-56	"Gpr35"	"64095"	"G protein-coupled receptor 35"	"XLOC_000662"
"ENSMUST00000139380"	1340.08147044309	-3.04535462025689	0.190680597122045	-15.9709727482535	2.03585942950145e-57	2.90944671070052e-54	"Tlr13"	"279572"	"toll-like receptor 13"	"XLOC_036996"
"ENSMUST00000115068"	1986.70391821832	-3.29931447273925	0.208156516070135	-15.8501618639101	1.40219236413655e-56	1.82170282507958e-53	"Slc37a2"	"56857"	"solute carrier family 37 (glycerol-3-phosphate transporter), member 2"	"XLOC_035083"
"ENSMUST00000015998"	26454.5241702379	-4.85712064296532	0.312790755341974	-15.5283382261571	2.2308618677814e-54	2.656770579372e-51	"Cd5l"	"11801"	"CD5 antigen-like"	"XLOC_020875"
"ENSMUST00000099126"	752.551832139269	-2.03675298332209	0.133280640475644	-15.2816866429622	1.01284964758708e-52	1.11343340874361e-49	"Mafb"	"16658"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"	"XLOC_020322"
"ENSMUST00000018918"	6591.66876613141	-3.40555080621973	0.223088283091674	-15.2654848521125	1.29859005110886e-52	1.32558217288548e-49	"Cd68"	"12514"	"CD68 antigen"	"XLOC_006102"
"ENSMUST00000165310"	1428.49651408423	-1.98393589655208	0.130894780804167	-15.1567227078386	6.8398175881459e-52	6.51652221014621e-49	"Ms4a6c"	"73656"	"membrane-spanning 4-domains, subfamily A, member 6C"	"XLOC_016215"
"ENSMUST00000112170"	752.629272055362	-2.60600856444498	0.172145514518914	-15.1384052714232	9.03787925644479e-52	8.07252077836578e-49	"Tlr8"	"170744"	"toll-like receptor 8"	"XLOC_038715"
"ENSMUST00000092163"	150880.16577819	-3.08542801403123	0.205775025407297	-14.9941811836696	8.01449689468954e-51	6.73736324247107e-48	"Lyz2"	"17105"	"lysozyme 2"	"XLOC_003944"
"ENSMUST00000114487"	810.2837896979	-3.60659877227552	0.242260130913783	-14.88729804063	3.98553381436537e-50	3.16429243006086e-47	"Il1rn"	"16181"	"interleukin 1 receptor antagonist"	"XLOC_017309"
"ENSMUST00000041874"	1541.26843215926	-3.01150209670437	0.209652687032552	-14.3642427832884	8.67496651855338e-47	6.5249445535077e-44	"Npl"	"74091"	"N-acetylneuraminate pyruvate lyase"	"XLOC_002235"
"ENSMUST00000150167"	27561.2512113081	-3.3815442270716	0.236033278577034	-14.3265570323719	1.49343022314609e-46	1.06713056594904e-43	"Mmp12"	"17381"	"matrix metallopeptidase 12"	"XLOC_033912"
