chr pos counts norm sample
chrM 15739 3 14.7587851682928 con1-ready
chrM 15740 3 14.7587851682928 con1-ready
chrM 15741 6 29.5175703365856 con1-ready
chrM 15742 16 78.7135208975616 con1-ready
chrM 15743 16 78.7135208975616 con1-ready
chrM 15744 16 78.7135208975616 con1-ready
chrM 15745 16 78.7135208975616 con1-ready
chrM 15746 32 157.427041795123 con1-ready
chrM 15747 33 162.346636851221 con1-ready
chrM 15748 33 162.346636851221 con1-ready
chrM 15749 34 167.266231907318 con1-ready
chrM 15750 34 167.266231907318 con1-ready
chrM 15751 34 167.266231907318 con1-ready
chrM 15752 34 167.266231907318 con1-ready
chrM 15753 50 245.97975280488 con1-ready
chrM 15754 50 245.97975280488 con1-ready
chrM 15755 54 265.658133029271 con1-ready
chrM 15756 54 265.658133029271 con1-ready
chrM 15757 54 265.658133029271 con1-ready
chrM 15758 54 265.658133029271 con1-ready
chrM 15759 58 285.336513253661 con1-ready
chrM 15760 59 290.256108309759 con1-ready
chrM 15761 59 290.256108309759 con1-ready
chrM 15762 59 290.256108309759 con1-ready
chrM 15763 59 290.256108309759 con1-ready
chrM 15764 78 383.728414375613 con1-ready
chrM 15765 78 383.728414375613 con1-ready
chrM 15766 80 393.567604487808 con1-ready
chrM 15767 122 600.190596843907 con1-ready
chrM 15768 124 610.029786956103 con1-ready
chrM 15769 124 610.029786956103 con1-ready
chrM 15770 124 610.029786956103 con1-ready
chrM 15771 141 693.662902909762 con1-ready
chrM 15772 146 718.26087819025 con1-ready
chrM 15773 146 718.26087819025 con1-ready
chrM 15774 148 728.100068302445 con1-ready
chrM 15775 148 728.100068302445 con1-ready
chrM 15776 148 728.100068302445 con1-ready
chrM 15777 148 728.100068302445 con1-ready
chrM 15778 149 733.019663358543 con1-ready
chrM 15779 149 733.019663358543 con1-ready
chrM 15780 149 733.019663358543 con1-ready
chrM 15781 149 733.019663358543 con1-ready
chrM 15782 149 733.019663358543 con1-ready
chrM 15783 174 856.009539760983 con1-ready
chrM 15784 174 856.009539760983 con1-ready
chrM 15785 174 856.009539760983 con1-ready
chrM 15786 174 856.009539760983 con1-ready
chrM 15787 174 856.009539760983 con1-ready
chrM 15788 174 856.009539760983 con1-ready
chrM 15789 171 841.25075459269 con1-ready
chrM 15790 219 1077.39131728537 con1-ready
chrM 15791 208 1023.2757716683 con1-ready
chrM 15792 205 1008.51698650001 con1-ready
chrM 15793 206 1013.43658155611 con1-ready
chrM 15794 215 1057.71293706098 con1-ready
chrM 15795 205 1008.51698650001 con1-ready
chrM 15796 205 1008.51698650001 con1-ready
chrM 15797 206 1013.43658155611 con1-ready
chrM 15798 206 1013.43658155611 con1-ready
chrM 15799 205 1008.51698650001 con1-ready
chrM 15800 214 1052.79334200489 con1-ready
chrM 15801 221 1087.23050739757 con1-ready
chrM 15802 218 1072.47172222928 con1-ready
chrM 15803 205 1008.51698650001 con1-ready
chrM 15804 201 988.838606275618 con1-ready
chrM 15805 201 988.838606275618 con1-ready
chrM 15806 201 988.838606275618 con1-ready
chrM 15807 203 998.677796387813 con1-ready
chrM 15808 202 993.758201331716 con1-ready
chrM 15809 203 998.677796387813 con1-ready
chrM 15810 216 1062.63253211708 con1-ready
chrM 15811 216 1062.63253211708 con1-ready
chrM 15812 222 1092.15010245367 con1-ready
chrM 15813 221 1087.23050739757 con1-ready
chrM 15814 209 1028.1953667244 con1-ready
chrM 15815 224 1101.98929256586 con1-ready
chrM 15816 200 983.91901121952 con1-ready
chrM 15817 178 875.687919985373 con1-ready
chrM 15818 178 875.687919985373 con1-ready
chrM 15819 180 885.527110097568 con1-ready
chrM 15820 176 865.848729873178 con1-ready
chrM 15821 175 860.92913481708 con1-ready
chrM 15822 171 841.25075459269 con1-ready
chrM 15823 171 841.25075459269 con1-ready
chrM 15824 169 831.411564480495 con1-ready
chrM 15825 180 885.527110097568 con1-ready
chrM 15826 182 895.366300209763 con1-ready
chrM 15827 182 895.366300209763 con1-ready
chrM 15828 182 895.366300209763 con1-ready
chrM 15829 182 895.366300209763 con1-ready
chrM 15830 182 895.366300209763 con1-ready
chrM 15831 182 895.366300209763 con1-ready
chrM 15832 228 1121.66767279025 con1-ready
chrM 15833 207 1018.3561766122 con1-ready
chrM 15834 207 1018.3561766122 con1-ready
chrM 15835 214 1052.79334200489 con1-ready
chrM 15836 280 1377.48661570733 con1-ready
chrM 15837 311 1529.99406244635 con1-ready
chrM 15838 329 1618.54677345611 con1-ready
chrM 15839 341 1677.58191412928 con1-ready
chrM 15840 294 1446.36094649269 con1-ready
chrM 15841 294 1446.36094649269 con1-ready
chrM 15842 314 1544.75284761465 con1-ready
chrM 15843 305 1500.47649210977 con1-ready
chrM 15844 300 1475.87851682928 con1-ready
chrM 15845 299 1470.95892177318 con1-ready
chrM 15846 299 1470.95892177318 con1-ready
chrM 15847 299 1470.95892177318 con1-ready
chrM 15848 299 1470.95892177318 con1-ready
chrM 15849 304 1495.55689705367 con1-ready
chrM 15850 288 1416.84337615611 con1-ready
chrM 15851 288 1416.84337615611 con1-ready
chrM 15852 288 1416.84337615611 con1-ready
chrM 15853 288 1416.84337615611 con1-ready
chrM 15854 288 1416.84337615611 con1-ready
chrM 15855 310 1525.07446739026 con1-ready
chrM 15856 314 1544.75284761465 con1-ready
chrM 15857 311 1529.99406244635 con1-ready
chrM 15858 307 1510.31568222196 con1-ready
chrM 15859 309 1520.15487233416 con1-ready
chrM 15860 315 1549.67244267074 con1-ready
chrM 15861 315 1549.67244267074 con1-ready
chrM 15862 308 1515.23527727806 con1-ready
chrM 15863 305 1500.47649210977 con1-ready
chrM 15864 303 1490.63730199757 con1-ready
chrM 15865 288 1416.84337615611 con1-ready
chrM 15866 289 1421.76297121221 con1-ready
chrM 15867 293 1441.4413514366 con1-ready
chrM 15868 294 1446.36094649269 con1-ready
chrM 15869 285 1402.08459098782 con1-ready
chrM 15870 272 1338.12985525855 con1-ready
chrM 15871 272 1338.12985525855 con1-ready
chrM 15872 279 1372.56702065123 con1-ready
chrM 15873 289 1421.76297121221 con1-ready
chrM 15874 289 1421.76297121221 con1-ready
chrM 15875 271 1333.21026020245 con1-ready
chrM 15876 290 1426.6825662683 con1-ready
chrM 15877 290 1426.6825662683 con1-ready
chrM 15878 291 1431.6021613244 con1-ready
chrM 15879 291 1431.6021613244 con1-ready
chrM 15880 309 1520.15487233416 con1-ready
chrM 15881 308 1515.23527727806 con1-ready
chrM 15882 273 1343.04945031465 con1-ready
chrM 15883 263 1293.85349975367 con1-ready
chrM 15884 265 1303.69268986586 con1-ready
chrM 15885 284 1397.16499593172 con1-ready
chrM 15886 222 1092.15010245367 con1-ready
chrM 15887 184 905.205490321959 con1-ready
chrM 15888 201 988.838606275618 con1-ready
chrM 15889 192 944.56225077074 con1-ready
chrM 15890 221 1087.23050739757 con1-ready
chrM 15891 235 1156.10483818294 con1-ready
chrM 15892 213 1047.87374694879 con1-ready
chrM 15893 246 1210.22038380001 con1-ready
chrM 15894 248 1220.05957391221 con1-ready
chrM 15895 262 1288.93390469757 con1-ready
chrM 15896 262 1288.93390469757 con1-ready
chrM 15897 262 1288.93390469757 con1-ready
chrM 15898 257 1264.33592941708 con1-ready
chrM 15899 257 1264.33592941708 con1-ready
chrM 15900 290 1426.6825662683 con1-ready
chrM 15901 291 1431.6021613244 con1-ready
chrM 15902 291 1431.6021613244 con1-ready
chrM 15903 291 1431.6021613244 con1-ready
chrM 15904 293 1441.4413514366 con1-ready
chrM 15905 266 1308.61228492196 con1-ready
chrM 15906 266 1308.61228492196 con1-ready
chrM 15907 266 1308.61228492196 con1-ready
chrM 15908 264 1298.77309480977 con1-ready
chrM 15909 246 1210.22038380001 con1-ready
chrM 15910 246 1210.22038380001 con1-ready
chrM 15911 246 1210.22038380001 con1-ready
chrM 15912 246 1210.22038380001 con1-ready
chrM 15913 246 1210.22038380001 con1-ready
chrM 15914 245 1205.30078874391 con1-ready
chrM 15915 245 1205.30078874391 con1-ready
chrM 15916 240 1180.70281346342 con1-ready
chrM 15917 240 1180.70281346342 con1-ready
chrM 15918 230 1131.50686290245 con1-ready
chrM 15919 229 1126.58726784635 con1-ready
chrM 15920 229 1126.58726784635 con1-ready
chrM 15921 219 1077.39131728537 con1-ready
chrM 15922 218 1072.47172222928 con1-ready
chrM 15923 218 1072.47172222928 con1-ready
chrM 15924 218 1072.47172222928 con1-ready
chrM 15925 218 1072.47172222928 con1-ready
chrM 15926 196 964.24063099513 con1-ready
chrM 15927 196 964.24063099513 con1-ready
chrM 15928 196 964.24063099513 con1-ready
chrM 15929 177 870.768324929276 con1-ready
chrM 15930 177 870.768324929276 con1-ready
chrM 15931 158 777.296018863421 con1-ready
chrM 15932 146 718.26087819025 con1-ready
chrM 15933 146 718.26087819025 con1-ready
chrM 15934 146 718.26087819025 con1-ready
chrM 15935 193 949.481845826837 con1-ready
chrM 15936 190 934.723060658544 con1-ready
chrM 15937 178 875.687919985373 con1-ready
chrM 15938 178 875.687919985373 con1-ready
chrM 15939 175 860.92913481708 con1-ready
chrM 15940 146 718.26087819025 con1-ready
chrM 15941 169 831.411564480495 con1-ready
chrM 15942 135 664.145332573176 con1-ready
chrM 15943 133 654.306142460981 con1-ready
chrM 15944 85 418.165579768296 con1-ready
chrM 15945 85 418.165579768296 con1-ready
chrM 15946 85 418.165579768296 con1-ready
chrM 15947 85 418.165579768296 con1-ready
chrM 15948 85 418.165579768296 con1-ready
chrM 15949 85 418.165579768296 con1-ready
chrM 15950 85 418.165579768296 con1-ready
chrM 15951 85 418.165579768296 con1-ready
chrM 15952 85 418.165579768296 con1-ready
chrM 15953 85 418.165579768296 con1-ready
chrM 15954 85 418.165579768296 con1-ready
chrM 15955 85 418.165579768296 con1-ready
chrM 15956 85 418.165579768296 con1-ready
chrM 15957 87 428.004769880491 con1-ready
chrM 15958 87 428.004769880491 con1-ready
chrM 15959 87 428.004769880491 con1-ready
chrM 15960 87 428.004769880491 con1-ready
chrM 15961 88 432.924364936589 con1-ready
chrM 15962 85 418.165579768296 con1-ready
chrM 15963 87 428.004769880491 con1-ready
chrM 15964 90 442.763555048784 con1-ready
chrM 15965 95 467.361530329272 con1-ready
chrM 15966 95 467.361530329272 con1-ready
chrM 15967 106 521.477075946346 con1-ready
chrM 15968 106 521.477075946346 con1-ready
chrM 15969 124 610.029786956103 con1-ready
chrM 15970 135 664.145332573176 con1-ready
chrM 15971 135 664.145332573176 con1-ready
chrM 15972 135 664.145332573176 con1-ready
chrM 15973 138 678.904117741469 con1-ready
chrM 15974 137 673.984522685371 con1-ready
chrM 15975 140 688.743307853664 con1-ready
chrM 15976 123 605.110191900005 con1-ready
chrM 15977 123 605.110191900005 con1-ready
chrM 15978 124 610.029786956103 con1-ready
chrM 15979 123 605.110191900005 con1-ready
chrM 15980 123 605.110191900005 con1-ready
chrM 15981 123 605.110191900005 con1-ready
chrM 15982 111 546.075051226834 con1-ready
chrM 15983 104 511.637885834151 con1-ready
chrM 15984 107 526.396671002443 con1-ready
chrM 15985 113 555.914241339029 con1-ready
