baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	description
ENSMUSG00000020713	34.1269456738714	5.11488045544358	0.449992941534874	11.3665793023271	6.13448337260892e-30	5.68359884472216e-26	Gh	growth hormone [Source:MGI Symbol;Acc:MGI:95707]
ENSMUSG00000006392	114.69898498929	0.943965482348052	0.184415672372427	5.1186836249021	3.07675585373384e-07	0.000950204766161468	Med8	mediator complex subunit 8 [Source:MGI Symbol;Acc:MGI:1915269]
ENSMUSG00000000884	21.9072332760715	2.23012600979074	0.43476537764446	5.12949311160301	2.90523401470316e-07	0.000950204766161468	Gnb1l	guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]
ENSMUSG00000014778	32.1096324927835	1.52206266354333	0.319319280492114	4.76658553532259	1.87374202900652e-06	0.00347204397974909	Fhod1	formin homology 2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2679008]
ENSMUSG00000015837	126.831325153548	0.818676391763873	0.170603142859605	4.79871811293411	1.59684348632426e-06	0.00347204397974909	Sqstm1	sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]
ENSMUSG00000032021	8.41306635854095	-2.75710796940823	0.585930412904871	-4.70552118252284	2.53218209948609e-06	0.00391011119195644	Crtam	cytotoxic and regulatory T cell molecule [Source:MGI Symbol;Acc:MGI:1859822]
ENSMUSG00000070394	86.8641879054371	0.938222768479146	0.205676080789954	4.56165230723792	5.07526407748167e-06	0.00671747452540967	Tmem256	transmembrane protein 256 [Source:MGI Symbol;Acc:MGI:1916436]
ENSMUSG00000027203	502.913249581269	0.582755270871294	0.129027257680193	4.51652837817968	6.28616962822872e-06	0.00728017020069239	Dut	deoxyuridine triphosphatase [Source:MGI Symbol;Acc:MGI:1346051]
ENSMUSG00000061894	15.1663331076524	-1.97776090620427	0.441847353211688	-4.47611803449399	7.60124715464932e-06	0.00778172862430596	Zscan20	zinc finger and SCAN domains 20 [Source:MGI Symbol;Acc:MGI:2679268]
ENSMUSG00000048076	166.2463431192	0.670673040279873	0.15124806496439	4.43425864944306	9.23896544709828e-06	0.00778172862430596	Arf1	ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]
ENSMUSG00000079104	14.0500927647321	-2.27833105619608	0.512125651429185	-4.4487735575009	8.63620056504035e-06	0.00778172862430596	Prps1l3	phosphoribosyl pyrophosphate synthetase 1-like 3 [Source:MGI Symbol;Acc:MGI:3779453]
ENSMUSG00000027411	97.500072788987	0.726238043209805	0.16625845060439	4.36812709711749	1.25316562688924e-05	0.00798831194812398	Vps16	vacuolar protein sorting 16 (yeast) [Source:MGI Symbol;Acc:MGI:2136772]
