id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	description
ENSMUSG00000035697	1048.2208380302	-3.55506614591132	0.105891432655723	-33.5727457524317	4.19334224701202e-247	4.09018602773552e-243	Hmha1	histocompatibility (minor) HA-1 [Source:MGI Symbol;Acc:MGI:1917969]
ENSMUSG00000049866	380.160277822354	-4.70410006828446	0.171298885692887	-27.4613582526054	5.08418129588378e-166	2.47955521800252e-162	Arl4c	ADP-ribosylation factor-like 4C [Source:MGI Symbol;Acc:MGI:2445172]
ENSMUSG00000056290	874.922557621514	-3.14776900819623	0.115192333348061	-27.3262023322772	2.07158948212568e-164	6.73542793621795e-161	Ms4a4b	membrane-spanning 4-domains, subfamily A, member 4B [Source:MGI Symbol;Acc:MGI:1913083]
ENSMUSG00000003882	407.014801644141	-6.26967517565096	0.23810210859236	-26.3318759028081	8.27853736008607e-153	2.01872133525699e-149	Il7r	interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562]
ENSMUSG00000026234	5293.93950383951	2.00466824302404	0.0763158336950887	26.2680514116305	4.4463468894605e-152	8.67393351195955e-149	Ncl	nucleolin [Source:MGI Symbol;Acc:MGI:97286]
ENSMUSG00000066621	392.03936469007	-3.82418224616382	0.145921116874267	-26.20718870634	2.20054105232393e-151	3.57734623739461e-148	Tecpr1	tectonin beta-propeller repeat containing 1 [Source:MGI Symbol;Acc:MGI:1917631]
ENSMUSG00000026581	292.444063708979	-4.80812817478812	0.193522322581306	-24.8453414089635	2.90374908949458e-136	4.04616694556145e-133	Sell	selectin, lymphocyte [Source:MGI Symbol;Acc:MGI:98279]
ENSMUSG00000017493	520.363472719992	-3.44457978389829	0.140544455002102	-24.5088273589078	1.18938981480569e-132	1.45016353170184e-129	Igfbp4	insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]
ENSMUSG00000025357	803.041053560566	-3.22686284602563	0.13232238887479	-24.3863708437054	2.38599311693916e-131	2.58588631806939e-128	Dgka	diacylglycerol kinase, alpha [Source:MGI Symbol;Acc:MGI:102952]
ENSMUSG00000061232	3149.73990943022	-2.0682851244717	0.0852151569165826	-24.2713291779342	3.93761241028442e-130	3.84074714499142e-127	H2-K1	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]
