"g" "mir"
"1" "WBGene00020774" "cel-miR-50-5p"
"2" "WBGene00015167" "cel-miR-1817"
"3" "WBGene00009067" "cel-miR-230-5p"
"4" "WBGene00044379" "cel-miR-230-5p"
"5" "WBGene00020167" "cel-miR-230-5p"
"6" "WBGene00004393" "cel-miR-230-5p"
"7" "WBGene00017265" "cel-miR-230-5p"
"8" "WBGene00006191" "cel-miR-230-5p"
"9" "WBGene00044472" "cel-miR-230-5p"
"10" "WBGene00001387" "cel-miR-230-5p"
"11" "WBGene00021310" "cel-miR-230-5p"
"12" "WBGene00015692" "cel-miR-230-5p"
"13" "WBGene00009964" "cel-miR-230-5p"
"14" "WBGene00019782" "cel-miR-230-5p"
"15" "WBGene00018601" "cel-miR-230-5p"
"16" "WBGene00010666" "cel-miR-230-5p"
"17" "WBGene00009430" "cel-miR-50-5p"
"18" "WBGene00009617" "cel-miR-50-5p"
"19" "WBGene00000273" "cel-miR-230-5p"
"20" "WBGene00008234" "cel-miR-230-5p"
"21" "WBGene00005000" "cel-miR-230-5p"
"22" "WBGene00001841" "cel-miR-230-5p"
"23" "WBGene00003968" "cel-let-7-5p"
"24" "WBGene00013515" "cel-miR-2208a-5p"
"25" "WBGene00001104" "cel-miR-230-5p"
"26" "WBGene00007281" "cel-let-7-5p"
"27" "WBGene00007324" "cel-miR-230-5p"
"28" "WBGene00003096" "cel-miR-230-5p"
"29" "WBGene00016097" "cel-miR-230-5p"
"30" "WBGene00020613" "cel-miR-230-5p"
"31" "WBGene00007660" "cel-let-7-5p"
"32" "WBGene00015610" "cel-miR-230-5p"
"33" "WBGene00007140" "cel-miR-1817"
"34" "WBGene00001726" "cel-miR-230-5p"
"35" "WBGene00017586" "cel-miR-230-5p"
"36" "WBGene00019782" "cel-let-7-5p"
"37" "WBGene00017128" "cel-miR-230-5p"
"38" "WBGene00016745" "cel-miR-230-5p"
"39" "WBGene00007642" "cel-miR-230-5p"
"40" "WBGene00011831" "cel-miR-230-5p"
"41" "WBGene00003533" "cel-miR-50-5p"
"42" "WBGene00020394" "cel-miR-2208a-5p"
"43" "WBGene00007452" "cel-miR-230-5p"
"44" "WBGene00012300" "cel-miR-230-5p"
