chr pos counts norm sample
chrM 15740 1 0.772327698117961 c1-ready
chrM 15741 2 1.54465539623592 c1-ready
chrM 15742 7 5.40629388682572 c1-ready
chrM 15743 9 6.95094928306165 c1-ready
chrM 15744 17 13.1295708680053 c1-ready
chrM 15745 19 14.6742262642413 c1-ready
chrM 15746 24 18.5358647548311 c1-ready
chrM 15747 26 20.080520151067 c1-ready
chrM 15748 28 21.6251755473029 c1-ready
chrM 15749 34 26.2591417360107 c1-ready
chrM 15750 39 30.1207802266005 c1-ready
chrM 15751 47 36.2994018115442 c1-ready
chrM 15752 50 38.616384905898 c1-ready
chrM 15753 56 43.2503510946058 c1-ready
chrM 15754 56 43.2503510946058 c1-ready
chrM 15755 58 44.7950064908417 c1-ready
chrM 15756 59 45.5673341889597 c1-ready
chrM 15757 60 46.3396618870776 c1-ready
chrM 15758 62 47.8843172833136 c1-ready
chrM 15759 64 49.4289726795495 c1-ready
chrM 15760 68 52.5182834720213 c1-ready
chrM 15761 82 63.3308712456728 c1-ready
chrM 15762 85 65.6478543400267 c1-ready
chrM 15763 95 73.3711313212063 c1-ready
chrM 15764 101 78.005097509914 c1-ready
chrM 15765 104 80.3220806042679 c1-ready
chrM 15766 104 80.3220806042679 c1-ready
chrM 15767 106 81.8667360005038 c1-ready
chrM 15768 114 88.0453575854475 c1-ready
chrM 15769 117 90.3623406798014 c1-ready
chrM 15770 122 94.2239791703912 c1-ready
chrM 15771 123 94.9963068685092 c1-ready
chrM 15772 131 101.174928453453 c1-ready
chrM 15773 139 107.353550038397 c1-ready
chrM 15774 146 112.759843925222 c1-ready
chrM 15775 151 116.621482415812 c1-ready
chrM 15776 157 121.25544860452 c1-ready
chrM 15777 164 126.661742491346 c1-ready
chrM 15778 165 127.434070189464 c1-ready
chrM 15779 167 128.978725585699 c1-ready
chrM 15780 170 131.295708680053 c1-ready
chrM 15781 176 135.929674868761 c1-ready
chrM 15782 184 142.108296453705 c1-ready
chrM 15783 186 143.652951849941 c1-ready
chrM 15784 190 146.742262642413 c1-ready
chrM 15785 191 147.514590340531 c1-ready
chrM 15786 199 153.693211925474 c1-ready
chrM 15787 206 159.0995058123 c1-ready
chrM 15788 220 169.912093585951 c1-ready
chrM 15789 228 176.090715170895 c1-ready
chrM 15790 229 176.863042869013 c1-ready
chrM 15791 232 179.180025963367 c1-ready
chrM 15792 236 182.269336755839 c1-ready
chrM 15793 240 185.358647548311 c1-ready
chrM 15794 237 183.041664453957 c1-ready
chrM 15795 250 193.08192452949 c1-ready
chrM 15796 249 192.309596831372 c1-ready
chrM 15797 255 196.94356302008 c1-ready
chrM 15798 262 202.349856906906 c1-ready
chrM 15799 259 200.032873812552 c1-ready
chrM 15800 258 199.260546114434 c1-ready
chrM 15801 253 195.398907623844 c1-ready
chrM 15802 249 192.309596831372 c1-ready
chrM 15803 249 192.309596831372 c1-ready
chrM 15804 249 192.309596831372 c1-ready
chrM 15805 253 195.398907623844 c1-ready
chrM 15806 255 196.94356302008 c1-ready
chrM 15807 256 197.715890718198 c1-ready
chrM 15808 263 203.122184605024 c1-ready
