baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	description
ENSMUSG00000006005	807.587438715425	-0.492929654354116	0.0791941775090904	-6.22431686088961	4.83658731162101e-10	5.8933816392102e-07	Tpr	translocated promoter region, nuclear basket protein [Source:MGI Symbol;Acc:MGI:1922066]
ENSMUSG00000075602	346.757415629862	0.814094978040243	0.129073081461828	6.30724058665169	2.84054112665976e-10	5.8933816392102e-07	Ly6a	lymphocyte antigen 6 complex, locus A [Source:MGI Symbol;Acc:MGI:107527]
ENSMUSG00000078920	670.472817389534	0.462973760547652	0.0780120280930982	5.93464587275116	2.94480410072928e-09	2.39216253115909e-06	Ifi47	interferon gamma inducible protein 47 [Source:MGI Symbol;Acc:MGI:99448]
ENSMUSG00000040225	703.534069789369	-0.455098899550673	0.079022859006907	-5.75907914836256	8.45740418230014e-09	5.15267349806636e-06	Prrc2c	proline-rich coiled-coil 2C [Source:MGI Symbol;Acc:MGI:1913754]
ENSMUSG00000035885	1130.7119652992	-0.361025188262435	0.064587808850683	-5.58968007564816	2.27488345248796e-08	1.10877819474263e-05	Cox8a	cytochrome c oxidase subunit VIIIa [Source:MGI Symbol;Acc:MGI:105959]
ENSMUSG00000028333	1611.49659687632	-0.330715616553656	0.0595946834360226	-5.54941477134774	2.86627438424693e-08	1.16418511240163e-05	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:MGI Symbol;Acc:MGI:1914878]
ENSMUSG00000018585	242.806547860449	0.542721617594637	0.0999701782523646	5.42883514946418	5.67230462818062e-08	1.97477233983945e-05	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast) [Source:MGI Symbol;Acc:MGI:1333855]
ENSMUSG00000068882	712.065500500197	-0.449874290834606	0.0839945074834803	-5.35599653254811	8.50861404173473e-08	2.29565557204069e-05	Ssb	Sjogren syndrome antigen B [Source:MGI Symbol;Acc:MGI:98423]
ENSMUSG00000092837	356.467344333797	-0.525193045327548	0.0983955162041159	-5.33757091367929	9.42000645072094e-08	2.29565557204069e-05	Rpph1	ribonuclease P RNA component H1 [Source:MGI Symbol;Acc:MGI:1934664]
ENSMUSG00000092341	6033.59874465466	-0.499646659556198	0.0931649861717842	-5.36303046978309	8.18371949081327e-08	2.29565557204069e-05	Malat1	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA) [Source:MGI Symbol;Acc:MGI:1919539]
ENSMUSG00000041515	554.558618337149	0.608073519335158	0.120527356990217	5.04510788687181	4.53265536898607e-07	0.000100418919401991	Irf8	interferon regulatory factor 8 [Source:MGI Symbol;Acc:MGI:96395]
ENSMUSG00000028341	226.058463164786	0.503871707404507	0.102601290535158	4.91096851488285	9.06276406776249e-07	0.000169891969485671	Nr4a3	nuclear receptor subfamily 4, group A, member 3 [Source:MGI Symbol;Acc:MGI:1352457]
ENSMUSG00000036751	1062.86759142812	-0.315240112408668	0.0641665142778882	-4.91284458812032	8.97644283574273e-07	0.000169891969485671	Cox6b1	cytochrome c oxidase, subunit VIb polypeptide 1 [Source:MGI Symbol;Acc:MGI:107460]
ENSMUSG00000010608	1574.47538545178	-0.265822469186367	0.0545425354417843	-4.8736727589441	1.09542386750984e-06	0.000190681997508677	Rbm25	RNA binding motif protein 25 [Source:MGI Symbol;Acc:MGI:1914289]
ENSMUSG00000078853	437.380337399797	0.611941835209454	0.129247960649895	4.73463435811628	2.19450358245535e-06	0.000334522089677297	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]
ENSMUSG00000021377	934.311547298568	-0.302776316470063	0.0639514766768461	-4.7344695103762	2.19628782717963e-06	0.000334522089677297	Dek	DEK oncogene (DNA binding) [Source:MGI Symbol;Acc:MGI:1926209]
ENSMUSG00000028270	387.849337313953	0.604297107431455	0.129164314215648	4.67851442638052	2.88960843076417e-06	0.00041423386739837	Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]
ENSMUSG00000024290	533.934528651124	-0.368743259079012	0.079593038504314	-4.63285817463829	3.60651619584159e-06	0.000488282220514776	Rock1	Rho-associated coiled-coil containing protein kinase 1 [Source:MGI Symbol;Acc:MGI:107927]
ENSMUSG00000024991	1107.53550193047	-0.324223355307922	0.0708997745308528	-4.57298147213195	4.80832672567374e-06	0.000616731170024574	Eif3a	eukaryotic translation initiation factor 3, subunit A [Source:MGI Symbol;Acc:MGI:95301]
ENSMUSG00000026104	462.924217187495	0.413483025318115	0.0907772780568793	4.55491764204512	5.24061065219449e-06	0.000638568407969898	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]
ENSMUSG00000064367	2640.83082824006	-0.276645183222865	0.0621523648057938	-4.45108056768704	8.54392767910643e-06	0.000991502464475351	mt-Nd5	mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]
ENSMUSG00000050856	547.465287395742	-0.337312913684621	0.0762917089687328	-4.42135742198231	9.80827748993189e-06	0.00108648964740745	Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E [Source:MGI Symbol;Acc:MGI:106636]
ENSMUSG00000037321	447.106121133495	0.387673116482508	0.0885976472472692	4.37565927005423	1.21066004113961e-05	0.00128277326967706	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]
ENSMUSG00000064337	14787.0249721435	-0.495403028309516	0.113620986077504	-4.36013667379713	1.29981233229387e-05	0.00131985110575006	mt-Rnr1	mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493]
ENSMUSG00000028312	788.490550397046	-0.309679160074253	0.0712646351389069	-4.34548159084286	1.3897042714274e-05	0.00135468372378743	Smc2	structural maintenance of chromosomes 2 [Source:MGI Symbol;Acc:MGI:106067]
ENSMUSG00000037475	547.080089504516	-0.359634545037696	0.0833849404584415	-4.3129435970148	1.61095226518667e-05	0.00145403358157775	Thoc2	THO complex 2 [Source:MGI Symbol;Acc:MGI:2442413]
ENSMUSG00000018899	329.863667128314	0.424169508524127	0.0982646333168074	4.31660399277729	1.58448049814661e-05	0.00145403358157775	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]
ENSMUSG00000024338	686.574743683428	0.320110420358775	0.0747154258445787	4.28439531382263	1.8323686051486e-05	0.00159481510383826	Psmb8	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7) [Source:MGI Symbol;Acc:MGI:1346527]
ENSMUSG00000020608	662.068125460927	-0.34652695120779	0.081172909945401	-4.2689975195034	1.96353452214636e-05	0.00165004607947265	Smc6	structural maintenance of chromosomes 6 [Source:MGI Symbol;Acc:MGI:1914491]
ENSMUSG00000031229	760.021645583521	-0.294417689007861	0.0695232382266068	-4.23480977753402	2.28745255439237e-05	0.00175739324658803	Atrx	alpha thalassemia/mental retardation syndrome X-linked homolog (human) [Source:MGI Symbol;Acc:MGI:103067]
ENSMUSG00000021413	330.56864730043	-0.384595194331366	0.0906521009459377	-4.24254033076108	2.21003808697542e-05	0.00175739324658803	Prpf4b	PRP4 pre-mRNA processing factor 4 homolog B (yeast) [Source:MGI Symbol;Acc:MGI:109584]
ENSMUSG00000022283	2177.78452633185	-0.242310981766043	0.0572455232502155	-4.23283722478911	2.30761526018945e-05	0.00175739324658803	Pabpc1	poly(A) binding protein, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:1349722]
ENSMUSG00000079363	230.401742303705	0.540224047943614	0.128479496638803	4.20474910064723	2.61371935214128e-05	0.00193019213974797	Gbp4	guanylate binding protein 4 [Source:MGI Symbol;Acc:MGI:97072]
ENSMUSG00000001403	190.471851832996	0.442695762912948	0.105617741096186	4.19149054238705	2.77127742481205e-05	0.00195926736711052	Ube2c	ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]
ENSMUSG00000039114	176.117562517428	-0.458327693670296	0.109437582428062	-4.18802831259157	2.81388419568602e-05	0.00195926736711052	Nrn1	neuritin 1 [Source:MGI Symbol;Acc:MGI:1915654]
ENSMUSG00000031155	394.226262046665	0.390310720198757	0.0936580587411728	4.16740134746326	3.08091776518169e-05	0.00208561016492994	Pim2	proviral integration site 2 [Source:MGI Symbol;Acc:MGI:97587]
ENSMUSG00000061232	2095.80833737232	0.2372675985759	0.0577380257721522	4.10938190911157	3.96719521014559e-05	0.00261298776408778	H2-K1	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]
ENSMUSG00000022587	807.653073115113	0.303725661397176	0.0742038088922067	4.09312764306193	4.25593280257023e-05	0.00272939690522728	Ly6e	lymphocyte antigen 6 complex, locus E [Source:MGI Symbol;Acc:MGI:106651]
ENSMUSG00000028282	223.949676423216	-0.425078904907088	0.105772109359472	-4.0188184530048	5.84907159471194e-05	0.00365491986572128	Casp8ap2	caspase 8 associated protein 2 [Source:MGI Symbol;Acc:MGI:1349399]
ENSMUSG00000041133	679.146893834266	-0.289168824188827	0.0738870729645393	-3.91365921786628	9.09079100844438e-05	0.005518074392142	Smc1a	structural maintenance of chromosomes 1A [Source:MGI Symbol;Acc:MGI:1344345]
ENSMUSG00000035569	523.448402627544	-0.32928594023005	0.084246706698825	-3.90859124508237	9.28358843158892e-05	0.005518074392142	Ankrd11	ankyrin repeat domain 11 [Source:MGI Symbol;Acc:MGI:1924337]
ENSMUSG00000029623	740.931597099455	-0.29447468611002	0.0758690826150876	-3.881352930073	0.000103876963432186	0.00602733714010087	Pdap1	PDGFA associated protein 1 [Source:MGI Symbol;Acc:MGI:2448536]
ENSMUSG00000027673	391.828232622956	-0.325147955311376	0.086314411671549	-3.76701814928261	0.000165208994762542	0.00926633244066638	Ndufb5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5 [Source:MGI Symbol;Acc:MGI:1913296]
ENSMUSG00000020919	184.618255892813	0.399799289415079	0.106220254341859	3.7638705715048	0.000167303499133903	0.00926633244066638	Stat5b	signal transducer and activator of transcription 5B [Source:MGI Symbol;Acc:MGI:103035]
ENSMUSG00000064339	27298.0816202324	-0.411178419698509	0.109496111244756	-3.75518742194784	0.00017321181225931	0.00938038192168752	mt-Rnr2	mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492]
ENSMUSG00000030663	322.211238443245	-0.344175598411282	0.0921085821524639	-3.73662899122235	0.000186503793741602	0.00988064663800618	1110004F10Rik	RIKEN cDNA 1110004F10 gene [Source:MGI Symbol;Acc:MGI:1929274]
ENSMUSG00000016252	905.832035193137	-0.251371509290306	0.0692193054891635	-3.63152313525681	0.000281753393383152	0.014609213184569	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:MGI Symbol;Acc:MGI:1855697]
ENSMUSG00000024498	617.119350768078	-0.280382984839852	0.0774438340913302	-3.62046879689859	0.000294069715285738	0.014930164503153	Tcerg1	transcription elongation regulator 1 (CA150) [Source:MGI Symbol;Acc:MGI:1926421]
ENSMUSG00000034349	1387.01113909324	-0.238110221571482	0.0659869976286986	-3.60844151314933	0.000308041938754794	0.0150139640949087	Smc4	structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349]
ENSMUSG00000024974	490.13107236195	-0.308330142465368	0.0853687343603382	-3.61174550349918	0.000304142967393243	0.0150139640949087	Smc3	structural maintenance of chromosomes 3 [Source:MGI Symbol;Acc:MGI:1339795]
ENSMUSG00000028656	211.772789583394	-0.365632012273708	0.10237730171763	-3.57141677050808	0.000355055381111637	0.0169660777209619	Cap1	CAP, adenylate cyclase-associated protein 1 (yeast) [Source:MGI Symbol;Acc:MGI:88262]
ENSMUSG00000036986	239.211201769828	0.348657047656687	0.0990244682713356	3.52091815026299	0.000430055340745873	0.0201547089499556	Pml	promyelocytic leukemia [Source:MGI Symbol;Acc:MGI:104662]
ENSMUSG00000072620	673.982977562358	-0.250166350672988	0.0715909054586342	-3.4943872978047	0.00047515117588107	0.0218479889740032	Slfn2	schlafen 2 [Source:MGI Symbol;Acc:MGI:1313258]
ENSMUSG00000063882	637.579051273157	-0.264096669748322	0.0763925913432589	-3.45709793455811	0.000546026372781103	0.0246419679716213	Uqcrh	ubiquinol-cytochrome c reductase hinge protein [Source:MGI Symbol;Acc:MGI:1913826]
ENSMUSG00000042133	808.966304760827	-0.245283104584012	0.0714814146624556	-3.43142487795282	0.000600419399908102	0.0266040377741099	Ppig	peptidyl-prolyl isomerase G (cyclophilin G) [Source:MGI Symbol;Acc:MGI:2445173]
ENSMUSG00000032212	540.64202791792	-0.279590119993486	0.081602395433601	-3.4262489294323	0.000611979242993099	0.0266320252709675	Sltm	SAFB-like, transcription modulator [Source:MGI Symbol;Acc:MGI:1913910]
