baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000100292	2555.58114125121	-3.91647613288005	0.162555012187442	-24.093235146536	2.9431021914184e-128	6.42479208386637e-124
ENSG00000198938	2867.36015316223	3.44788780507785	0.204617754561237	16.8503843298993	1.04235081876641e-63	1.13772591868353e-59
ENSG00000223414	2293.04085632493	2.40648668055913	0.145685321911233	16.5183880502761	2.70532298603384e-61	1.96857335950396e-57
ENSG00000176907	2686.4917928019	2.82613880024638	0.180164041755421	15.6864753516296	1.87163412184914e-55	1.02144432199917e-51
ENSG00000241322	194.841049679944	-3.44606011970894	0.226154197817601	-15.2376571072462	1.98874770674176e-52	8.68287248763454e-49
ENSG00000119938	1305.32448449342	2.09399584747798	0.144505963858498	14.4907226772208	1.38676072112157e-47	5.04549775701397e-44
ENSG00000260966	261.803033700498	-3.55058687452674	0.259488470289446	-13.6830236448126	1.28246877722265e-42	3.9994704866815e-39
ENSG00000004799	1333.76575562507	2.82459089980499	0.209515657129349	13.4815265766089	2.00906488557168e-41	5.48223580650372e-38
ENSG00000118515	8013.12022668619	2.19635056626708	0.163312585552536	13.4487526410543	3.13109520333151e-41	7.5946453654141e-38
ENSG00000176102	1254.41611887595	-1.89947593128977	0.14253641126037	-13.3262505663905	1.62880341260285e-40	3.55567784971203e-37
ENSG00000132640	14059.7683995855	1.71651124696688	0.129049323924361	13.3012029413882	2.27773963748103e-40	4.52027784420098e-37
ENSG00000121966	701.457231572378	2.27467171765321	0.173393260464073	13.1185705347788	2.5775089709459e-39	4.68891840297908e-36
ENSG00000133056	537.724775898654	2.48580421494728	0.192121533156797	12.9387069429564	2.72171847384711e-38	4.57039340646787e-35
ENSG00000196193	80.1771261436787	-4.28059540443707	0.355893115906805	-12.0277555623133	2.53971273814768e-33	3.96013779098313e-30
ENSG00000126838	831.701055512165	1.9407538288025	0.163298173342041	11.8847246670508	1.4210255251599e-32	2.06806581428271e-29
ENSG00000172086	660.977712748982	-1.75775184392457	0.15121263760616	-11.6243712943009	3.09866178593637e-31	4.22773667418693e-28
ENSG00000198899	978.226249321546	3.41259974424892	0.294428802005147	11.5905771480511	4.60022279635461e-31	5.90722727320124e-28
ENSG00000124575	457.312275941104	2.97429815027139	0.258430459111842	11.5090851151729	1.18731274352381e-30	1.43994651061805e-27
ENSG00000130164	727.215517514938	1.87409422107369	0.166826905108335	11.2337648406094	2.78359487531184e-29	3.19820400673987e-26
ENSG00000162878	291.510716737051	3.1041497511327	0.279662884072373	11.0996128836653	1.25988394785099e-28	1.37516332907936e-25
ENSG00000261799	394.474292073881	-1.95414283610848	0.180212158141076	-10.8435682490341	2.1395957031531e-27	2.22416067618249e-24
ENSG00000142178	3403.39535367239	1.90350298577582	0.178643443287149	10.6553196173909	1.64678012924593e-26	1.63405501006539e-23
ENSG00000272417	116.454132209479	-3.81549635108179	0.358746545823682	-10.6356323022467	2.03444053604561e-26	1.93094943051634e-23
