chr pos counts norm sample
chrM 4114 1 4.9195950560976 con1-ready
chrM 4115 1 4.9195950560976 con1-ready
chrM 4116 3 14.7587851682928 con1-ready
chrM 4117 3 14.7587851682928 con1-ready
chrM 4118 3 14.7587851682928 con1-ready
chrM 4119 8 39.3567604487808 con1-ready
chrM 4120 12 59.0351406731712 con1-ready
chrM 4121 14 68.8743307853664 con1-ready
chrM 4122 14 68.8743307853664 con1-ready
chrM 4123 15 73.793925841464 con1-ready
chrM 4124 15 73.793925841464 con1-ready
chrM 4125 15 73.793925841464 con1-ready
chrM 4126 15 73.793925841464 con1-ready
chrM 4127 15 73.793925841464 con1-ready
chrM 4128 15 73.793925841464 con1-ready
chrM 4129 15 73.793925841464 con1-ready
chrM 4130 15 73.793925841464 con1-ready
chrM 4131 15 73.793925841464 con1-ready
chrM 4132 15 73.793925841464 con1-ready
chrM 4133 15 73.793925841464 con1-ready
chrM 4134 15 73.793925841464 con1-ready
chrM 4135 15 73.793925841464 con1-ready
chrM 4136 16 78.7135208975616 con1-ready
chrM 4137 17 83.6331159536592 con1-ready
chrM 4138 19 93.4723060658544 con1-ready
chrM 4139 19 93.4723060658544 con1-ready
chrM 4140 19 93.4723060658544 con1-ready
chrM 4141 24 118.070281346342 con1-ready
chrM 4142 24 118.070281346342 con1-ready
chrM 4143 24 118.070281346342 con1-ready
chrM 4144 24 118.070281346342 con1-ready
chrM 4145 24 118.070281346342 con1-ready
chrM 4146 24 118.070281346342 con1-ready
chrM 4147 25 122.98987640244 con1-ready
chrM 4148 37 182.025017075611 con1-ready
chrM 4149 37 182.025017075611 con1-ready
chrM 4150 37 182.025017075611 con1-ready
chrM 4151 37 182.025017075611 con1-ready
chrM 4152 38 186.944612131709 con1-ready
chrM 4153 39 191.864207187806 con1-ready
chrM 4154 39 191.864207187806 con1-ready
chrM 4155 40 196.783802243904 con1-ready
chrM 4156 40 196.783802243904 con1-ready
chrM 4157 40 196.783802243904 con1-ready
chrM 4158 40 196.783802243904 con1-ready
chrM 4159 45 221.381777524392 con1-ready
chrM 4160 45 221.381777524392 con1-ready
chrM 4161 45 221.381777524392 con1-ready
chrM 4162 45 221.381777524392 con1-ready
chrM 4163 45 221.381777524392 con1-ready
chrM 4164 44 216.462182468294 con1-ready
chrM 4165 44 216.462182468294 con1-ready
chrM 4166 42 206.622992356099 con1-ready
