chr pos counts norm sample
chrM 3080 664 3266.61111724881 con1-ready
chrM 3081 689 3389.60099365125 con1-ready
chrM 3082 1283 6311.84045697322 con1-ready
chrM 3083 1583 7787.7189738025 con1-ready
chrM 3084 1706 8392.82916570251 con1-ready
chrM 3085 2959 14557.0817709928 con1-ready
chrM 3086 3589 17656.4266563343 con1-ready
chrM 3087 4753 23382.8353016319 con1-ready
chrM 3088 5315 26147.6477231588 con1-ready
chrM 3089 5708 28081.0485802051 con1-ready
chrM 3090 6045 29738.95211411 con1-ready
chrM 3091 6462 31790.4232525027 con1-ready
chrM 3092 6566 32302.0611383369 con1-ready
chrM 3093 6600 32469.3273702442 con1-ready
chrM 3094 6691 32917.0105203491 con1-ready
chrM 3095 7599 37384.0028312857 con1-ready
chrM 3096 8924 43902.466280615 con1-ready
chrM 3097 8974 44148.4460334199 con1-ready
chrM 3098 9660 47523.2882419028 con1-ready
chrM 3099 9774 48084.122078298 con1-ready
chrM 3100 11337 55773.4491509785 con1-ready
chrM 3101 11543 56786.8857325346 con1-ready
chrM 3102 12981 63861.263423203 con1-ready
chrM 3103 13678 67290.221177303 con1-ready
chrM 3104 13988 68815.2956446933 con1-ready
chrM 3105 14009 68918.6071408713 con1-ready
chrM 3106 14880 73203.5744347323 con1-ready
chrM 3107 15171 74635.1765960567 con1-ready
chrM 3108 15360 75564.9800616592 con1-ready
chrM 3109 15401 75766.6834589592 con1-ready
chrM 3110 15483 76170.0902535592 con1-ready
chrM 3111 15520 76352.1152706348 con1-ready
chrM 3112 15645 76967.064652647 con1-ready
chrM 3113 15881 78128.089085886 con1-ready
chrM 3114 15951 78472.4607398128 con1-ready
chrM 3115 16016 78792.2344184592 con1-ready
chrM 3116 16183 79613.8067928275 con1-ready
chrM 3117 16207 79731.8770741738 con1-ready
chrM 3118 16225 79820.4297851836 con1-ready
chrM 3119 16264 80012.2939923714 con1-ready
chrM 3120 16355 80459.9771424763 con1-ready
chrM 3121 16473 81040.4893590958 con1-ready
chrM 3122 16714 82226.1117676153 con1-ready
chrM 3123 17262 84922.0498583568 con1-ready
chrM 3124 17873 87927.9224376324 con1-ready
chrM 3125 17979 88449.3995135788 con1-ready
chrM 3126 18373 90387.7199656812 con1-ready
chrM 3127 18903 92995.105345413 con1-ready
chrM 3128 18932 93137.7736020398 con1-ready
chrM 3129 19007 93506.7432312471 con1-ready
