id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrezgene	description	xloc
ENSMUST00000029900	9275.00542322753	-3.89110848943689	0.254024872473345	-15.3178247923152	5.81305227154481e-53	8.30743300126469e-49	Atp6v0d2	242341	ATPase, H+ transporting, lysosomal V0 subunit D2	XLOC_023767
ENSMUST00000151405	25321.5852188996	-2.76324581860389	0.202761669863467	-13.6280482423752	2.7277834217586e-42	1.94913764401761e-38	Lgals3	16854	lectin, galactose binding, soluble 3	XLOC_010039
ENSMUST00000024791	4209.25385426117	-2.75321752182021	0.217097159292679	-12.6819601453581	7.44465366626019e-37	3.54638485148415e-33	Trem2	83433	triggering receptor expressed on myeloid cells 2	XLOC_014257
ENSMUST00000063820	353.29593924767	-2.835350786979	0.224867776108959	-12.6089688617952	1.88442333358416e-36	6.7325734650628e-33	F10	14058	coagulation factor X	XLOC_032420
ENSMUST00000003981	1588.83057931753	-2.58093405543019	0.205875786900249	-12.5363652243414	4.72159700087913e-36	1.34952685479127e-32	Il7r	16197	interleukin 7 receptor	XLOC_011954
ENSMUST00000041874	1541.26843215926	-2.37138125363883	0.209940932110157	-11.2954688245099	1.38164787946091e-29	3.29085497422931e-26	Npl	74091	N-acetylneuraminate pyruvate lyase	XLOC_002235
ENSMUST00000033820	337.205311232553	-3.06541079148147	0.287438440168424	-10.6645819177327	1.49067949274476e-26	3.04332866154504e-23	F7	14068	coagulation factor VII	XLOC_032419
ENSMUST00000155802	4609.71119540531	-1.97353048330243	0.186660909238057	-10.5728108330679	3.98372329319735e-26	7.11642369788542e-23	Cd84	12523	CD84 antigen	XLOC_001142
ENSMUST00000107783	973.685086691577	-2.66975472354139	0.255241075984489	-10.4597377723938	1.32221082675888e-25	2.09952388057901e-22	Stra6l	74152	STRA6-like	XLOC_022554
ENSMUST00000047194	1850.90843391995	-1.94901087099707	0.189683713136659	-10.275056507318	9.12909238137108e-25	1.30463859222174e-21	Igsf6	80719	immunoglobulin superfamily, member 6	XLOC_032101
ENSMUST00000015998	26454.5241702379	-3.10416236517806	0.312834688737222	-9.92269232580383	3.31686279771983e-23	4.30920784020128e-20	Cd5l	11801	CD5 antigen-like	XLOC_020875
