chr pos counts norm sample
chrM 1452 1 4.9195950560976 con1-ready
chrM 1453 1 4.9195950560976 con1-ready
chrM 1454 2 9.8391901121952 con1-ready
chrM 1455 2 9.8391901121952 con1-ready
chrM 1456 2 9.8391901121952 con1-ready
chrM 1457 2 9.8391901121952 con1-ready
chrM 1458 2 9.8391901121952 con1-ready
chrM 1459 2 9.8391901121952 con1-ready
chrM 1460 2 9.8391901121952 con1-ready
chrM 1461 3 14.7587851682928 con1-ready
chrM 1462 4 19.6783802243904 con1-ready
chrM 1463 6 29.5175703365856 con1-ready
chrM 1464 6 29.5175703365856 con1-ready
chrM 1465 6 29.5175703365856 con1-ready
chrM 1466 6 29.5175703365856 con1-ready
chrM 1467 8 39.3567604487808 con1-ready
chrM 1468 8 39.3567604487808 con1-ready
chrM 1469 8 39.3567604487808 con1-ready
chrM 1470 10 49.195950560976 con1-ready
chrM 1471 10 49.195950560976 con1-ready
chrM 1472 11 54.1155456170736 con1-ready
chrM 1473 11 54.1155456170736 con1-ready
chrM 1474 11 54.1155456170736 con1-ready
chrM 1475 11 54.1155456170736 con1-ready
chrM 1476 11 54.1155456170736 con1-ready
chrM 1477 11 54.1155456170736 con1-ready
chrM 1478 11 54.1155456170736 con1-ready
chrM 1479 11 54.1155456170736 con1-ready
chrM 1480 11 54.1155456170736 con1-ready
chrM 1481 11 54.1155456170736 con1-ready
chrM 1482 12 59.0351406731712 con1-ready
chrM 1483 14 68.8743307853664 con1-ready
chrM 1484 15 73.793925841464 con1-ready
chrM 1485 16 78.7135208975616 con1-ready
chrM 1486 23 113.150686290245 con1-ready
chrM 1487 23 113.150686290245 con1-ready
chrM 1488 23 113.150686290245 con1-ready
chrM 1489 26 127.909471458538 con1-ready
chrM 1490 44 216.462182468294 con1-ready
chrM 1491 44 216.462182468294 con1-ready
chrM 1492 44 216.462182468294 con1-ready
chrM 1493 44 216.462182468294 con1-ready
chrM 1494 49 241.060157748782 con1-ready
chrM 1495 49 241.060157748782 con1-ready
chrM 1496 49 241.060157748782 con1-ready
chrM 1497 49 241.060157748782 con1-ready
chrM 1498 49 241.060157748782 con1-ready
chrM 1499 50 245.97975280488 con1-ready
chrM 1500 50 245.97975280488 con1-ready
chrM 1501 50 245.97975280488 con1-ready
chrM 1502 49 241.060157748782 con1-ready
chrM 1503 48 236.140562692685 con1-ready
chrM 1504 49 241.060157748782 con1-ready
chrM 1505 49 241.060157748782 con1-ready
chrM 1506 54 265.658133029271 con1-ready
chrM 1507 54 265.658133029271 con1-ready
chrM 1508 54 265.658133029271 con1-ready
chrM 1509 54 265.658133029271 con1-ready
chrM 1510 53 260.738537973173 con1-ready
chrM 1511 53 260.738537973173 con1-ready
chrM 1512 51 250.899347860978 con1-ready
chrM 1513 51 250.899347860978 con1-ready
chrM 1514 52 255.818942917075 con1-ready
chrM 1515 58 285.336513253661 con1-ready
chrM 1516 63 309.934488534149 con1-ready
chrM 1517 61 300.095298421954 con1-ready
chrM 1518 63 309.934488534149 con1-ready
chrM 1519 63 309.934488534149 con1-ready
chrM 1520 61 300.095298421954 con1-ready
chrM 1521 64 314.854083590246 con1-ready
chrM 1522 65 319.773678646344 con1-ready
chrM 1523 65 319.773678646344 con1-ready
chrM 1524 68 334.532463814637 con1-ready
chrM 1525 68 334.532463814637 con1-ready
chrM 1526 68 334.532463814637 con1-ready
chrM 1527 68 334.532463814637 con1-ready
chrM 1528 67 329.612868758539 con1-ready
chrM 1529 67 329.612868758539 con1-ready
chrM 1530 67 329.612868758539 con1-ready
chrM 1531 67 329.612868758539 con1-ready
chrM 1532 72 354.210844039027 con1-ready
chrM 1533 74 364.050034151223 con1-ready
chrM 1534 74 364.050034151223 con1-ready
chrM 1535 72 354.210844039027 con1-ready
chrM 1536 79 388.648009431711 con1-ready
chrM 1537 79 388.648009431711 con1-ready
chrM 1538 74 364.050034151223 con1-ready
chrM 1539 71 349.29124898293 con1-ready
chrM 1540 58 285.336513253661 con1-ready
chrM 1541 58 285.336513253661 con1-ready
chrM 1542 58 285.336513253661 con1-ready
chrM 1543 53 260.738537973173 con1-ready
chrM 1544 53 260.738537973173 con1-ready
chrM 1545 53 260.738537973173 con1-ready
chrM 1546 53 260.738537973173 con1-ready
chrM 1547 53 260.738537973173 con1-ready
chrM 1548 54 265.658133029271 con1-ready
chrM 1549 53 260.738537973173 con1-ready
chrM 1550 53 260.738537973173 con1-ready
chrM 1551 53 260.738537973173 con1-ready
chrM 1552 53 260.738537973173 con1-ready
chrM 1553 53 260.738537973173 con1-ready
chrM 1554 56 275.497323141466 con1-ready
chrM 1555 56 275.497323141466 con1-ready
chrM 1556 74 364.050034151223 con1-ready
chrM 1557 74 364.050034151223 con1-ready
chrM 1558 74 364.050034151223 con1-ready
chrM 1559 74 364.050034151223 con1-ready
chrM 1560 74 364.050034151223 con1-ready
chrM 1561 73 359.130439095125 con1-ready
chrM 1562 73 359.130439095125 con1-ready
chrM 1563 73 359.130439095125 con1-ready
chrM 1564 66 324.693273702442 con1-ready
